"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CMA6_23Jul2010.CR1","16968","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2010-07-24 00:00:00",0,13.93,13.37,"2010-07-24 00:00:00",13.79,8.83,"2010-07-23 13:54:00",-0.416,2.792
"2010-07-25 00:00:00",1,14.02,12.6,"2010-07-24 06:00:00",13.55,4.923,"2010-07-24 12:49:30",-3.407,0.902
"2010-07-26 00:00:00",2,13.91,12.59,"2010-07-25 06:00:00",13.46,8.15,"2010-07-25 13:53:30",-2.079,2.778
"2010-07-27 00:00:00",3,13.9,12.58,"2010-07-26 06:30:00",13.39,9.64,"2010-07-26 20:04:00",0.309,4.692
"2010-07-28 00:00:00",4,13.89,12.56,"2010-07-27 06:00:00",13.46,7.049,"2010-07-27 15:58:30",0.393,3.32
"2010-07-29 00:00:00",5,13.92,12.58,"2010-07-28 06:00:00",13.44,8.46,"2010-07-28 18:54:00",-0.416,3.68
"2010-07-30 00:00:00",6,13.85,12.58,"2010-07-29 06:00:00",13.41,9.93,"2010-07-29 19:17:00",1.245,5.382
"2010-07-31 00:00:00",7,13.85,12.57,"2010-07-30 06:00:00",13.37,9.95,"2010-07-30 18:37:00",1.97,5.864
"2010-08-01 00:00:00",8,13.85,12.59,"2010-07-31 06:00:00",13.41,5.225,"2010-07-31 15:16:00",2.46,3.918
"2010-08-02 00:00:00",9,13.82,12.6,"2010-08-01 06:30:00",13.42,7.51,"2010-08-01 17:42:30",2.993,4.724
"2010-08-03 00:00:00",10,13.78,12.59,"2010-08-02 06:30:00",13.32,11.68,"2010-08-02 19:30:00",2.95,6.71
"2010-08-04 00:00:00",11,13.74,12.6,"2010-08-03 06:00:00",13.27,11.98,"2010-08-03 19:39:00",4.342,7.82
"2010-08-05 00:00:00",12,13.74,12.6,"2010-08-04 06:00:00",13.3,10.58,"2010-08-04 19:17:00",4.493,7.319
"2010-08-06 00:00:00",13,13.8,12.61,"2010-08-05 07:00:00",13.37,6.308,"2010-08-05 12:01:30",1.841,4.904
"2010-08-07 00:00:00",14,13.96,12.58,"2010-08-06 06:30:00",13.4,8.46,"2010-08-06 19:15:00",-1.096,3.363
"2010-08-08 00:00:00",15,13.91,12.57,"2010-08-07 06:30:00",13.41,7.356,"2010-08-07 13:40:30",-0.201,2.496
"2010-08-09 00:00:00",16,13.93,12.55,"2010-08-08 07:00:00",13.38,9.44,"2010-08-08 14:14:30",-1.053,3.244
"2010-08-10 00:00:00",17,13.9,12.55,"2010-08-09 07:00:00",13.33,9.21,"2010-08-09 19:14:00",-0.671,3.439
"2010-08-11 00:00:00",18,13.85,12.57,"2010-08-10 07:00:00",13.37,5.765,"2010-08-10 19:09:00",-0.585,2.573
"2010-08-12 00:00:00",19,13.96,12.56,"2010-08-11 06:30:00",13.39,7.245,"2010-08-11 19:14:00",-1.672,2.041
"2010-08-13 00:00:00",20,13.94,12.55,"2010-08-12 06:30:00",13.36,8.92,"2010-08-12 16:27:00",-1.394,3.417
"2010-08-14 00:00:00",21,13.8,12.59,"2010-08-13 07:00:00",13.34,9.32,"2010-08-13 19:25:30",2.119,5.208
"2010-08-15 00:00:00",22,13.76,12.6,"2010-08-14 07:00:00",13.28,11.84,"2010-08-14 14:55:30",3.099,7.164
"2010-08-16 00:00:00",23,13.73,12.61,"2010-08-15 06:30:00",13.27,12.05,"2010-08-15 19:13:00",5.16,8.1
"2010-08-17 00:00:00",24,13.79,12.6,"2010-08-16 07:00:00",13.31,10.11,"2010-08-16 17:57:30",3.978,6.793
"2010-08-18 00:00:00",25,13.83,12.59,"2010-08-17 07:30:00",13.37,6.787,"2010-08-17 11:21:00",1.416,4.495
"2010-08-19 00:00:00",26,13.92,12.54,"2010-08-18 08:30:00",13.36,4.751,"2010-08-18 17:18:00",-1.48,0.831
"2010-08-20 00:00:00",27,13.97,12.59,"2010-08-19 06:30:00",13.49,3.956,"2010-08-19 16:59:00",-1.288,0.654
"2010-08-21 00:00:00",28,13.96,12.56,"2010-08-20 07:00:00",13.45,2.544,"2010-08-20 16:29:00",-2.036,0.081
"2010-08-22 00:00:00",29,14.08,12.53,"2010-08-21 07:00:00",13.43,9.28,"2010-08-21 13:17:00",-5.438,-0.221
"2010-08-23 00:00:00",30,13.96,12.55,"2010-08-22 07:00:00",13.44,6.504,"2010-08-22 13:52:00",-3.965,0.552
"2010-08-24 00:00:00",31,14.06,12.54,"2010-08-23 07:00:00",13.44,7.114,"2010-08-23 13:17:30",-4.853,0.451
"2010-08-25 00:00:00",32,13.95,12.55,"2010-08-24 07:00:00",13.44,3.807,"2010-08-24 14:12:30",-1.993,0.372
"2010-08-26 00:00:00",33,13.99,12.54,"2010-08-25 07:30:00",13.41,5.657,"2010-08-25 15:36:00",-2.677,0.183
"2010-08-27 00:00:00",34,14.06,12.54,"2010-08-26 07:00:00",13.4,8.86,"2010-08-26 14:30:00",-5.004,0.086
"2010-08-28 00:00:00",35,14.06,12.52,"2010-08-27 07:00:00",13.39,7.51,"2010-08-27 13:15:30",-4.896,-0.127
"2010-08-29 00:00:00",36,14.04,12.53,"2010-08-28 07:30:00",13.34,9.57,"2010-08-28 17:07:30",-4.182,1.373
"2010-08-30 00:00:00",37,13.91,12.55,"2010-08-29 07:30:00",13.32,7.028,"2010-08-29 15:32:00",-2.526,1.786
