"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_28July2011.CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2011-07-28 15:45:00",0,0.811,335.6,0.247,1.271,2.798,269.8,76.81,4.717875,373.2002,52.98688,315.0951,323.7122
"2011-07-28 15:50:00",1,1.448,330.3,5.724,1.673,2.795,272.5,78.37,4.874176,372.5461,53.11785,314.134,322.7725
"2011-07-28 15:55:00",2,1.381,327.7,5.868,1.512,2.547,251.6,80.4,4.999185,340.5771,47.53527,313.9489,321.5654
"2011-07-28 16:00:00",3,1.614,352.1,5.634,1.816,2.496,247.6,80.6,4.894049,344.5913,48.68996,313.5956,320.6278
"2011-07-28 16:05:00",4,1.221,354.5,10.53,1.401,2.644,264.4,79.1,4.865701,368.8844,51.76247,310.3981,320.6062
"2011-07-28 16:10:00",5,0.959,76.29,88.7,1.767,3.011,262.5,76.14,5.031873,372.2588,51.97855,307.7523,320.7218
"2011-07-28 16:15:00",6,1.184,91.2,28.33,2.349,3.333,246.3,74.51,5.217825,351.3595,48.79462,307.5089,320.6644
"2011-07-28 16:20:00",7,0.962,150,56.52,1.875,3.502,252.3,73.2,5.302472,361.2312,50.12469,305.6579,320.9627
"2011-07-28 16:25:00",8,0.866,89.1,27.93,1.61,3.531,294.9,73.81,5.462479,422.8534,58.58437,301.8716,321.0124
"2011-07-28 16:30:00",9,0.283,77.71,20.35,0.578,3.772,281.1,73.05,5.801605,398.3892,56.1423,304.5719,321.2106
"2011-07-28 16:35:00",10,1.045,103.8,24.36,1.437,3.672,265,73.82,6.055652,383.7725,54.09255,305.7843,321.5736
"2011-07-28 16:40:00",11,0.963,78.18,19.71,1.532,3.41,242.4,74.03,5.921579,354.6083,50.40747,305.322,322.5358
"2011-07-28 16:45:00",12,1.18,357,11.17,1.695,3.55,284.5,74.06,5.966315,407.324,59.91271,302.4035,322.6794
"2011-07-28 16:50:00",13,1.763,346.6,4.839,1.921,3.211,253.4,75.91,5.839221,365.1501,52.76116,299.9893,321.6282
"2011-07-28 16:55:00",14,1.364,355.8,14.68,1.561,3.252,240.4,74.69,5.644012,347.8465,50.62434,301.4531,321.4794
"2011-07-28 17:00:00",15,1.425,349.3,4.479,1.535,3.291,229.8,75.35,5.507956,338.472,49.35971,297.0892,321.0818
"2011-07-28 17:05:00",16,1.423,349,2.259,1.565,3.138,193,75.87,5.295011,304.9265,46.91739,290.085,320.9659
"2011-07-28 17:10:00",17,1.469,4.861,14.44,1.666,3.188,236.6,75.6,5.157361,361.2123,54.526,294.6572,320.7949
"2011-07-28 17:15:00",18,1.378,28.55,11.99,1.957,3.47,223.9,73.34,5.165039,342.2405,50.6455,295.0125,320.7937
"2011-07-28 17:20:00",19,1.048,9.72,16.15,1.532,3.381,212.4,75.08,5.157361,321.2357,47.2664,295.2927,320.7561
"2011-07-28 17:25:00",20,0.883,16.82,20.27,1.575,3.239,191.1,74.33,5.095911,294.4479,43.38578,292.5284,320.8809
"2011-07-28 17:30:00",21,1.212,19.75,9.14,1.526,3.531,203.9,73.1,5.149683,314.3026,46.85234,296.4075,320.9117
"2011-07-28 17:35:00",22,1.603,2.556,10.71,2.114,3.327,195.8,74.26,4.988022,296.5491,43.8001,294.6244,320.8566
"2011-07-28 17:40:00",23,1.514,353.7,24.47,2.084,3.263,175.8,75.25,4.802191,267.1874,39.5926,295.9039,320.6462
"2011-07-28 17:45:00",24,0.846,343.8,42.16,1.463,3.232,154.5,75.14,4.701111,240.7391,35.23242,295.6896,320.5019
"2011-07-28 17:50:00",25,1.866,345.6,21.02,2.365,3.067,172.7,76.6,4.505343,261.5245,38.59066,298.2349,320.3621
"2011-07-28 17:55:00",26,1.426,329.2,72.32,1.836,3.261,204.9,74.08,4.497577,302.7986,46.59311,299.6271,320.2079
"2011-07-28 18:00:00",27,0.767,19.51,55.57,2.087,3.509,173.3,72.64,4.607287,251.2981,36.76012,307.7903,320.5089
"2011-07-28 18:05:00",28,0.372,25.99,63.2,0.84,3.708,179.5,71.85,4.843652,255.9086,37.39277,311.8415,320.6926
"2011-07-28 18:10:00",29,1.716,171.9,15.21,3.763,3.597,227.9,72.91,5.105289,352.0755,54.37856,310.9714,320.6159
"2011-07-28 18:15:00",30,2.216,150.1,13.11,3.293,3.324,145.9,73.25,4.923904,238.4315,33.59992,307.3832,320.9287
"2011-07-28 18:20:00",31,1.812,190.1,21.67,2.587,3.425,116.8,72.82,4.715628,201.8107,28.21388,298.9374,320.5718
"2011-07-28 18:25:00",32,1.809,176,12.28,3.152,3.181,107.9,74.31,4.343787,190.2681,26.92752,295.5816,320.2734
"2011-07-28 18:30:00",33,0.768,153.3,56.78,1.588,3.377,127.4,72.96,4.222674,198.9914,28.56336,300.1607,320.0729
"2011-07-28 18:35:00",34,0.699,207.9,25.77,1.143,3.568,130.1,72.19,4.369174,197.3899,28.60731,305.1623,320.3185
"2011-07-28 18:40:00",35,0.511,298.8,38.47,0.745,3.356,138.7,73.81,4.395554,201.3002,28.10612,309.0258,320.2915
"2011-07-28 18:45:00",36,0.302,295.1,9.93,0.944,3.418,129.7,72.82,4.475904,187.386,26.68901,309.2564,320.6039
"2011-07-28 18:50:00",37,0.904,241.4,39.01,1.542,3.54,134.1,72.79,4.509369,195.7896,27.62661,311.0881,320.3024
"2011-07-28 18:55:00",38,1.977,177.4,9.15,2.541,3.372,119.6,74.14,4.470178,192.9429,26.79798,311.6532,320.4602
"2011-07-28 19:00:00",39,2.099,164.8,16.88,2.806,3.268,130.5,73.86,4.240146,203.9206,29.91589,313.7974,320.3504
"2011-07-28 19:05:00",40,0.746,202,35.82,1.771,3.548,122.8,72.66,4.367801,175.2081,24.76993,316.2441,320.5049
"2011-07-28 19:10:00",41,0,0,0,0,3.681,121.3,72.19,4.432977,171.619,24.29063,313.42,320.3956
"2011-07-28 19:15:00",42,0.153,128,45.98,0.676,3.861,109.7,71.01,4.5785,160.5975,22.35035,310.39,320.522
"2011-07-28 19:20:00",43,1.296,171.4,18.39,2.421,3.606,91.1,72.76,4.499924,149.4375,19.53746,304.603,320.295
"2011-07-28 19:25:00",44,2.054,179.2,19.64,2.839,3.228,68.9,74.91,4.20336,136.877,18.35996,297.0053,320.1336
"2011-07-28 19:30:00",45,2.108,164,8.08,3.09,3.025,49,75.94,3.767157,116.5452,16.61552,285.758,319.69
"2011-07-28 19:35:00",46,1.74,131.5,32.48,2.6,3.084,71.53,75.47,3.51394,123.1427,17.88037,301.0739,319.5156
"2011-07-28 19:40:00",47,1.052,124.2,30.25,1.457,3.125,79.33,75.27,3.458823,122.3077,17.44439,309.752,319.4442
"2011-07-28 19:45:00",48,1.816,170.1,16.81,2.715,3.044,82.4,76.12,3.444788,135.0496,18.51294,307.6575,319.2608
"2011-07-28 19:50:00",49,1.675,137.8,11.56,2.659,3.103,79.9,75.07,3.393533,133.446,19.10173,303.5959,319.4014
"2011-07-28 19:55:00",50,0.873,171.2,13.77,1.212,3.249,69.54,75.15,3.49064,126.1718,18.513,294.4034,319.3648
"2011-07-28 20:00:00",51,1.149,162.2,17.48,1.392,2.989,53.54,76.51,3.351428,111.1487,15.63466,291.3506,319.2381
"2011-07-28 20:05:00",52,0.87,150.1,20.99,1.601,3.007,58.23,76.25,3.269318,119.3267,16.9212,288.4531,319.1152
"2011-07-28 20:10:00",53,0.438,321.3,8.03,0.924,3.069,58.72,76.41,3.21178,119.7785,17.13926,286.5082,318.917
"2011-07-28 20:15:00",54,1.124,330.3,7.054,1.519,2.828,64.91,77.7,3.162415,133.017,19.29802,285.2783,318.9514
"2011-07-28 20:20:00",55,1.11,356.7,13.1,1.483,2.883,59.7,77.07,3.162415,138.9603,20.60663,276.5332,318.9898
"2011-07-28 20:25:00",56,1.007,7.483,5.897,1.506,3.098,44.84,75.49,3.162415,127.2631,19.19003,270.3699,319.028
"2011-07-28 20:30:00",57,1.538,357.4,6.472,1.774,2.999,20.22,76.8,2.994873,95.09602,14.89479,264.9553,318.7294
"2011-07-28 20:35:00",58,1.759,349.2,4.716,1.891,2.697,13.25,78.78,2.722543,77.9954,12.23464,270.8496,318.5129
"2011-07-28 20:40:00",59,1.654,341.9,3.737,1.826,2.506,31.81,80.6,2.483929,87.84808,13.25988,282.7527,318.1898
"2011-07-28 20:45:00",60,1.648,343.6,3.185,1.891,2.387,41.04,81.1,2.419272,92.16451,13.89247,289.8392,318.3079
"2011-07-28 20:50:00",61,1.448,349,5.27,1.594,2.566,40.2,79.64,2.403217,85.0927,12.93293,295.1693,318.1931
"2011-07-28 20:55:00",62,1.364,347,4.739,1.483,2.714,44.28,78.6,2.422348,91.57765,13.60904,294.8625,318.0905
"2011-07-28 21:00:00",63,1.162,338.9,6.94,1.33,2.599,20.57,80.5,2.462103,83.03679,12.56221,275.8901,318.086
"2011-07-28 21:05:00",64,1.062,332.3,6.32,1.15,2.174,8.52,83,2.274463,78.08851,12.10421,267.2481,317.9692
"2011-07-28 21:10:00",65,0.678,333.9,3.157,0.977,2.227,8.93,82,2.068948,76.48427,12.69307,267.4678,317.8083
"2011-07-28 21:15:00",66,0.673,346.8,7.222,0.826,2.528,-0.147,79.66,2.036075,65.05116,11.66803,266.7559,317.8076
"2011-07-28 21:20:00",67,0.714,351.6,7.105,0.892,2.699,-3.829,78.32,1.961667,53.97959,10.03232,270.9363,317.7267
"2011-07-28 21:25:00",68,0.41,359.7,3.506,0.497,2.83,11.02,77.68,2.011615,63.33394,10.9047,279.7988,317.8467
"2011-07-28 21:30:00",69,0.522,327,19.69,0.82,2.784,1.154,78.08,2.000946,56.08092,9.988703,273.2685,317.6803
"2011-07-28 21:35:00",70,0.294,292.7,31.72,0.657,2.8,-25.16,77.79,1.846692,38.16354,7.895103,259.9377,317.2227
"2011-07-28 21:40:00",71,0.305,340.3,6.902,0.715,2.685,-21.67,78.45,1.663107,40.62735,8.440534,261.6553,317.0535
"2011-07-28 21:45:00",72,0.381,39.37,4.563,0.794,2.652,9.72,78.78,1.592511,58.4124,10.40382,281.3979,317.3011
"2011-07-28 21:50:00",73,0.4,59.06,68.89,0.706,2.659,16.5,78.64,1.638568,51.25127,9.117341,294.6136,317.4015
"2011-07-28 21:55:00",74,0.08,273.4,9.85,0.333,2.716,14.46,78.53,1.791998,33.49056,6.194734,307.1041,317.8919
"2011-07-28 22:00:00",75,0.134,257,56.09,0.444,2.648,8.74,79.3,1.807739,25.3556,4.340745,306.8998,317.734
"2011-07-28 22:05:00",76,0.423,327.4,24.98,0.617,2.432,6.726,81,1.790482,27.63829,4.340782,302.6435,317.4979
"2011-07-28 22:10:00",77,0.228,11.12,53.63,0.64,2.288,2.062,81.9,1.789282,26.44065,4.340798,296.9123,317.6856
"2011-07-28 22:15:00",78,0.699,341.5,9.78,0.83,2.24,-9.65,81.8,1.680295,22.75708,4.253554,286.4588,317.5203
"2011-07-28 22:20:00",79,0.652,10.04,3.699,0.879,2.38,-18.9,80.5,1.615164,20.11303,4.188118,276.4904,317.3683
"2011-07-28 22:25:00",80,0.863,340.1,6.714,1.022,2.443,-28.3,80.2,1.562775,17.83054,4.275371,270.0017,317.122
"2011-07-28 22:30:00",81,1.142,340.7,7.425,1.477,2.152,-31.76,82,1.374982,14.12432,3.642791,268.6426,316.7814
"2011-07-28 22:35:00",82,1.468,340.5,3.643,1.722,1.979,-25.82,82.9,1.25018,10.73448,3.206528,279.9853,316.8535
"2011-07-28 22:40:00",83,1.076,315.5,19.42,1.548,1.993,-18.24,83.1,1.205331,9.107452,2.661227,289.1186,316.9914
"2011-07-28 22:45:00",84,0.955,301.2,8.67,1.277,1.978,-14.7,83.3,1.213959,7.842013,2.268619,294.4865,317.0317
"2011-07-28 22:50:00",85,0.619,337.6,13.08,0.794,1.977,-11.59,83.1,1.169629,6.16972,2.181389,298.215,316.9014
"2011-07-28 22:55:00",86,0.264,0.627,1.064,0.506,2.12,-2.357,82.2,1.24939,5.039813,1.854208,309.4831,317.5843
"2011-07-28 23:00:00",87,0.165,359.3,1.633,0.415,2.164,-4.714,81.8,1.24939,4.452357,1.439787,306.4209,317.2747
"2011-07-28 23:05:00",88,0.785,356.9,4.043,1.179,2.192,-11.76,81.8,1.24939,3.34504,1.505287,299.6205,317.1585
"2011-07-28 23:10:00",89,1.173,358.5,2.556,1.3,2.154,-14.24,82,1.284717,2.260219,1.308977,298.195,317.0147
"2011-07-28 23:15:00",90,1.093,349.1,2.033,1.176,2.29,-6.285,80.9,1.42572,2.192442,1.308995,308.1218,317.4053
"2011-07-28 23:20:00",91,1.072,345.6,1.574,1.294,2.327,-3.118,80.8,1.504657,1.582185,0.9599358,312.4294,317.6214
"2011-07-28 23:25:00",92,0.9,334.1,4.195,1.052,2.222,-3.314,82.4,1.565936,0.7684923,0.4581525,312.9162,317.9094
"2011-07-28 23:30:00",93,0.775,323.4,7.761,0.869,1.83,-3.364,85.5,1.469589,0,0,313.0599,317.5727
"2011-07-28 23:35:00",94,0.449,313.5,18.72,0.738,1.692,-4.076,86.2,1.390485,0,0.04363368,312.0522,317.7427
