"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_28July2011.CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-07-28 16:00:00",0,2.146,767.6339,0
"2011-07-28 16:30:00",1,2.144,767.6672,0
"2011-07-28 17:00:00",2,2.147,767.6672,0
"2011-07-28 17:30:00",3,2.152,767.6672,0
"2011-07-28 18:00:00",4,2.15,767.6672,0
"2011-07-28 18:30:00",5,2.147,767.5999,0
"2011-07-28 19:00:00",6,2.16,767.6184,0
"2011-07-28 19:30:00",7,2.174,767.6146,0
"2011-07-28 20:00:00",8,2.162,767.7639,0
"2011-07-28 20:30:00",9,2.166,767.6327,0
"2011-07-28 21:00:00",10,2.164,767.6558,0
"2011-07-28 21:30:00",11,2.165,767.8111,0
"2011-07-28 22:00:00",12,2.162,767.8202,0
"2011-07-28 22:30:00",13,2.169,767.8894,0
"2011-07-28 23:00:00",14,2.175,767.8894,0
"2011-07-28 23:30:00",15,2.174,767.9941,0
"2011-07-29 00:00:00",16,2.189,768.1002,0
"2011-07-29 00:30:00",17,2.187,768.2487,0
"2011-07-29 01:00:00",18,2.192,768.2542,0
"2011-07-29 01:30:00",19,2.192,768.1227,0
"2011-07-29 02:00:00",20,2.189,767.9863,0
"2011-07-29 02:30:00",21,2.188,768.0204,0
"2011-07-29 03:00:00",22,2.187,767.9181,0
"2011-07-29 03:30:00",23,2.192,767.8839,0
"2011-07-29 04:00:00",24,2.186,767.9181,0
"2011-07-29 04:30:00",25,2.189,767.7816,0
"2011-07-29 05:00:00",26,2.19,767.8857,0
"2011-07-29 05:30:00",27,2.187,767.646,0
"2011-07-29 06:00:00",28,2.188,767.5165,0
"2011-07-29 06:30:00",29,2.188,767.5091,0
"2011-07-29 07:00:00",30,2.175,767.4418,0
"2011-07-29 07:30:00",31,2.174,767.442,0
"2011-07-29 08:00:00",32,2.179,767.4403,0.1
"2011-07-29 08:30:00",33,2.177,767.4403,0.2
"2011-07-29 09:00:00",34,2.19,767.4403,0.4
"2011-07-29 09:30:00",35,2.167,767.4403,0.3
"2011-07-29 10:00:00",36,2.171,767.4403,0.2
"2011-07-29 10:30:00",37,2.163,767.419,0.2
"2011-07-29 11:00:00",38,2.162,767.2753,0
"2011-07-29 11:30:00",39,2.164,767.3207,0
"2011-07-29 12:00:00",40,2.163,767.3112,0
"2011-07-29 12:30:00",41,2.179,767.423,0
"2011-07-29 13:00:00",42,2.17,767.5327,0.2
"2011-07-29 13:30:00",43,2.169,767.5571,0.3
"2011-07-29 14:00:00",44,2.185,767.5446,0
"2011-07-29 14:30:00",45,2.19,767.5782,0
"2011-07-29 15:00:00",46,2.191,767.5704,0
"2011-07-29 15:30:00",47,2.197,767.434,0
"2011-07-29 16:00:00",48,2.194,767.434,0
"2011-07-29 16:30:00",49,2.187,767.2975,0
"2011-07-29 17:00:00",50,2.193,767.1623,0
"2011-07-29 17:30:00",51,2.188,767.1892,0
"2011-07-29 18:00:00",52,2.202,767.0745,0
"2011-07-29 18:30:00",53,2.195,767.0817,0.1
"2011-07-29 19:00:00",54,2.193,766.9453,0
"2011-07-29 19:30:00",55,2.202,766.8225,0.4
"2011-07-29 20:00:00",56,2.203,766.8441,0.2
"2011-07-29 20:30:00",57,2.206,766.7223,0.4
"2011-07-29 21:00:00",58,2.206,766.8599,0.5
"2011-07-29 21:30:00",59,2.203,766.7255,1.2
"2011-07-29 22:00:00",60,2.207,766.7292,0.4
"2011-07-29 22:30:00",61,2.21,766.7975,0.4
"2011-07-29 23:00:00",62,2.209,766.8008,1.6
"2011-07-29 23:30:00",63,2.206,766.6885,0.6
"2011-07-30 00:00:00",64,2.212,766.6894,0.4
"2011-07-30 00:30:00",65,2.21,766.587,0.2
"2011-07-30 01:00:00",66,2.213,766.5518,0.2
"2011-07-30 01:30:00",67,2.215,766.5529,0.7
"2011-07-30 02:00:00",68,2.212,766.5529,0.5
"2011-07-30 02:30:00",69,2.213,766.5529,0.4
"2011-07-30 03:00:00",70,2.214,766.5529,0.5
"2011-07-30 03:30:00",71,2.205,766.4846,0.4
"2011-07-30 04:00:00",72,2.212,766.4164,0.2
"2011-07-30 04:30:00",73,2.215,766.3495,0.3
"2011-07-30 05:00:00",74,2.212,766.3482,0.2
"2011-07-30 05:30:00",75,2.214,766.4847,0.5
"2011-07-30 06:00:00",76,2.209,766.4847,0.4
"2011-07-30 06:30:00",77,2.214,766.4847,0.3
"2011-07-30 07:00:00",78,2.204,766.4506,0.2
"2011-07-30 07:30:00",79,2.206,766.6895,0.1
"2011-07-30 08:00:00",80,2.205,766.6895,0.1
"2011-07-30 08:30:00",81,2.204,766.826,0.1
"2011-07-30 09:00:00",82,2.208,766.826,0
"2011-07-30 09:30:00",83,2.216,766.8242,0.1
"2011-07-30 10:00:00",84,2.207,766.8821,0.1
"2011-07-30 10:30:00",85,2.209,766.7987,0.3
"2011-07-30 11:00:00",86,2.214,766.7972,0.1
"2011-07-30 11:30:00",87,2.223,766.8407,0
"2011-07-30 12:00:00",88,2.217,766.8062,0
"2011-07-30 12:30:00",89,2.221,766.7128,0
"2011-07-30 13:00:00",90,2.218,766.7122,0
"2011-07-30 13:30:00",91,2.224,766.6843,0
"2011-07-30 14:00:00",92,2.226,766.5978,0
"2011-07-30 14:30:00",93,2.227,766.549,0
"2011-07-30 15:00:00",94,2.237,766.3027,0
"2011-07-30 15:30:00",95,2.236,766.3141,0
"2011-07-30 16:00:00",96,2.234,766.1928,0
"2011-07-30 16:30:00",97,2.235,766.0924,0
"2011-07-30 17:00:00",98,2.233,766.1237,0
"2011-07-30 17:30:00",99,2.234,765.973,0
"2011-07-30 18:00:00",100,2.25,765.8726,0
"2011-07-30 18:30:00",101,2.249,765.7101,0
"2011-07-30 19:00:00",102,2.244,765.7348,0
"2011-07-30 19:30:00",103,2.246,765.7009,0
"2011-07-30 20:00:00",104,2.244,765.7348,0
"2011-07-30 20:30:00",105,2.238,765.5909,0
"2011-07-30 21:00:00",106,2.242,765.5519,0
"2011-07-30 21:30:00",107,2.244,765.5728,0
"2011-07-30 22:00:00",108,2.247,765.7172,0
"2011-07-30 22:30:00",109,2.244,765.8564,0
"2011-07-30 23:00:00",110,2.249,765.8122,0
"2011-07-30 23:30:00",111,2.249,765.834,0
"2011-07-31 00:00:00",112,2.259,765.8369,0
"2011-07-31 00:30:00",113,2.253,765.8419,0
"2011-07-31 01:00:00",114,2.262,765.9102,0
"2011-07-31 01:30:00",115,2.256,765.8007,0
"2011-07-31 02:00:00",116,2.261,765.802,0
"2011-07-31 02:30:00",117,2.261,765.802,0
"2011-07-31 03:00:00",118,2.261,765.6655,0
