"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_28July2011.CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-07-29 00:00:00",0,13.87,13.28,"2011-07-29 00:00:00",13.72,5.311,"2011-07-28 16:43:30",1.457,3.557
"2011-07-30 00:00:00",1,13.91,12.57,"2011-07-29 06:30:00",13.44,6.351,"2011-07-29 14:55:00",0.33,2.424
"2011-07-31 00:00:00",2,13.9,12.56,"2011-07-30 06:30:00",13.43,7.729,"2011-07-30 19:48:00",0.628,3.117
"2011-08-01 00:00:00",3,13.93,12.57,"2011-07-31 06:30:00",13.46,5.831,"2011-07-31 14:49:30",-0.649,2.273
"2011-08-02 00:00:00",4,13.93,12.58,"2011-08-01 06:00:00",13.51,2.907,"2011-08-01 17:45:30",-1.652,0.966
"2011-08-03 00:00:00",5,14.03,12.54,"2011-08-02 06:30:00",13.46,6.396,"2011-08-02 14:26:30",-3.642,1.175
"2011-08-04 00:00:00",6,13.9,12.58,"2011-08-03 06:00:00",13.49,5.031,"2011-08-03 13:10:30",-0.457,2.272
"2011-08-05 00:00:00",7,13.94,12.54,"2011-08-04 06:30:00",13.45,4.708,"2011-08-04 11:09:30",-1.715,1.482
"2011-08-06 00:00:00",8,14,12.55,"2011-08-05 06:30:00",13.5,5.031,"2011-08-05 12:27:00",-2.998,0.382
"2011-08-07 00:00:00",9,14.05,12.5,"2011-08-06 07:00:00",13.41,6.33,"2011-08-06 19:21:30",-5.133,0.414
"2011-08-08 00:00:00",10,13.98,12.55,"2011-08-07 06:30:00",13.42,7.51,"2011-08-07 14:07:30",-2.271,1.819
"2011-08-09 00:00:00",11,14.01,12.54,"2011-08-08 06:30:00",13.45,5.031,"2011-08-08 15:47:00",-2.827,0.482
"2011-08-10 00:00:00",12,14.01,12.54,"2011-08-09 06:30:00",13.5,4.536,"2011-08-09 11:52:30",-3.622,-0.176
"2011-08-11 00:00:00",13,13.99,12.53,"2011-08-10 07:00:00",13.47,4.451,"2011-08-10 15:51:30",-4.376,-0.611
"2011-08-12 00:00:00",14,14,12.54,"2011-08-11 06:30:00",13.53,0.031,"2011-08-11 17:14:00",-2.763,-1.386
"2011-08-13 00:00:00",15,13.95,12.56,"2011-08-12 06:30:00",13.48,5.939,"2011-08-12 16:18:30",-1.096,1.531
"2011-08-14 00:00:00",16,13.92,12.55,"2011-08-13 06:30:00",13.42,7.663,"2011-08-13 16:42:30",-1.523,2.551
"2011-08-15 00:00:00",17,13.96,12.54,"2011-08-14 07:00:00",13.48,0.989,"2011-08-14 13:26:30",-2.079,-0.417
"2011-08-16 00:00:00",18,14.06,12.54,"2011-08-15 06:30:00",13.49,3.057,"2011-08-15 14:52:30",-4.291,-0.642
"2011-08-17 00:00:00",19,13.99,12.54,"2011-08-16 07:00:00",13.49,6.852,"2011-08-16 15:38:30",-2.912,0.254
"2011-08-18 00:00:00",20,14.05,12.53,"2011-08-17 07:00:00",13.41,11.43,"2011-08-17 13:07:30",-4.245,1.177
"2011-08-19 00:00:00",21,14.05,12.53,"2011-08-18 06:30:00",13.44,5.982,"2011-08-18 13:48:00",-4.268,0.065
"2011-08-20 00:00:00",22,13.93,12.54,"2011-08-19 07:00:00",13.44,4.213,"2011-08-19 12:38:00",-1.523,1.039
"2011-08-21 00:00:00",23,13.89,12.56,"2011-08-20 07:00:00",13.41,5.548,"2011-08-20 15:49:30",-0.201,2.088
"2011-08-22 00:00:00",24,13.96,12.55,"2011-08-21 07:00:00",13.42,5.917,"2011-08-21 17:01:00",-1.331,1.67
"2011-08-23 00:00:00",25,13.99,12.53,"2011-08-22 07:00:00",13.42,7.817,"2011-08-22 12:06:00",-2.569,0.938
"2011-08-24 00:00:00",26,14,12.53,"2011-08-23 07:00:00",13.44,3.807,"2011-08-23 13:53:00",-2.849,0.073
"2011-08-25 00:00:00",27,14,12.54,"2011-08-24 07:00:00",13.44,5.182,"2011-08-24 13:22:30",-3.193,-0.134
"2011-08-26 00:00:00",28,14.04,12.53,"2011-08-25 07:00:00",13.46,4.451,"2011-08-25 13:01:00",-3.816,-0.665
"2011-08-27 00:00:00",29,14.01,12.53,"2011-08-26 07:00:00",13.44,3.655,"2011-08-26 12:23:30",-3.493,-0.87
"2011-08-28 00:00:00",30,14.03,12.54,"2011-08-27 07:00:00",13.45,2.95,"2011-08-27 18:34:00",-4.788,-1.188
"2011-08-29 00:00:00",31,14.03,12.52,"2011-08-28 07:00:00",13.42,4.213,"2011-08-28 17:19:30",-5.547,-1.234
"2011-08-30 00:00:00",32,14,12.54,"2011-08-29 07:00:00",13.42,4.685,"2011-08-29 18:34:00",-3.127,-0.325
"2011-08-31 00:00:00",33,14.03,12.52,"2011-08-30 07:00:00",13.33,8.44,"2011-08-30 14:03:30",-4.202,0.63
"2011-09-01 00:00:00",34,14.03,12.53,"2011-08-31 07:30:00",13.4,2.971,"2011-08-31 13:01:00",-3.751,-0.827
"2011-09-02 00:00:00",35,13.97,12.55,"2011-09-01 07:30:00",13.4,4.685,"2011-09-01 18:27:00",-3.642,-0.722
"2011-09-03 00:00:00",36,13.96,12.54,"2011-09-02 07:00:00",13.42,2.46,"2011-09-02 13:48:30",-4.182,-0.816
"2011-09-04 00:00:00",37,13.99,12.55,"2011-09-03 07:30:00",13.44,2.119,"2011-09-03 15:39:30",-3.642,-0.824
