"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_May2012.CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-05-07 19:05:00",0,0.4,22.63,4.445,0.653,-4.285,28.22,65.56,1.882237,"NAN","NAN","NAN","NAN"
"2012-05-07 19:10:00",1,0.143,356.1,26.8,0.709,-4.407,34.34,67.12,1.79071,242.8042,206.4635,258.2226,296.6348
"2012-05-07 19:15:00",2,0.614,307.4,27.14,1.049,-4.635,40.88,67.75,1.396887,223.716,191.2262,260.748,295.2477
"2012-05-07 19:20:00",3,1.832,2.502,17.14,2.153,-5.33,13.39,68.5,0.1408447,214.3754,182.7779,258.36,293.0744
"2012-05-07 19:25:00",4,1.976,10.76,7.682,3.136,-5.848,6.142,71.32,-1.356866,206.867,175.5088,252.7948,290.4918
"2012-05-07 19:30:00",5,1.544,2.793,11.84,2.564,-6.06,7.542,71.16,-2.461356,198.4122,168.8101,246.3597,288.4311
"2012-05-07 19:35:00",6,0.356,16.23,2.68,0.898,-5.71,11.69,69.5,-2.670306,189.8935,162.3331,244.3029,287.5676
"2012-05-07 19:40:00",7,0.353,167.3,18.9,0.689,-5.351,27.42,68.63,-2.574301,186.8279,156.906,248.1531,287.0302
"2012-05-07 19:45:00",8,0.708,161.4,21.12,1.287,-5.713,26.81,71.05,-2.619556,180.1206,149.6882,253.0804,287.213
"2012-05-07 19:50:00",9,1.499,144.7,14.04,2.604,-6.129,18.08,73.76,-2.814868,171.4662,142.0977,253.4759,286.8786
"2012-05-07 19:55:00",10,2.404,106.3,11.39,3.332,-6.701,24.74,78.4,-3.588797,156.7463,130.1158,257.8233,286.0201
"2012-05-07 20:00:00",11,2.041,122.6,22.67,2.332,-6.873,26.51,79.29,-4.328531,142.8387,119.7263,264.4584,285.9585
"2012-05-07 20:05:00",12,1.512,155.2,15.82,1.999,-6.802,22.51,79,-4.646441,128.0916,107.9155,270.9797,286.3403
"2012-05-07 20:10:00",13,1.739,105.7,24.36,2.189,-6.842,23.08,81,-4.908472,114.7251,97.59006,273.6514,286.043
"2012-05-07 20:15:00",14,1.012,93.1,47.6,1.555,-6.883,18.38,81.5,-5.106528,100.7951,86.96071,275.4512,286.2219
"2012-05-07 20:20:00",15,0.068,34.63,33.95,0.346,-6.736,10.91,82.6,-5.084002,100.845,88.14407,275.9868,286.9396
"2012-05-07 20:25:00",16,0.485,122.4,8.32,1.179,-6.551,8.48,81.6,-4.915491,94.15014,82.46799,278.7136,287.1341
"2012-05-07 20:30:00",17,0,0,0,0,-6.547,1.057,82.6,-4.877725,85.41736,75.52389,282.9792,287.3768
"2012-05-07 20:35:00",18,0.03,155.2,4.57,0.301,-6.405,-4.94,82.1,-4.733457,71.38905,64.23288,287.7516,287.6992
"2012-05-07 20:40:00",19,0.444,180,50.25,1.022,-6.658,-3.22,84.1,-4.875534,61.00333,54.64509,289.8362,286.9219
"2012-05-07 20:45:00",20,0.59,283.1,16.18,1.052,-7.113,-0.123,87.8,-5.167252,58.1977,52.83247,290.4717,285.8401
"2012-05-07 20:50:00",21,0.244,72.93,6.046,0.441,-7.072,-6.096,88.4,-5.311893,50.46104,46.87176,290.199,285.3251
"2012-05-07 20:55:00",22,0.309,130.4,20.36,0.49,-7.23,0.762,90.1,-5.497952,44.51225,41.85051,289.3889,285.1729
"2012-05-07 21:00:00",23,0,0,0,0,-7.236,-9.05,91.5,-5.510742,41.20983,39.60217,290.0499,285.1171
"2012-05-07 21:05:00",24,0,0,0,0,-7.077,-12.78,91.2,-5.49975,39.2871,40.21464,290.1375,285.1648
"2012-05-07 21:10:00",25,0,0,0,0,-6.834,-13.37,90.4,-5.500018,38.63122,41.30728,290.1761,284.7375
"2012-05-07 21:15:00",26,0,0,0,0,-6.778,-13.77,89.1,-5.521518,37.18303,40.95799,290.0826,284.2955
"2012-05-07 21:20:00",27,0.015,278.2,0.575,0.14,-6.838,-14.8,88.3,-5.573465,31.6611,36.02127,289.8568,284.0697
"2012-05-07 21:25:00",28,0.595,52.52,7.951,1.192,-7.066,-13.52,88.8,-5.748709,26.07121,30.1015,289.1759,283.3092
"2012-05-07 21:30:00",29,0.682,38.05,16.68,1.281,-7.369,-14.01,89.7,-6.064783,25.00757,28.72533,288.0067,283.1026
"2012-05-07 21:35:00",30,0.702,36.06,36.08,1.169,-7.399,-14.01,90.1,-6.259628,23.22,26.99998,287.2056,282.92
"2012-05-07 21:40:00",31,0.596,352.9,44.81,1.032,-7.373,-13.57,88.9,-6.432913,20.73119,24.53233,286.4195,282.7545
"2012-05-07 21:45:00",32,0.648,158.1,15.3,0.96,-7.511,0.418,93.4,-6.59079,16.54505,18.54763,286.059,282.3464
"2012-05-07 21:50:00",33,0.101,83.4,29.6,0.333,-7.786,-13.47,95.9,-6.712097,13.64846,16.07956,285.0604,282.5614
"2012-05-07 21:55:00",34,0.628,19.45,6.487,0.987,-7.845,-14.21,96,-6.821143,12.26801,15.16228,285.1902,282.3262
"2012-05-07 22:00:00",35,0.746,34.28,44.03,1.32,-7.785,-13.67,95,-7.039929,10.63842,13.28352,284.2541,281.971
"2012-05-07 22:05:00",36,0.762,14.97,11.62,1.633,-7.59,-13.99,92.6,-7.075043,8.329698,11.05509,284.1039,282.3631
"2012-05-07 22:10:00",37,1.06,13.24,40.91,1.509,-7.194,-13.47,88.6,-7.1056,5.047628,8.06193,283.8938,282.7361
"2012-05-07 22:15:00",38,0.192,84,36,0.497,-7.158,-13.2,90.6,-7.156876,4.50449,6.707505,283.5952,282.2848
"2012-05-07 22:20:00",39,0.591,126.4,52.66,1.548,-7.516,-10.33,93.3,-7.264511,3.418049,4.697535,283.3751,281.8257
"2012-05-07 22:25:00",40,1.092,167.5,39.24,1.473,-7.704,-3.123,94.5,-7.438583,2.557929,3.321115,282.6336,281.3554
"2012-05-07 22:30:00",41,1.115,292.6,18.09,1.607,-7.59,-10.38,94,-7.476834,2.059997,2.927928,282.471,281.735
"2012-05-07 22:35:00",42,1.006,71.37,28.58,1.712,-7.492,-11.34,93.2,-7.569684,1.403562,2.3599,282.0765,281.6117
"2012-05-07 22:40:00",43,0.98,299.1,32.06,1.441,-7.208,-10.52,90.4,-7.548575,0.8149872,2.600315,282.1265,282.4763
"2012-05-07 22:45:00",44,1.21,285.4,19.67,1.885,-6.714,-9.15,87.6,-7.322296,0.2037488,2.57849,283.0095,283.0515
"2012-05-07 22:50:00",45,2.183,325.8,20.58,2.917,-6.542,-11.39,85,-7.195905,0,2.185173,283.5083,283.319
"2012-05-07 22:55:00",46,1.974,331.3,23.5,3.002,-6.32,-10.77,82.8,-7.052649,0,2.097772,284.16,283.5047
"2012-05-07 23:00:00",47,3.14,3.372,10.3,4.198,-6.167,-12.2,80.4,-6.871509,0,1.92296,284.3374,284.2408
"2012-05-07 23:05:00",48,1.931,350.8,30.42,3.626,-6.005,-11.07,79.58,-6.726813,0,1.573331,285.1564,284.1246
"2012-05-07 23:10:00",49,1.781,346.2,43.44,3.214,-5.985,-10.33,80.4,-6.715051,0,1.245554,285.5654,284.1751
"2012-05-07 23:15:00",50,2.751,337.1,27.17,4.263,-6.167,-12.25,80.6,-6.71506,0,0.7211102,285.5255,283.9427
"2012-05-07 23:20:00",51,1.49,11.94,37.46,2.401,-6.188,-10.33,80.8,-6.727081,0,0.7648138,285.5138,284.046
"2012-05-07 23:25:00",52,1.478,306.1,31.85,2.189,-6.236,-10.08,82.4,-6.727081,0,0.4370365,285.6332,284.1235
"2012-05-07 23:30:00",53,0.791,309.4,27.29,1.48,-6.38,-9.27,85,-6.727081,0,0.1966664,285.6731,284.1235
"2012-05-07 23:35:00",54,1.641,297.8,23.82,2.3,-6.543,-9.66,86.6,-6.727081,0,0,285.6731,284.1235
"2012-05-07 23:40:00",55,2.304,332,19.12,2.796,-6.578,-10.84,86.5,-6.787476,0,0.1311109,285.4142,283.9034
"2012-05-07 23:45:00",56,1.511,302.9,32.74,2.604,-6.532,-9.22,86.6,-6.860013,0,0.4370365,285.1034,283.7088
"2012-05-07 23:50:00",57,1.989,316.3,14.83,2.878,-6.394,-9.96,83.1,-6.775397,0,0.8303693,285.4262,283.9164
"2012-05-07 23:55:00",58,1.015,262.2,26.55,1.46,-6.618,-8.46,88.1,-6.847998,0,0.2622219,285.155,283.5279
"2012-05-08 00:00:00",59,1.563,215.9,48.09,2.927,-7.093,-5.902,93,-6.981497,0,0,284.5835,283.2276
"2012-05-08 00:05:00",60,0.651,209.1,12.19,0.954,-7.307,-6,95.2,-7.201608,0,0,283.6433,282.8685
"2012-05-08 00:10:00",61,0.94,140.5,21.04,1.359,-7.505,-6.418,96.3,-7.263135,0,0,283.381,282.6061
"2012-05-08 00:15:00",62,0.924,146.1,21.01,1.212,-7.717,-6.541,97,-7.44852,0,0,282.5914,281.8166
"2012-05-08 00:20:00",63,0.841,183.3,9.85,1.267,-7.782,-4.82,96.7,-7.585648,0,0,282.0088,281.7764
"2012-05-08 00:25:00",64,0.263,319.9,36.93,0.585,-7.788,-8.9,96.4,-7.713455,0,0,281.466,281.466
"2012-05-08 00:30:00",65,0.604,7.81,9.78,0.941,-7.754,-8.78,96.2,-7.743002,0,0,281.3406,281.3406
"2012-05-08 00:35:00",66,0.616,50.79,34.06,0.872,-7.702,-8.61,96.1,-7.749671,0,0,281.3123,282.0485
"2012-05-08 00:40:00",67,0.358,4.684,10.18,0.653,-7.665,-8.26,95.9,-7.732675,0,0,281.3844,282.1593
"2012-05-08 00:45:00",68,0.37,26.45,13.44,0.621,-7.634,-7.944,95.8,-7.739419,0,0,281.3558,282.1307
"2012-05-08 00:50:00",69,0.08,63.46,11.12,0.232,-7.596,-7.649,95.8,-7.781509,0,0,281.1774,281.9523
"2012-05-08 00:55:00",70,0.276,178.4,7.183,0.849,-7.584,-7.674,95.8,-7.795953,0,0,281.1162,281.3487
"2012-05-08 01:00:00",71,0.513,202,29.26,0.836,-7.669,-7.895,95.8,-7.833609,0,0,280.9567,280.9567
"2012-05-08 01:05:00",72,0.62,72.47,47.56,0.928,-7.742,-8.17,96,-7.852194,0,0,280.878,280.878
"2012-05-08 01:10:00",73,1.324,21.71,26.93,2.538,-7.725,-7.723,96,-7.848254,0,0.1092777,280.8946,281.4758
"2012-05-08 01:15:00",74,2.795,279.2,82.3,4.25,-7.184,-6.37,92.7,-7.721948,0,1.7703,281.1116,282.1277
"2012-05-08 01:20:00",75,2.854,151,7.487,3.417,-7.266,-6.469,93.9,-7.606604,0,0.3496889,281.9194,281.8807
"2012-05-08 01:25:00",76,1.121,166.3,14.13,2.336,-7.55,-6.493,95.6,-7.61055,0,0,281.9027,281.9027
"2012-05-08 01:30:00",77,0.184,28.84,12.58,0.389,-7.628,-7.133,95.8,-7.662247,0,0,281.6834,281.6834
"2012-05-08 01:35:00",78,0.869,359.8,13.31,1.506,-7.602,-6.788,95.9,-7.775846,0,0.04371113,281.2017,281.3954
"2012-05-08 01:40:00",79,0.713,316.4,26.21,1.424,-7.394,-6.149,95.4,-7.650549,0,0.4371112,281.733,282.1979
"2012-05-08 01:45:00",80,0.41,316.2,15.65,1.81,-7.349,-6.05,95.3,-7.612915,0,0.349689,281.8926,282.3576
"2012-05-08 01:50:00",81,1.684,327.9,14.34,2.172,-7.09,-5.362,93,-7.587995,0,1.049067,281.9985,282.5797
"2012-05-08 01:55:00",82,1.174,315,17.24,2.097,-6.952,-5.017,93.6,-7.426346,0,0.7212335,282.6858,283.0345
"2012-05-08 02:00:00",83,2.773,325.5,10.56,4.835,-6.896,-4.329,92.5,-7.36438,0,0.8523669,282.9096,283.0657
"2012-05-08 02:05:00",84,3.634,318,9.34,4.952,-6.919,-5.78,90,-7.36438,0,0.6338113,282.8698,282.6395
"2012-05-08 02:10:00",85,4.594,322.5,5.749,5.207,-6.908,-15.94,88.7,-7.302689,0,0.5901002,281.579,282.5536
"2012-05-08 02:15:00",86,4.196,318.2,7.759,4.763,-6.866,-20.71,88.8,-7.22886,0,0.7649447,281.2564,283.1397
"2012-05-08 02:20:00",87,4.047,321.6,7.767,4.345,-6.856,-12.37,89.3,-7.118286,0,0.5026779,281.6883,283.3402
"2012-05-08 02:25:00",88,4.236,326.8,8.4,4.851,-6.907,-6.592,89.4,-7.118286,0,0.4371112,281.5688,283.5339
"2012-05-08 02:30:00",89,3.21,300.3,25.79,4.211,-6.913,-5.239,90.6,-7.118286,0,0.2622668,281.2899,283.4565
"2012-05-08 02:35:00",90,4.197,312.6,8.24,4.844,-6.93,-3.493,88,-7.130557,0,0.4371112,280.5205,283.1328
"2012-05-08 02:40:00",91,3.866,318.9,12.81,4.557,-6.916,-1.771,86.2,-7.179642,0,0.4808224,279.4346,282.6134
"2012-05-08 02:45:00",92,2.104,298.3,23.14,4.413,-6.842,-3.984,87.7,-7.130557,0,0.4808224,279.5644,283.1716
"2012-05-08 02:50:00",93,3.216,326.8,17.14,4.619,-6.914,-6.493,87.9,-7.22886,0,0.3278334,278.667,282.3648
"2012-05-08 02:55:00",94,1.836,250.8,36.88,4.822,-6.954,-5.411,88.9,-7.352042,0,0.2622668,278.1419,282.1884
