"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CMA6_September2011.CR1","11296","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2011-09-04 14:30:00",0,1.661,757.1331,0
"2011-09-04 15:00:00",1,1.663,757.0649,0
"2011-09-04 15:30:00",2,1.666,756.9423,0
"2011-09-04 16:00:00",3,1.669,757.0231,0
"2011-09-04 16:30:00",4,1.664,756.9227,0
"2011-09-04 17:00:00",5,1.673,756.8311,0
"2011-09-04 17:30:00",6,1.669,756.5714,0
"2011-09-04 18:00:00",7,1.679,756.4357,0
"2011-09-04 18:30:00",8,1.677,756.2991,0
"2011-09-04 19:00:00",9,1.679,756.0259,0
"2011-09-04 19:30:00",10,1.693,755.894,0
"2011-09-04 20:00:00",11,1.694,755.7089,0
"2011-09-04 20:30:00",12,1.696,755.7111,0
"2011-09-04 21:00:00",13,1.688,755.5403,0
"2011-09-04 21:30:00",14,1.688,755.5162,0
"2011-09-04 22:00:00",15,1.67,755.6662,0
"2011-09-04 22:30:00",16,1.693,755.6691,0
"2011-09-04 23:00:00",17,1.688,755.5327,0
"2011-09-04 23:30:00",18,1.691,755.2595,0
"2011-09-05 00:00:00",19,1.688,755.1963,0
"2011-09-05 00:30:00",20,1.681,755.2604,0
"2011-09-05 01:00:00",21,1.695,755.1918,0
"2011-09-05 01:30:00",22,1.69,754.9865,0
"2011-09-05 02:00:00",23,1.673,754.9865,0
"2011-09-05 02:30:00",24,1.687,754.8498,0
"2011-09-05 03:00:00",25,1.673,754.8498,0
"2011-09-05 03:30:00",26,1.698,754.7132,0
"2011-09-05 04:00:00",27,1.692,754.4399,0
"2011-09-05 04:30:00",28,1.685,754.1013,0
"2011-09-05 05:00:00",29,1.676,753.965,0
"2011-09-05 05:30:00",30,1.692,753.7577,0
"2011-09-05 06:00:00",31,1.677,753.6219,0
"2011-09-05 06:30:00",32,1.69,753.6283,0
"2011-09-05 07:00:00",33,1.669,753.6299,0
"2011-09-05 07:30:00",34,1.712,753.6417,0
"2011-09-05 08:00:00",35,1.721,753.5058,0
"2011-09-05 08:30:00",36,1.666,753.6383,0
"2011-09-05 09:00:00",37,1.665,753.7695,0
"2011-09-05 09:30:00",38,1.7,753.7628,0
"2011-09-05 10:00:00",39,1.662,753.7573,0
"2011-09-05 10:30:00",40,1.647,753.4839,0
"2011-09-05 11:00:00",41,1.664,753.347,0.5
"2011-09-05 11:30:00",42,1.669,752.9891,0.2
"2011-09-05 12:00:00",43,1.686,752.7748,0.2
"2011-09-05 12:30:00",44,1.658,753.0278,0.1
"2011-09-05 13:00:00",45,1.686,753.1512,0
"2011-09-05 13:30:00",46,1.664,752.9934,0
"2011-09-05 14:00:00",47,1.649,752.9719,0
"2011-09-05 14:30:00",48,1.658,752.631,0
"2011-09-05 15:00:00",49,1.651,752.048,0
"2011-09-05 15:30:00",50,1.657,751.7117,0
"2011-09-05 16:00:00",51,1.663,751.6464,0
"2011-09-05 16:30:00",52,1.676,751.3297,0
"2011-09-05 17:00:00",53,1.677,751.058,0
"2011-09-05 17:30:00",54,1.66,750.512,0
"2011-09-05 18:00:00",55,1.659,750.5123,0
"2011-09-05 18:30:00",56,1.657,749.705,0
"2011-09-05 19:00:00",57,1.657,749.3084,0
"2011-09-05 19:30:00",58,1.662,748.626,0
"2011-09-05 20:00:00",59,1.674,748.3584,0
"2011-09-05 20:30:00",60,1.646,747.6263,0
"2011-09-05 21:00:00",61,1.651,747.4906,0
"2011-09-05 21:30:00",62,1.659,746.7527,0
"2011-09-05 22:00:00",63,1.66,746.4217,0
"2011-09-05 22:30:00",64,1.664,746.0815,0
"2011-09-05 23:00:00",65,1.647,745.5352,0
"2011-09-05 23:30:00",66,1.646,745.2621,0
"2011-09-06 00:00:00",67,1.667,745.5444,0
"2011-09-06 00:30:00",68,1.618,744.9344,0
"2011-09-06 01:00:00",69,1.613,744.876,0
"2011-09-06 01:30:00",70,1.628,744.7314,0
"2011-09-06 02:00:00",71,1.605,744.5881,0
"2011-09-06 02:30:00",72,1.616,744.9352,0
"2011-09-06 03:00:00",73,1.658,745.1774,0
"2011-09-06 03:30:00",74,1.626,745.2866,0
"2011-09-06 04:00:00",75,1.625,745.6967,0
"2011-09-06 04:30:00",76,1.649,745.9357,0
"2011-09-06 05:00:00",77,1.584,746.1769,0
"2011-09-06 05:30:00",78,1.578,746.5165,0
"2011-09-06 06:00:00",79,1.571,746.7917,0
"2011-09-06 06:30:00",80,1.526,747.0291,0
"2011-09-06 07:00:00",81,1.426,746.517,0
"2011-09-06 07:30:00",82,1.41,746.245,0
"2011-09-06 08:00:00",83,1.416,746.3816,0
"2011-09-06 08:30:00",84,1.442,746.7903,0
"2011-09-06 09:00:00",85,1.416,747.2379,0
"2011-09-06 09:30:00",86,1.383,747.6155,0
"2011-09-06 10:00:00",87,1.41,748.1577,0
"2011-09-06 10:30:00",88,1.414,748.1558,0
"2011-09-06 11:00:00",89,1.418,748.8692,0
"2011-09-06 11:30:00",90,1.42,749.3683,0
"2011-09-06 12:00:00",91,1.439,749.8381,0
"2011-09-06 12:30:00",92,1.444,750.1793,0
"2011-09-06 13:00:00",93,1.452,750.1793,0.1
"2011-09-06 13:30:00",94,1.468,750.4474,0
"2011-09-06 14:00:00",95,1.373,751.5204,0
"2011-09-06 14:30:00",96,1.403,751.1779,0
"2011-09-06 15:00:00",97,1.408,751.3828,0.5
"2011-09-06 15:30:00",98,1.415,751.6559,0.6
"2011-09-06 16:00:00",99,1.394,752.0713,0.3
"2011-09-06 16:30:00",100,1.373,752.2596,0.3
"2011-09-06 17:00:00",101,1.384,752.3646,0
"2011-09-06 17:30:00",102,1.337,752.515,0
"2011-09-06 18:00:00",103,1.321,752.7996,0
"2011-09-06 18:30:00",104,1.311,753.0054,0
"2011-09-06 19:00:00",105,1.295,753.0737,0
"2011-09-06 19:30:00",106,1.285,753.2103,0
"2011-09-06 20:00:00",107,1.286,753.4862,0
"2011-09-06 20:30:00",108,1.261,753.9678,0
"2011-09-06 21:00:00",109,1.271,753.9816,0
"2011-09-06 21:30:00",110,1.258,754.6013,0
"2011-09-06 22:00:00",111,1.237,755.047,0
"2011-09-06 22:30:00",112,1.259,755.2861,0
"2011-09-06 23:00:00",113,1.251,755.5593,0
"2011-09-06 23:30:00",114,1.262,756.3109,0
"2011-09-07 00:00:00",115,1.237,756.6528,0
"2011-09-07 00:30:00",116,1.231,757.1307,0
"2011-09-07 01:00:00",117,1.234,757.404,0
"2011-09-07 01:30:00",118,1.232,758.019,0
"2011-09-07 02:00:00",119,1.238,758.8387,0
"2011-09-07 02:30:00",120,1.242,758.8387,0
