"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CMA6_September2011.CR1","11296","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2011-09-05 00:00:00",0,14,13.09,"2011-09-05 00:00:00",13.75,0.246,"2011-09-04 14:29:00",-3.685,-1.606
"2011-09-06 00:00:00",1,14.03,12.53,"2011-09-05 07:30:00",13.37,2.288,"2011-09-05 15:18:30",-4.008,-1.922
"2011-09-07 00:00:00",2,14.05,12.53,"2011-09-06 07:30:00",13.44,-0.82,"2011-09-06 13:57:30",-4.505,-2.964
"2011-09-08 00:00:00",3,14.03,12.54,"2011-09-07 07:30:00",13.45,1.99,"2011-09-07 16:49:00",-6.466,-2.303
"2011-09-09 00:00:00",4,14.13,12.51,"2011-09-08 07:30:00",13.39,4.816,"2011-09-08 13:25:30",-7.415,-2.362
"2011-09-10 00:00:00",5,14.01,12.54,"2011-09-09 07:30:00",13.44,0.223,"2011-09-09 12:53:30",-4.333,-2.423
"2011-09-11 00:00:00",6,14.11,12.52,"2011-09-10 07:30:00",13.4,5.334,"2011-09-10 17:47:00",-6.182,-2.064
"2011-09-12 00:00:00",7,14.08,12.52,"2011-09-11 07:30:00",13.35,7.225,"2011-09-11 15:01:30",-6.423,-1.489
"2011-09-13 00:00:00",8,13.96,12.55,"2011-09-12 07:30:00",13.3,9.86,"2011-09-12 13:38:30",-4.182,2.156
"2011-09-14 00:00:00",9,13.93,12.56,"2011-09-13 07:30:00",13.33,4.193,"2011-09-13 15:46:30",-1.97,0.779
"2011-09-15 00:00:00",10,14.01,12.55,"2011-09-14 08:00:00",13.32,5.268,"2011-09-14 13:59:30",-5.612,-0.232
"2011-09-16 00:00:00",11,14.19,12.5,"2011-09-15 07:30:00",13.42,0.863,"2011-09-15 17:33:00",-8.98,-4.982
"2011-09-17 00:00:00",12,14.19,12.49,"2011-09-16 08:00:00",13.4,4.256,"2011-09-16 15:50:00",-8.94,-4.253
"2011-09-18 00:00:00",13,14.1,12.5,"2011-09-17 08:00:00",13.41,-0.158,"2011-09-17 17:42:00",-7.46,-4.047
"2011-09-19 00:00:00",14,14.13,12.51,"2011-09-18 08:00:00",13.38,5.528,"2011-09-18 14:37:30",-8.58,-3.574
"2011-09-20 00:00:00",15,14.05,12.53,"2011-09-19 08:00:00",13.36,-2.185,"2011-09-19 14:30:30",-7.795,-4.004
"2011-09-21 00:00:00",16,14.02,12.54,"2011-09-20 07:30:00",13.37,0.585,"2011-09-20 16:46:30",-3.342,-2.205
"2011-09-22 00:00:00",17,14.11,12.52,"2011-09-21 08:00:00",13.37,0.863,"2011-09-21 14:44:00",-7.372,-3.346
"2011-09-23 00:00:00",18,14.13,12.53,"2011-09-22 08:00:00",13.4,-0.712,"2011-09-22 16:34:30",-9.94,-4.534
"2011-09-24 00:00:00",19,14.12,12.53,"2011-09-23 08:00:00",13.43,0.246,"2011-09-23 14:58:30",-8.44,-4.824
"2011-09-25 00:00:00",20,14.18,12.5,"2011-09-24 08:00:00",13.43,-1.394,"2011-09-24 14:37:30",-11.63,-7.01
"2011-09-26 00:00:00",21,14.24,12.49,"2011-09-25 08:00:00",13.42,2.268,"2011-09-25 14:41:30",-11.7,-7.77
"2011-09-27 00:00:00",22,14.31,12.45,"2011-09-26 08:00:00",13.4,-0.287,"2011-09-26 13:23:30",-13.34,-8.24
"2011-09-28 00:00:00",23,14.26,12.48,"2011-09-27 08:00:00",13.43,-0.798,"2011-09-27 15:01:00",-11.75,-7.834
"2011-09-29 00:00:00",24,14.17,12.5,"2011-09-28 08:00:00",13.4,-2.4,"2011-09-28 12:29:00",-10.93,-7.071
"2011-09-30 00:00:00",25,14.23,12.49,"2011-09-29 07:30:00",13.41,0.797,"2011-09-29 14:14:30",-11.07,-7.38
"2011-10-01 00:00:00",26,14.27,12.47,"2011-09-30 08:30:00",13.44,-5.004,"2011-09-30 15:21:30",-12.48,-9.08
"2011-10-02 00:00:00",27,14.15,12.5,"2011-10-01 08:30:00",13.39,-2.912,"2011-10-01 14:03:30",-12.81,-7.173
"2011-10-03 00:00:00",28,14.17,12.51,"2011-10-02 08:30:00",13.38,-1.609,"2011-10-02 14:33:00",-8.73,-6.259
"2011-10-04 00:00:00",29,14.19,12.5,"2011-10-03 08:30:00",13.4,-1.182,"2011-10-03 14:52:00",-9.53,-6.739
"2011-10-05 00:00:00",30,14.26,12.48,"2011-10-04 08:30:00",13.37,0.734,"2011-10-04 15:05:30",-11.79,-8.15
"2011-10-06 00:00:00",31,14.23,12.49,"2011-10-05 08:30:00",13.37,-2.72,"2011-10-05 15:12:30",-12.17,-8.58
"2011-10-07 00:00:00",32,14.23,12.49,"2011-10-06 08:30:00",13.33,-1.652,"2011-10-06 15:45:30",-10.84,-7.029
"2011-10-08 00:00:00",33,14.15,12.51,"2011-10-07 08:00:00",13.38,-3.599,"2011-10-07 14:28:30",-8.96,-6.942
"2011-10-09 00:00:00",34,14.25,12.48,"2011-10-08 08:30:00",13.37,-2.741,"2011-10-08 14:10:30",-11.39,-8.5
"2011-10-10 00:00:00",35,14.28,12.47,"2011-10-09 08:30:00",13.39,-3.771,"2011-10-09 13:56:00",-13.32,-9.64
"2011-10-11 00:00:00",36,14.27,12.46,"2011-10-10 09:00:00",13.36,-4.397,"2011-10-10 16:30:00",-13.3,-10.09
