"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_July2012.CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2012-07-14 17:50:00",0,0.534,37.37,18.24,0.889,6.981,35.48,57.69,13.57476,379.8969,254.996,275.2711,339.7544
"2012-07-14 17:55:00",1,0.451,56.54,36.01,0.915,7.232,66.2,57.71,13.55749,468.3599,312.0149,279.7433,339.3536
"2012-07-14 18:00:00",2,0.463,38.76,31.19,1.33,8.32,80.4,53.26,14.20636,495.8338,329.5266,281.8799,339.9805
"2012-07-14 18:05:00",3,0.821,9.58,8.76,1.281,7.585,56.42,55.58,14.11661,430.1183,288.3561,279.9771,338.1122
"2012-07-14 18:10:00",4,0.709,348.5,23.75,1.421,7.695,41.99,54.29,13.94652,450.5842,330.824,276.6503,330.0621
"2012-07-14 18:15:00",5,1.568,0.165,12.33,2.068,7.399,54.77,55.74,13.34172,481.2534,355.5563,277.231,329.5324
"2012-07-14 18:20:00",6,2.186,339.2,6.115,2.561,6.298,40.86,60.21,11.9209,400.6274,295.7799,275.5088,328.6152
"2012-07-14 18:25:00",7,1.211,346.8,16.95,1.744,6.273,27.41,59.65,10.86261,365.9037,270.6645,275.923,326.9761
"2012-07-14 18:30:00",8,0.511,331.9,10.86,1.134,6.553,20.06,57.63,10.71939,310.8241,228.3807,279.6594,326.7711
"2012-07-14 18:35:00",9,1.258,357.4,11.34,1.771,6.818,17.3,57.02,10.49336,312.2608,229.3284,281.2223,326.4476
"2012-07-14 18:40:00",10,1.759,8.77,12.05,2.012,6.062,16.05,60.36,9.757635,302.9677,221.5508,280.5188,325.8168
"2012-07-14 18:45:00",11,1.918,12.44,9.81,2.414,5.861,15.61,60.8,9.016378,297.149,216.2773,282.4348,325.264
"2012-07-14 18:50:00",12,2.246,14.89,8.07,2.907,5.391,17.2,62.48,8.232257,266.2891,191.1231,286.5078,324.6803
"2012-07-14 18:55:00",13,1.533,20.63,13.31,2.094,5.6,24.5,60.86,7.89498,261.8862,186.4114,291.8256,323.9793
"2012-07-14 19:00:00",14,0.635,34.54,27.78,0.967,6.174,28.53,58.05,8.026011,244.5815,163.6924,294.9019,328.1116
"2012-07-14 19:05:00",15,1.341,4.826,6.107,1.695,6.125,31.35,58.32,8.168536,257.6421,169.9994,297.8393,328.3652
"2012-07-14 19:10:00",16,1.443,9.45,11.01,1.924,5.9,28.21,58.95,8.072336,261.0615,183.6849,296.8746,324.7895
"2012-07-14 19:15:00",17,1.061,18.54,8.44,1.463,6.128,26.01,57.84,8.190619,261.0245,186.5872,296.5171,324.3432
"2012-07-14 19:20:00",18,2.072,19.61,8.68,2.398,6.05,27.35,58.02,8.159375,243.6833,173.0043,297.8259,324.2228
"2012-07-14 19:25:00",19,1.963,21.41,9.34,2.613,5.397,21.25,61.49,7.624606,216.9563,153.8683,296.9966,323.6915
"2012-07-14 19:30:00",20,1.504,38.62,12.13,1.901,5.563,27.82,59.13,7.431415,219.767,155.4018,297.9695,323.6086
"2012-07-14 19:35:00",21,1.237,78.64,22,1.718,5.692,23.05,58.28,7.328125,204.9558,146.1771,296.9717,323.3983
"2012-07-14 19:40:00",22,1.856,88.7,14.97,2.401,5.978,35.65,57.44,7.487991,259.8387,184.2249,295.1879,323.3863
"2012-07-14 19:45:00",23,1.244,96.7,22.24,1.352,5.889,26.7,59.13,7.649722,245.4303,169.6817,289.046,323.5007
"2012-07-14 19:50:00",24,1.513,117.4,19.13,2.212,5.644,6.939,58.91,7.515048,183.8857,127.2685,286.2619,323.3257
"2012-07-14 19:55:00",25,0.819,150.8,62.94,1.444,5.638,2.403,57.61,7.255221,159.1309,111.8917,290.5972,323.2977
"2012-07-14 20:00:00",26,1.282,150.7,31.67,2.666,5.718,14.3,56.37,7.115021,169.611,118.1273,297.6797,323.1371
"2012-07-14 20:05:00",27,0.665,120.3,32.31,1.532,5.899,16.53,55.26,7.120346,152.8399,107.9529,303.3059,323.1246
"2012-07-14 20:10:00",28,1.291,120.2,29.49,1.767,5.97,19.08,54.47,7.097144,145.5941,102.8328,307.3206,323.1631
"2012-07-14 20:15:00",29,1.734,124,13.23,2.166,5.745,18,55.51,6.908813,133.4261,93.92058,308.1292,322.8807
"2012-07-14 20:20:00",30,2.797,142.6,7.641,3.391,5.546,7.087,54.44,6.58345,127.309,89.54131,307.6626,322.5759
"2012-07-14 20:25:00",31,1.826,120.7,18.24,2.898,5.592,14.27,53.95,6.402948,128.5976,91.37299,308.1569,322.4528
"2012-07-14 20:30:00",32,1.789,134,34.41,2.884,5.489,12.7,56.19,6.287799,128.1065,90.91933,307.6646,322.1135
"2012-07-14 20:35:00",33,1.381,141.7,15.44,2.212,5.32,12.43,56.96,6.182617,121.7001,86.12895,307.5795,322.1716
"2012-07-14 20:40:00",34,1.211,116.3,16.64,1.565,5.263,13.05,57.74,6.072238,117.0974,82.42644,306.5563,321.8575
"2012-07-14 20:45:00",35,1.14,83.7,14.71,1.49,5.358,9.81,57.1,5.960498,99.03544,70.83298,304.6935,321.7309
"2012-07-14 20:50:00",36,1.114,86.6,27.82,1.372,5.257,6.892,57.65,5.789041,89.55264,65.47202,305.5169,321.6201
"2012-07-14 20:55:00",37,0.65,80.9,22.41,1.085,5.399,6.794,55.16,5.730628,97.298,70.74669,305.7457,321.6415
"2012-07-14 21:00:00",38,0.509,81.4,20.5,1.085,5.618,7.064,55.16,5.773355,107.6176,77.15474,301.5858,321.504
"2012-07-14 21:05:00",39,0.776,95.5,37.88,1.656,5.417,5.249,55.63,5.749957,111.6385,79.20461,298.2521,321.4272
"2012-07-14 21:10:00",40,0.867,111.7,38.13,1.532,5.429,5.298,55.5,5.742129,107.6899,76.35155,299.6028,321.388
"2012-07-14 21:15:00",41,1.018,82.7,10.11,1.326,5.298,6.427,56.62,5.711945,98.68463,69.68526,300.6839,321.5476
"2012-07-14 21:20:00",42,1.494,96.9,11.21,1.705,5.071,-0.859,58.78,5.523273,74.23069,53.18679,298.9609,321.3542
"2012-07-14 21:25:00",43,1.332,101.2,10.31,1.738,4.629,-2.183,62.45,5.180448,62.15015,44.83924,300.9359,321.0269
"2012-07-14 21:30:00",44,1.174,103.2,17.12,1.748,4.466,1.006,61.74,4.911087,68.88084,49.15587,303.4742,320.8705
"2012-07-14 21:35:00",45,0.201,238.7,79.72,0.565,4.73,0.932,60.19,4.864621,67.00674,48.0226,303.7242,320.953
"2012-07-14 21:40:00",46,1.209,355.5,12.09,1.428,4.667,1.251,61.02,4.752332,59.80283,43.31435,304.6871,320.6766
"2012-07-14 21:45:00",47,1.406,11.27,8.25,1.859,4.613,1.325,61.32,4.599206,58.44976,42.11684,304.855,320.3949
"2012-07-14 21:50:00",48,0.816,7.614,6.776,1.222,4.64,1.006,60.84,4.55191,53.7321,38.84877,305.6171,320.4735
"2012-07-14 21:55:00",49,0.957,10.2,10.84,1.16,4.588,1.055,60.54,4.459555,48.85549,35.44929,306.8365,320.3724
"2012-07-14 22:00:00",50,1.336,76.18,22.86,1.64,4.675,0.123,58.74,4.40694,46.14614,33.33532,308.0112,320.2713
"2012-07-14 22:05:00",51,1.917,27.14,17.42,2.956,4.57,0.245,62.01,4.341647,40.9967,29.49852,308.2112,320.1867
"2012-07-14 22:10:00",52,2.049,18.02,14.08,2.956,4.125,-2.233,62.81,4.110916,37.45077,26.70807,304.9877,319.9973
"2012-07-14 22:15:00",53,1.617,46.61,39.3,2.61,4.21,-9.23,61.14,4.038757,35.28318,25.42234,298.8757,319.9961
"2012-07-14 22:20:00",54,1.657,116.2,8.28,2.254,4.265,-17.47,61.3,3.902643,32.86744,24.15866,290.0302,319.2999
"2012-07-14 22:25:00",55,1.845,131.7,24.65,2.022,4.241,-22.53,58.44,3.806192,29.84096,22.67637,284.0004,319.2599
"2012-07-14 22:30:00",56,1.055,129.7,46.17,1.79,4.598,-23.39,55.67,3.783783,28.17032,22.15385,284.2882,319.0355
"2012-07-14 22:35:00",57,0.71,311,70.62,1.147,4.491,-24.56,58.1,3.697873,27.99036,21.5439,282.4424,318.6216
"2012-07-14 22:40:00",58,1.04,334.2,6.314,1.379,4.102,-31.09,60.1,3.493677,23.87914,18.53501,274.6633,318.1423
"2012-07-14 22:45:00",59,0.56,339,24.48,0.993,4.045,-39.43,59.43,3.251404,18.14087,15.22047,266.1882,317.3671
"2012-07-14 22:50:00",60,1.052,9.2,17.56,1.483,4.23,-41.28,58.08,3.117142,13.91634,12.5166,263.5183,316.9178
"2012-07-14 22:55:00",61,1.902,16.46,10.07,2.391,3.981,-41.2,58.72,2.97695,9.849943,9.638283,263.5633,316.4797
"2012-07-14 23:00:00",62,2.195,5.238,4.366,2.623,3.835,-35.21,59.25,2.840814,7.794157,8.002879,267.524,316.062
"2012-07-14 23:05:00",63,1.88,26.58,16.19,2.27,3.666,-33.35,60.39,2.831342,7.048841,7.02181,275.9435,316.5963
"2012-07-14 23:10:00",64,2.069,99.1,47.58,3.038,4.06,-29.03,55.55,2.90567,7.116909,7.065721,284.4052,317.4145
"2012-07-14 23:15:00",65,1.433,158.5,23.5,2.156,4.788,-16.81,49.37,3.239255,5.264465,6.95696,291.5233,317.8871
"2012-07-14 23:20:00",66,1.739,85.2,36.25,2.979,4.663,-20.74,51.67,3.372736,3.231078,4.57995,296.8924,318.4104
"2012-07-14 23:25:00",67,2.007,78.73,22.56,2.989,4.605,-16.57,52.53,3.461591,2.282127,3.140589,301.373,318.3337
"2012-07-14 23:30:00",68,2.298,119.1,14.95,2.927,4.539,-10.75,49.98,3.54635,1.649472,2.486321,303.8073,318.5474
"2012-07-14 23:35:00",69,2.828,147.8,15.97,3.92,4.578,-6.799,48.09,3.668994,1.12978,2.311852,306.1062,318.5956
"2012-07-14 23:40:00",70,4.029,161.1,7.528,5.152,4.552,-0.172,46.43,3.769104,0.6778694,1.875657,307.8602,318.7295
"2012-07-14 23:45:00",71,4.393,154.7,15.84,5.553,4.44,-2.651,47.89,3.777689,0.2259566,1.199549,307.9015,318.4615
"2012-07-14 23:50:00",72,4.373,170.1,28.75,6.19,4.626,-1.35,43.06,3.939877,0.3163394,1.526699,309.24,318.5475
"2012-07-14 23:55:00",73,4.57,162.1,15.99,5.726,4.597,0.736,42.68,3.976798,0,0.8723997,310.0145,318.6096
"2012-07-15 00:00:00",74,4.794,168.4,25.17,7.066,4.614,-4.099,43.73,4.063998,0.04519136,0.8723997,309.2032,318.5668
"2012-07-15 00:05:00",75,4.93,162.6,34.82,7.268,4.409,-2.111,43.3,3.98168,0,0.3925799,308.3286,318.4785
"2012-07-15 00:10:00",76,4.96,154.1,26.31,6.076,4.372,-4.811,43.52,3.938864,0,0.3053399,307.7244,318.2332
"2012-07-15 00:15:00",77,6.336,166.1,19.82,9.39,4.337,-4.05,44.48,3.836688,0,0.3925799,305.8005,317.8565
"2012-07-15 00:20:00",78,7.338,158.5,11.2,9.68,4.05,-6.185,50.16,3.724652,0,0.15267,305.0621,318.2062
"2012-07-15 00:25:00",79,7.659,166.6,12.94,10,3.989,-6.971,51.9,3.652261,0,0.3053399,303.362,318.3217
"2012-07-15 00:30:00",80,7.783,161.9,13.39,9.97,3.966,-9.52,53.5,3.603662,0,0.2835299,301.0215,318.2815
"2012-07-15 00:35:00",81,8.52,156.1,24.54,10.51,3.822,-6.921,56.12,3.484436,0,0.2617199,301.7207,318.4432
"2012-07-15 00:40:00",82,7.543,154.5,34.72,10.72,3.806,-7.78,57.25,3.46297,0,0.2399099,302.1742,318.6108
"2012-07-15 00:45:00",83,6.312,167.4,29.85,8.13,3.618,-10.55,59.41,3.326617,0,0.10905,302.5936,318.3821
"2012-07-15 00:50:00",84,7.11,169.3,19.98,10.74,3.361,-9.18,63.07,3.120224,0,0,303.1161,318.2447
"2012-07-15 00:55:00",85,8.05,174.3,23.53,11.17,2.999,-7.928,66.42,2.821176,0,0.04361999,304.2725,318.2089
"2012-07-15 01:00:00",86,5.036,193.8,19.74,7.275,2.841,-6.946,66.53,2.592908,0,0.06542998,303.0266,317.5473
"2012-07-15 01:05:00",87,4.952,195.1,16.7,6.88,2.611,-5.596,69.49,2.381287,0,0,305.5198,317.4315
"2012-07-15 01:10:00",88,5.476,173.1,15,8.06,2.263,-6.602,72.77,2.120538,0,0,306.9085,317.163
"2012-07-15 01:15:00",89,3.37,147.5,18.32,4.452,1.951,-6.995,75.94,1.84816,0,0,307.9675,316.8431
"2012-07-15 01:20:00",90,3.952,163.6,15.1,4.544,1.67,-5.572,78.61,1.611462,0,0,307.5281,316.7332
"2012-07-15 01:25:00",91,3.03,170.6,16.68,3.998,1.639,-3.657,78.98,1.394388,0,0.06542998,307.7803,316.3705
"2012-07-15 01:30:00",92,3.369,151.6,13.61,4.149,1.68,-3.559,79,1.284598,0,0.08723997,308.8156,316.1261
"2012-07-15 01:35:00",93,4.146,170.3,22.15,6.004,1.657,-4.958,79.71,1.263211,0,0.2617252,303.5074,316.1805
"2012-07-15 01:40:00",94,4.413,160.9,15.7,5.834,1.807,-6.21,79.56,1.334283,0,0.501655,304.8337,316.2042
