"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_July2012.CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2012-07-14 18:00:00",0,0.835,776.9894,0
"2012-07-14 18:30:00",1,0.841,777.0465,0
"2012-07-14 19:00:00",2,0.855,776.9867,0
"2012-07-14 19:30:00",3,0.847,776.8253,0
"2012-07-14 20:00:00",4,0.847,776.9211,0
"2012-07-14 20:30:00",5,0.841,776.8148,0
"2012-07-14 21:00:00",6,0.839,776.845,0
"2012-07-14 21:30:00",7,0.84,776.5729,0
"2012-07-14 22:00:00",8,0.841,776.466,0
"2012-07-14 22:30:00",9,0.841,776.1957,0
"2012-07-14 23:00:00",10,0.84,776.2233,0
"2012-07-14 23:30:00",11,0.841,776.2373,0
"2012-07-15 00:00:00",12,0.84,776.334,0
"2012-07-15 00:30:00",13,0.844,776.5659,0
"2012-07-15 01:00:00",14,0.846,776.7936,0
"2012-07-15 01:30:00",15,0.847,776.1348,0
"2012-07-15 02:00:00",16,0.849,776.0104,0
"2012-07-15 02:30:00",17,0.851,775.8149,0
"2012-07-15 03:00:00",18,0.856,775.6313,0
"2012-07-15 03:30:00",19,0.851,775.6314,0
"2012-07-15 04:00:00",20,0.854,775.22,0
"2012-07-15 04:30:00",21,0.853,774.9985,0
"2012-07-15 05:00:00",22,0.856,774.7188,0
"2012-07-15 05:30:00",23,0.853,774.7485,0
"2012-07-15 06:00:00",24,0.85,774.6268,0
"2012-07-15 06:30:00",25,0.854,774.5388,0
"2012-07-15 07:00:00",26,0.858,774.4027,0
"2012-07-15 07:30:00",27,0.853,774.1297,0
"2012-07-15 08:00:00",28,0.854,774.2491,0
"2012-07-15 08:30:00",29,0.856,773.8979,0
"2012-07-15 09:00:00",30,0.851,773.9589,0
"2012-07-15 09:30:00",31,0.849,773.6436,0
"2012-07-15 10:00:00",32,0.849,773.6315,0
"2012-07-15 10:30:00",33,0.849,773.4266,0
"2012-07-15 11:00:00",34,0.85,773.2758,0
"2012-07-15 11:30:00",35,0.851,773.0537,0
"2012-07-15 12:00:00",36,0.852,773.4358,0
"2012-07-15 12:30:00",37,0.85,773.1628,0
"2012-07-15 13:00:00",38,0.851,773.2704,0
"2012-07-15 13:30:00",39,0.858,772.6637,0
"2012-07-15 14:00:00",40,0.857,772.6168,0
"2012-07-15 14:30:00",41,0.861,772.9558,0
"2012-07-15 15:00:00",42,0.867,772.9313,0
"2012-07-15 15:30:00",43,0.867,772.9288,0
"2012-07-15 16:00:00",44,0.876,772.7216,0
"2012-07-15 16:30:00",45,0.877,772.5596,0
"2012-07-15 17:00:00",46,0.881,772.4174,0
"2012-07-15 17:30:00",47,0.888,772.2097,0
"2012-07-15 18:00:00",48,0.892,772.3497,0
"2012-07-15 18:30:00",49,0.896,772.421,0
"2012-07-15 19:00:00",50,0.899,772.2856,0
"2012-07-15 19:30:00",51,0.902,772.302,0
"2012-07-15 20:00:00",52,0.909,772.0706,0
"2012-07-15 20:30:00",53,0.902,771.8212,0
"2012-07-15 21:00:00",54,0.909,771.9681,0
"2012-07-15 21:30:00",55,0.907,771.8564,0
"2012-07-15 22:00:00",56,0.908,770.9022,0
"2012-07-15 22:30:00",57,0.908,771.2039,0
"2012-07-15 23:00:00",58,0.91,771.0908,0
"2012-07-15 23:30:00",59,0.911,771.0947,0
"2012-07-16 00:00:00",60,0.913,770.8484,0
"2012-07-16 00:30:00",61,0.913,770.7179,0
"2012-07-16 01:00:00",62,0.914,770.8107,0
"2012-07-16 01:30:00",63,0.916,770.8297,0
"2012-07-16 02:00:00",64,0.916,770.7067,0
"2012-07-16 02:30:00",65,0.915,771.0481,0
"2012-07-16 03:00:00",66,0.914,771.1847,0
"2012-07-16 03:30:00",67,0.916,770.8433,0
"2012-07-16 04:00:00",68,0.917,771.0634,0
"2012-07-16 04:30:00",69,0.917,770.9407,0
"2012-07-16 05:00:00",70,0.919,771.2229,0
"2012-07-16 05:30:00",71,0.918,771.243,0
"2012-07-16 06:00:00",72,0.916,771.3553,0
"2012-07-16 06:30:00",73,0.915,771.2117,0
"2012-07-16 07:00:00",74,0.915,771.3221,0
"2012-07-16 07:30:00",75,0.92,771.4579,0
"2012-07-16 08:00:00",76,0.919,771.4311,0
"2012-07-16 08:30:00",77,0.922,771.5652,0
"2012-07-16 09:00:00",78,0.933,771.6746,0
"2012-07-16 09:30:00",79,0.937,771.809,0
"2012-07-16 10:00:00",80,0.935,771.9205,0
"2012-07-16 10:30:00",81,0.917,772.0312,0
"2012-07-16 11:00:00",82,0.911,772.2004,0
"2012-07-16 11:30:00",83,0.91,772.2383,0
"2012-07-16 12:00:00",84,0.915,772.2341,0
"2012-07-16 12:30:00",85,0.912,772.4812,0
"2012-07-16 13:00:00",86,0.912,772.5831,0
"2012-07-16 13:30:00",87,0.916,772.6172,0
"2012-07-16 14:00:00",88,0.912,772.7246,0
"2012-07-16 14:30:00",89,0.915,772.695,0
"2012-07-16 15:00:00",90,0.913,772.6948,0
"2012-07-16 15:30:00",91,0.913,772.6844,0.3
"2012-07-16 16:00:00",92,0.912,772.831,0.7
"2012-07-16 16:30:00",93,0.913,772.7908,0.3
"2012-07-16 17:00:00",94,0.911,772.7924,0.8
"2012-07-16 17:30:00",95,0.911,772.8605,1
"2012-07-16 18:00:00",96,0.914,772.7238,0.8
"2012-07-16 18:30:00",97,0.913,772.8586,0.8
"2012-07-16 19:00:00",98,0.913,772.7924,0.8
"2012-07-16 19:30:00",99,0.914,772.7874,0.6
"2012-07-16 20:00:00",100,0.916,772.6854,0.5
"2012-07-16 20:30:00",101,0.915,772.6801,0.4
"2012-07-16 21:00:00",102,0.916,772.8076,0.4
"2012-07-16 21:30:00",103,0.916,772.833,0.1
"2012-07-16 22:00:00",104,0.916,772.8678,0.2
"2012-07-16 22:30:00",105,0.919,773.0105,0.1
"2012-07-16 23:00:00",106,0.92,772.8998,0.1
"2012-07-16 23:30:00",107,0.922,773.0375,0.1
"2012-07-17 00:00:00",108,0.919,772.901,0
"2012-07-17 00:30:00",109,0.923,772.903,0
"2012-07-17 01:00:00",110,0.926,772.7659,0.1
"2012-07-17 01:30:00",111,0.933,772.6542,0
"2012-07-17 02:00:00",112,0.943,772.6397,0
"2012-07-17 02:30:00",113,0.928,772.6528,0
"2012-07-17 03:00:00",114,0.929,772.6538,0
"2012-07-17 03:30:00",115,0.923,772.7939,0
"2012-07-17 04:00:00",116,0.927,772.5209,0
"2012-07-17 04:30:00",117,0,772.3843,0
"2012-07-17 05:00:00",118,0.919,772.3843,0
"2012-07-17 05:30:00",119,0.921,772.3843,0
