"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_July2012.CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2012-07-15 00:00:00",0,13.79,13.33,"2012-07-15 00:00:00",13.63,15.95,"2012-07-14 17:58:00",3.249,7.202
"2012-07-16 00:00:00",1,13.89,12.6,"2012-07-15 06:00:00",13.48,8.75,"2012-07-15 17:04:00",0.479,4.222
"2012-07-17 00:00:00",2,13.96,12.56,"2012-07-16 06:00:00",13.5,8.48,"2012-07-16 15:00:00",-3.084,2.669
"2012-07-18 00:00:00",3,13.94,12.57,"2012-07-17 06:00:00",13.56,5.117,"2012-07-17 15:12:00",-0.628,1.525
"2012-07-19 00:00:00",4,13.98,12.65,"2012-07-18 05:30:00",13.47,10.74,"2012-07-18 19:00:30",-1.97,4.492
"2012-07-20 00:00:00",5,13.91,12.58,"2012-07-19 06:00:00",13.44,10.9,"2012-07-19 18:51:00",0.608,5.542
"2012-07-21 00:00:00",6,13.88,12.59,"2012-07-20 06:00:00",13.43,11.93,"2012-07-20 18:21:30",1.629,6.121
"2012-07-22 00:00:00",7,13.83,12.58,"2012-07-21 06:00:00",13.39,12.63,"2012-07-21 18:04:00",2.48,7.141
"2012-07-23 00:00:00",8,13.85,12.59,"2012-07-22 05:30:00",13.43,10.27,"2012-07-22 15:08:00",2.438,5.86
"2012-07-24 00:00:00",9,13.87,12.57,"2012-07-23 06:00:00",13.43,10.49,"2012-07-23 18:49:00",1.159,5.549
"2012-07-25 00:00:00",10,13.88,12.57,"2012-07-24 06:00:00",13.47,5.808,"2012-07-24 12:21:00",0.415,2.787
"2012-07-26 00:00:00",11,13.91,12.55,"2012-07-25 06:00:00",13.45,10.16,"2012-07-25 14:56:00",0.309,3.799
"2012-07-27 00:00:00",12,13.82,12.57,"2012-07-26 06:30:00",13.41,11.89,"2012-07-26 18:25:30",2.609,5.909
"2012-07-28 00:00:00",13,13.83,12.58,"2012-07-27 06:30:00",13.36,10.67,"2012-07-27 12:49:00",2.801,5.755
"2012-07-29 00:00:00",14,13.86,12.56,"2012-07-28 06:00:00",13.42,8.83,"2012-07-28 16:22:30",-0.224,4.094
"2012-07-30 00:00:00",15,13.98,12.55,"2012-07-29 06:00:00",13.41,11.02,"2012-07-29 19:25:30",-1.97,3.852
"2012-07-31 00:00:00",16,14,12.57,"2012-07-30 06:00:00",13.46,9.57,"2012-07-30 14:59:00",-2.463,2.14
"2012-08-01 00:00:00",17,14,12.56,"2012-07-31 06:00:00",13.46,10.16,"2012-07-31 15:24:30",-2.978,2.762
"2012-08-02 00:00:00",18,13.99,12.55,"2012-08-01 06:30:00",13.46,6.613,"2012-08-01 16:00:30",-2.185,1.901
"2012-08-03 00:00:00",19,13.92,12.56,"2012-08-02 06:00:00",13.49,4.064,"2012-08-02 10:47:30",-0.35,1.776
"2012-08-04 00:00:00",20,14.01,12.53,"2012-08-03 06:30:00",13.47,7.686,"2012-08-03 13:57:00",-2.463,1.604
"2012-08-05 00:00:00",21,14.03,12.53,"2012-08-04 06:30:00",13.47,6.875,"2012-08-04 14:45:30",-3.771,1.205
"2012-08-06 00:00:00",22,13.97,12.53,"2012-08-05 06:30:00",13.49,6.656,"2012-08-05 18:45:30",-2.205,1.047
"2012-08-07 00:00:00",23,13.96,12.53,"2012-08-06 07:00:00",13.46,7.532,"2012-08-06 12:31:30",-1.864,1.937
"2012-08-08 00:00:00",24,13.89,12.56,"2012-08-07 06:30:00",13.43,9.32,"2012-08-07 14:21:30",1.373,4.15
"2012-08-09 00:00:00",25,13.87,12.57,"2012-08-08 06:00:00",13.42,9.55,"2012-08-08 16:23:30",1.138,4.396
"2012-08-10 00:00:00",26,13.92,12.53,"2012-08-09 07:00:00",13.29,3.612,"2012-08-09 15:38:30",-0.884,1.112
"2012-08-11 00:00:00",27,13.86,12.6,"2012-08-10 06:30:00",13.41,11.13,"2012-08-10 13:07:00",-0.287,4.916
"2012-08-12 00:00:00",28,13.87,12.57,"2012-08-11 06:30:00",13.42,7.817,"2012-08-11 15:24:00",1.649,3.836
"2012-08-13 00:00:00",29,13.91,12.55,"2012-08-12 07:00:00",13.39,7.618,"2012-08-12 15:32:00",0.266,3.443
"2012-08-14 00:00:00",30,13.88,12.56,"2012-08-13 06:30:00",13.4,7.311,"2012-08-13 13:16:30",0.287,2.892
"2012-08-15 00:00:00",31,13.9,12.55,"2012-08-14 06:30:00",13.38,9.97,"2012-08-14 16:23:00",0.33,4.386
"2012-08-16 00:00:00",32,13.91,12.55,"2012-08-15 06:30:00",13.34,9.19,"2012-08-15 18:42:30",-0.052,4.013
"2012-08-17 00:00:00",33,13.93,12.54,"2012-08-16 06:30:00",13.32,9.64,"2012-08-16 19:09:30",-0.457,3.87
"2012-08-18 00:00:00",34,13.9,12.53,"2012-08-17 07:00:00",13.35,8.1,"2012-08-17 15:31:30",-1.95,2.323
"2012-08-19 00:00:00",35,13.93,12.53,"2012-08-18 07:30:00",13.29,10.47,"2012-08-18 13:26:30",-1.844,2.87
"2012-08-20 00:00:00",36,13.94,12.56,"2012-08-19 07:00:00",13.34,9.35,"2012-08-19 18:55:00",-0.628,3.597
"2012-08-21 00:00:00",37,13.92,12.55,"2012-08-20 07:00:00",13.4,8.04,"2012-08-20 12:42:30",-1.566,2.504
