"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_with_CNR4_May2013.CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-05-27 14:30:00",0,1.392,769.0178,0
"2013-05-27 15:00:00",1,1.397,769.0453,0
"2013-05-27 15:30:00",2,1.397,768.9199,0
"2013-05-27 16:00:00",3,1.399,768.9078,0
"2013-05-27 16:30:00",4,1.401,768.7664,0
"2013-05-27 17:00:00",5,1.411,768.6219,0
"2013-05-27 17:30:00",6,1.409,768.5017,0
"2013-05-27 18:00:00",7,1.413,768.3923,0
"2013-05-27 18:30:00",8,1.422,768.2731,0
"2013-05-27 19:00:00",9,1.422,768.0013,0
"2013-05-27 19:30:00",10,1.422,767.9332,0
"2013-05-27 20:00:00",11,1.415,767.7558,0
"2013-05-27 20:30:00",12,1.417,767.7584,0
"2013-05-27 21:00:00",13,1.417,767.6493,0
"2013-05-27 21:30:00",14,1.417,767.5401,0
"2013-05-27 22:00:00",15,1.416,767.5688,0
"2013-05-27 22:30:00",16,1.417,767.7749,0
"2013-05-27 23:00:00",17,1.417,767.7819,0
"2013-05-27 23:30:00",18,1.419,767.8035,0
"2013-05-28 00:00:00",19,1.416,767.5339,0
"2013-05-28 00:30:00",20,1.418,767.4299,0
"2013-05-28 01:00:00",21,1.421,767.3954,0
"2013-05-28 01:30:00",22,1.421,767.6486,0
"2013-05-28 02:00:00",23,1.424,767.3886,0.1
"2013-05-28 02:30:00",24,1.424,767.2864,0
"2013-05-28 03:00:00",25,1.425,767.5252,0.1
"2013-05-28 03:30:00",26,1.426,767.0426,0.5
"2013-05-28 04:00:00",27,1.423,767.1996,0
"2013-05-28 04:30:00",28,1.424,766.8389,0
"2013-05-28 05:00:00",29,1.425,766.9758,0
"2013-05-28 05:30:00",30,1.425,767.0421,0
"2013-05-28 06:00:00",31,1.426,766.8438,0
"2013-05-28 06:30:00",32,1.43,766.8567,0
"2013-05-28 07:00:00",33,1.426,766.2475,0
"2013-05-28 07:30:00",34,1.427,766.1973,0
"2013-05-28 08:00:00",35,1.427,766.0751,0
"2013-05-28 08:30:00",36,1.427,765.9902,0
"2013-05-28 09:00:00",37,1.43,765.9639,0
"2013-05-28 09:30:00",38,1.431,765.9619,0
"2013-05-28 10:00:00",39,1.431,765.9619,0
"2013-05-28 10:30:00",40,1.44,766.096,0
"2013-05-28 11:00:00",41,1.439,766.2293,0
"2013-05-28 11:30:00",42,1.44,766.2335,0
"2013-05-28 12:00:00",43,1.441,766.2346,0
"2013-05-28 12:30:00",44,1.441,766.0883,0
"2013-05-28 13:00:00",45,1.454,766.0142,0
"2013-05-28 13:30:00",46,1.472,766.124,0
"2013-05-28 14:00:00",47,1.489,765.8231,0
"2013-05-28 14:30:00",48,1.471,765.8205,0
"2013-05-28 15:00:00",49,1.477,765.5552,0
"2013-05-28 15:30:00",50,1.484,765.4395,0
"2013-05-28 16:00:00",51,1.485,765.6038,0
"2013-05-28 16:30:00",52,1.496,765.7234,0
"2013-05-28 17:00:00",53,1.495,766.0964,0.1
"2013-05-28 17:30:00",54,1.496,766.0563,0.6
"2013-05-28 18:00:00",55,1.499,766.2894,0.2
"2013-05-28 18:30:00",56,1.504,766.3088,0.2
"2013-05-28 19:00:00",57,1.505,766.2447,0
"2013-05-28 19:30:00",58,1.494,766.0905,0
"2013-05-28 20:00:00",59,1.495,765.7188,0
"2013-05-28 20:30:00",60,1.497,765.7173,0
"2013-05-28 21:00:00",61,1.499,765.7173,0
"2013-05-28 21:30:00",62,1.498,765.4685,0
"2013-05-28 22:00:00",63,1.506,765.6108,0
"2013-05-28 22:30:00",64,1.508,765.7615,0
"2013-05-28 23:00:00",65,1.51,765.7679,0
"2013-05-28 23:30:00",66,1.507,765.839,0
"2013-05-29 00:00:00",67,1.51,765.8359,0
"2013-05-29 00:30:00",68,1.511,765.8381,0
"2013-05-29 01:00:00",69,1.514,765.9781,0
"2013-05-29 01:30:00",70,1.532,765.7055,0
"2013-05-29 02:00:00",71,1.522,765.7055,0
"2013-05-29 02:30:00",72,1.526,765.9319,0
"2013-05-29 03:00:00",73,0,765.802,0
"2013-05-29 03:30:00",74,1.519,765.802,0
"2013-05-29 04:00:00",75,1.525,765.5973,0
"2013-05-29 04:30:00",76,1.535,765.4608,0
"2013-05-29 05:00:00",77,1.52,765.4629,0
"2013-05-29 05:30:00",78,1.519,765.327,0
"2013-05-29 06:00:00",79,1.525,765.191,0
"2013-05-29 06:30:00",80,1.524,765.1968,0
"2013-05-29 07:00:00",81,1.515,765.2585,0
"2013-05-29 07:30:00",82,1.524,765.252,0
"2013-05-29 08:00:00",83,1.518,765.1194,0
"2013-05-29 08:30:00",84,1.509,765.086,0
"2013-05-29 09:00:00",85,1.509,765.2423,0
"2013-05-29 09:30:00",86,1.506,765.3538,0
"2013-05-29 10:00:00",87,1.506,765.3962,0
"2013-05-29 10:30:00",88,1.503,765.3622,0
"2013-05-29 11:00:00",89,1.505,765.598,0
"2013-05-29 11:30:00",90,1.505,765.7127,0
"2013-05-29 12:00:00",91,1.517,765.6139,0
"2013-05-29 12:30:00",92,1.518,765.7252,0
"2013-05-29 13:00:00",93,1.514,765.8448,0
"2013-05-29 13:30:00",94,1.521,765.9685,0
"2013-05-29 14:00:00",95,1.526,765.9684,0
"2013-05-29 14:30:00",96,1.529,766.0394,0
"2013-05-29 15:00:00",97,1.54,766.0365,0
"2013-05-29 15:30:00",98,1.547,766.083,0
"2013-05-29 16:00:00",99,1.548,766.0928,0
"2013-05-29 16:30:00",100,1.551,766.0911,0
"2013-05-29 17:00:00",101,1.556,765.9618,0
"2013-05-29 17:30:00",102,1.557,766.1218,0
"2013-05-29 18:00:00",103,1.566,765.9717,0
"2013-05-29 18:30:00",104,1.564,766.0931,0
"2013-05-29 19:00:00",105,1.575,766.067,0
"2013-05-29 19:30:00",106,1.568,766.2156,0
"2013-05-29 20:00:00",107,1.573,766.3138,0
"2013-05-29 20:30:00",108,1.569,766.4734,0
"2013-05-29 21:00:00",109,1.571,766.5257,0
"2013-05-29 21:30:00",110,1.574,766.5897,0
"2013-05-29 22:00:00",111,1.575,766.6975,0
"2013-05-29 22:30:00",112,1.578,766.7938,0
"2013-05-29 23:00:00",113,1.579,766.95,0
"2013-05-29 23:30:00",114,1.58,767.0529,0
"2013-05-30 00:00:00",115,1.583,767.2682,0
"2013-05-30 00:30:00",116,1.581,767.5474,0
"2013-05-30 01:00:00",117,1.585,767.5482,0
"2013-05-30 01:30:00",118,1.587,767.6942,0
"2013-05-30 02:00:00",119,1.583,767.7109,0
"2013-05-30 02:30:00",120,1.588,767.7816,0
