"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_July2013.CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-07-09 15:00:00",0,0.612,766.8986,0.2
"2013-07-09 15:30:00",1,0.613,767.1687,0.2
"2013-07-09 16:00:00",2,0.613,767.3067,0
"2013-07-09 16:30:00",3,0.616,767.3039,0
"2013-07-09 17:00:00",4,0.62,767.3067,0
"2013-07-09 17:30:00",5,0.639,767.3051,0
"2013-07-09 18:00:00",6,0.638,767.4403,0.2
"2013-07-09 18:30:00",7,0.613,767.6453,0
"2013-07-09 19:00:00",8,0.599,767.6564,0.4
"2013-07-09 19:30:00",9,0.604,767.6796,0.5
"2013-07-09 20:00:00",10,0.609,767.6451,0.2
"2013-07-09 20:30:00",11,0.599,767.7817,0.1
"2013-07-09 21:00:00",12,0.599,767.7816,0
"2013-07-09 21:30:00",13,0.599,767.7353,0
"2013-07-09 22:00:00",14,0.599,767.8799,0
"2013-07-09 22:30:00",15,0.6,767.9003,0
"2013-07-09 23:00:00",16,0.599,768.0437,0
"2013-07-09 23:30:00",17,0.597,768.0649,0
"2013-07-10 00:00:00",18,0.594,767.9358,0
"2013-07-10 00:30:00",19,0.604,767.9358,0
"2013-07-10 01:00:00",20,0.584,767.9358,0
"2013-07-10 01:30:00",21,0.559,768.0724,0
"2013-07-10 02:00:00",22,0.544,768.0041,0
"2013-07-10 02:30:00",23,0.51,768.0041,0
"2013-07-10 03:00:00",24,0.508,768.0041,0
"2013-07-10 03:30:00",25,0.503,767.9369,0
"2013-07-10 04:00:00",26,0.503,767.9462,0
"2013-07-10 04:30:00",27,0.502,768.0201,0
"2013-07-10 05:00:00",28,0.493,768.0269,0
"2013-07-10 05:30:00",29,0.49,768.0225,0
"2013-07-10 06:00:00",30,0.495,768.0149,0
"2013-07-10 06:30:00",31,0.511,768.0048,0
"2013-07-10 07:00:00",32,0.508,768.0383,0
"2013-07-10 07:30:00",33,0.486,768.0724,0
"2013-07-10 08:00:00",34,0.471,768.0673,0
"2013-07-10 08:30:00",35,0.467,768.0442,0
"2013-07-10 09:00:00",36,0.455,768.1573,0
"2013-07-10 09:30:00",37,0.445,768.4224,0
"2013-07-10 10:00:00",38,0.486,768.5342,0
"2013-07-10 10:30:00",39,0.459,768.5325,0.5
"2013-07-10 11:00:00",40,0.45,768.6423,2
"2013-07-10 11:30:00",41,0.451,768.7015,2
"2013-07-10 12:00:00",42,0.453,768.7278,1.3
"2013-07-10 12:30:00",43,0.466,768.8707,0.9
"2013-07-10 13:00:00",44,0.464,768.8719,0.5
"2013-07-10 13:30:00",45,0.495,768.8618,2.2
"2013-07-10 14:00:00",46,0.472,768.8767,1.3
"2013-07-10 14:30:00",47,0.481,768.9876,1
"2013-07-10 15:00:00",48,0.489,769.1071,0.1
"2013-07-10 15:30:00",49,0.495,768.8876,0
"2013-07-10 16:00:00",50,0.499,769.1564,0
"2013-07-10 16:30:00",51,0.499,769.0477,0.1
"2013-07-10 17:00:00",52,0.501,769.152,0
"2013-07-10 17:30:00",53,0.507,769.0182,0
"2013-07-10 18:00:00",54,0.514,769.265,0
"2013-07-10 18:30:00",55,0.52,768.9875,0
"2013-07-10 19:00:00",56,0.525,769.1281,0
"2013-07-10 19:30:00",57,0.529,769.1284,0
"2013-07-10 20:00:00",58,0.532,769.0178,0
"2013-07-10 20:30:00",59,0.535,769.1143,0
"2013-07-10 21:00:00",60,0.536,768.9968,0
"2013-07-10 21:30:00",61,0.538,769.1125,0
"2013-07-10 22:00:00",62,0.538,769.2187,0
"2013-07-10 22:30:00",63,0.54,769.3527,0
"2013-07-10 23:00:00",64,0.541,769.2161,0
"2013-07-10 23:30:00",65,0.542,768.9982,0
"2013-07-11 00:00:00",66,0.543,769.1074,0
"2013-07-11 00:30:00",67,0.542,769.2444,0
"2013-07-11 01:00:00",68,0.543,769.1075,0
"2013-07-11 01:30:00",69,0.543,768.9709,0
"2013-07-11 02:00:00",70,0.543,768.9709,0
"2013-07-11 02:30:00",71,0.544,769.1074,0
"2013-07-11 03:00:00",72,0.544,768.9713,0
"2013-07-11 03:30:00",73,0.543,768.9709,0
"2013-07-11 04:00:00",74,0.543,769.1074,0
"2013-07-11 04:30:00",75,0.544,768.7661,0
"2013-07-11 05:00:00",76,0.543,768.8344,0
"2013-07-11 05:30:00",77,0.543,768.9709,0
"2013-07-11 06:00:00",78,0.543,768.9709,0
"2013-07-11 06:30:00",79,0.543,768.6295,0
"2013-07-11 07:00:00",80,0.543,768.7661,0
"2013-07-11 07:30:00",81,0.543,768.6295,0
"2013-07-11 08:00:00",82,0.543,768.6285,0
"2013-07-11 08:30:00",83,0.544,768.2736,0
"2013-07-11 09:00:00",84,0.543,768.5368,0
"2013-07-11 09:30:00",85,0.543,768.6713,0
"2013-07-11 10:00:00",86,0.542,768.5221,0.1
"2013-07-11 10:30:00",87,0.542,769.118,0
"2013-07-11 11:00:00",88,0.542,769.1805,0
"2013-07-11 11:30:00",89,0.542,769.1597,0
"2013-07-11 12:00:00",90,0.543,769.2932,0
"2013-07-11 12:30:00",91,0.543,769.2937,0
"2013-07-11 13:00:00",92,0.543,769.3654,0
"2013-07-11 13:30:00",93,0.544,769.6354,0
"2013-07-11 14:00:00",94,0.545,769.7755,0
"2013-07-11 14:30:00",95,0.548,769.7492,0
"2013-07-11 15:00:00",96,0.552,769.8448,0
"2013-07-11 15:30:00",97,0.555,769.9842,0
"2013-07-11 16:00:00",98,0.565,770.3566,0
"2013-07-11 16:30:00",99,0.572,770.6083,0
"2013-07-11 17:00:00",100,0.591,770.6003,0
"2013-07-11 17:30:00",101,0.576,770.4924,0
"2013-07-11 18:00:00",102,0.577,770.6978,0
"2013-07-11 18:30:00",103,0.588,770.6294,0
"2013-07-11 19:00:00",104,0.584,770.6011,0
"2013-07-11 19:30:00",105,0.589,770.7368,0
"2013-07-11 20:00:00",106,0.59,770.6063,0
"2013-07-11 20:30:00",107,0.591,770.6292,0
"2013-07-11 21:00:00",108,0.596,770.9326,0
"2013-07-11 21:30:00",109,0.599,771.2308,0
"2013-07-11 22:00:00",110,0.598,771.0924,0
"2013-07-11 22:30:00",111,0.593,770.9604,0
"2013-07-11 23:00:00",112,0.592,771.3018,0
"2013-07-11 23:30:00",113,0.595,771.4395,0
"2013-07-12 00:00:00",114,0.601,771.5419,0.1
"2013-07-12 00:30:00",115,0.598,770.9662,0
"2013-07-12 01:00:00",116,0.598,771.4414,0
"2013-07-12 01:30:00",117,0.604,771.5748,0
"2013-07-12 02:00:00",118,0.611,771.7114,0
"2013-07-12 02:30:00",119,0.604,771.7114,0
