"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_16JULY2013.CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-16 15:05:00",0,0.617,54.55,6.522,1.016,9.53,383.2,47.2,11.46865,518.2686,75.70798,327.3778,328.757
"2013-07-16 15:10:00",1,1.178,30.41,23.54,1.653,9.72,455.9,46.72,423.5738,"NAN","NAN","NAN","NAN"
"2013-07-16 15:15:00",2,1.401,17.39,16.02,2.404,9.82,520.3,45.96,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:20:00",3,1.687,48.62,30.63,2.074,9.79,464.6,46.3,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:25:00",4,1.6,33.65,18.54,2.381,9.89,469.4,46.14,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:30:00",5,2.152,12.41,10.21,2.711,9.54,528.2,47.01,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:35:00",6,2.664,5.286,6.134,2.969,9.4,411.3,47.38,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:40:00",7,2.72,345.2,3.395,3.061,8.94,449.3,49.57,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:45:00",8,2.798,345.6,6.009,3.391,8.54,391.3,50.62,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:50:00",9,1.836,358.3,4.942,2.6,9.11,401.3,47.93,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 15:55:00",10,1.483,315.2,22.79,1.761,9.65,402.8,45.75,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 16:00:00",11,2.226,9.19,9.56,2.679,9.56,343.4,46.38,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 16:05:00",12,2.328,9.04,2.518,2.561,9.6,352.3,45.87,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 16:10:00",13,1.988,9.14,26.89,2.349,9.91,440.5,44.66,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 16:15:00",14,1.391,21.74,15.26,2.127,10.13,515.3,44.46,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 16:20:00",15,1.658,25.62,13.81,2.532,10.03,376,45.56,698.1953,"NAN","NAN","NAN","NAN"
"2013-07-16 16:25:00",16,2.708,12.66,6.602,3.045,9.35,302.9,47.84,218.3384,"NAN","NAN","NAN","NAN"
"2013-07-16 16:30:00",17,3.109,359.4,3.52,3.538,8.93,292.8,49.39,11.52242,414.8991,63.53283,332.9025,328.9254
"2013-07-16 16:35:00",18,2.915,353.7,5.272,3.25,9.03,336.6,49.08,10.77609,473.7481,73.44282,331.3921,329.2418
"2013-07-16 16:40:00",19,3.17,349,3.603,3.417,8.68,337.8,51.14,10.29215,461.2247,69.69662,330.9513,330.7909
"2013-07-16 16:45:00",20,4.1,340.5,1.95,4.387,7.577,283.6,56.04,9.311691,398.2689,58.91543,330.4035,330.3518
"2013-07-16 16:50:00",21,3.631,343.1,4.642,4.175,7.598,354,55.12,8.779019,500.0136,77.49393,327.4858,325.7406
"2013-07-16 16:55:00",22,2.927,341.2,5.224,3.391,8.46,406.6,51.45,9.348581,556.7189,87.79597,326.7375,326.0963
"2013-07-16 17:00:00",23,3.171,337.6,3.354,3.342,8.33,404,52.43,9.560608,556.048,86.75146,329.4892,326.2538
"2013-07-16 17:05:00",24,2.278,342,4.777,2.813,8.59,368.6,50.91,9.816345,509.4937,78.80469,328.7361,326.5612
"2013-07-16 17:10:00",25,2.485,354.2,3.507,2.702,8.66,281.3,50.92,9.896185,402.8205,62.4934,324.8565,326.4289
"2013-07-16 17:15:00",26,2.301,349.3,3.069,2.564,9.37,288,47.46,10.06255,412.336,65.61062,329.4443,326.7051
"2013-07-16 17:20:00",27,2.547,340.5,3.034,2.773,9.58,307,47.46,10.40285,417.1507,64.41374,333.026,327.2245
"2013-07-16 17:25:00",28,1.834,344.9,4.56,2.303,9.24,248,48.74,10.27444,344.8684,52.84728,333.9504,327.1399
"2013-07-16 17:30:00",29,1.053,343.7,17.61,1.604,9.36,300.6,48.32,10.45338,413.6817,62.73741,333.3665,327.4469
"2013-07-16 17:35:00",30,0.936,358.6,32.52,1.333,9.76,284.9,46.91,10.8653,392.5134,58.90359,329.6255,327.6516
"2013-07-16 17:40:00",31,1.479,351,15.56,1.967,9.62,259.4,48.02,10.9911,367.756,56.07175,327.2219,327.8419
"2013-07-16 17:45:00",32,1.799,354.6,4.434,1.95,9.32,272.9,49.06,10.79619,387.4135,59.9711,330.8544,327.5626
"2013-07-16 17:50:00",33,2.27,349.7,3.301,2.933,9.49,276.5,48.53,10.74085,388.7621,58.90285,334.6575,327.4304
"2013-07-16 17:55:00",34,3.23,340.5,3.051,3.322,8.8,266.6,51.6,10.189,364.9911,53.12924,334.5835,327.1259
"2013-07-16 18:00:00",35,3.057,337.2,4.277,3.293,8.17,259.2,53.83,9.494492,345.3118,50.47168,334.8247,326.529
"2013-07-16 18:05:00",36,2.534,336.3,3.715,2.894,8.01,245.4,54.99,9.143878,327.8931,48.55532,334.5804,326.0103
"2013-07-16 18:10:00",37,2.065,334.9,5.029,2.506,7.801,236.7,55.66,8.95651,316.7927,46.57349,333.9029,325.943
"2013-07-16 18:15:00",38,1.204,324.3,12.14,1.748,8.46,226.1,52.76,9.151896,298.4688,44.00326,333.7078,326.2826
"2013-07-16 18:20:00",39,1.947,6.525,6.657,2.571,8.75,204.8,51.6,9.362803,273.1254,39.77735,334.1494,326.4327
"2013-07-16 18:25:00",40,1.852,2.52,6.595,2.045,9.05,194.9,50.08,9.494123,261.9572,38.55794,335.2183,326.525
"2013-07-16 18:30:00",41,2.422,2.741,10.16,3.27,9.37,189.3,49.05,9.684336,253.9464,37.35998,335.9153,326.6117
"2013-07-16 18:35:00",42,3.447,346,4.522,3.851,8.74,180.8,51.93,9.314914,241.9863,34.87679,335.6119,326.2647
"2013-07-16 18:40:00",43,3.395,343.3,4.779,4.018,8.59,176.1,52.19,8.961545,231.2875,33.54779,334.3647,326.1223
"2013-07-16 18:45:00",44,2.478,352.2,6.879,2.79,9.19,181.2,49.62,9.123987,243.347,36.38089,333.1668,326.0225
"2013-07-16 18:50:00",45,3.183,351.4,2.938,3.691,9.37,192.4,49.59,9.359387,264.7339,38.93169,333.3351,326.2573
"2013-07-16 18:55:00",46,3.638,350.8,4.953,4.188,8.85,209.9,51.87,9.211985,302.5502,44.14004,330.6349,326.2753
"2013-07-16 19:00:00",47,4.231,344.2,5.028,5.024,8.34,282.9,55.26,9.000265,429.2761,65.44884,325.7026,325.9675
"2013-07-16 19:05:00",48,4.779,341.7,4.186,5.23,7.71,289.6,60.84,8.700229,431.4696,66.49525,316.2738,325.4846
"2013-07-16 19:10:00",49,3.806,342.2,4.277,4.495,8.08,217.7,58.07,8.625345,344.3196,53.94595,307.3149,325.3743
"2013-07-16 19:15:00",50,3.671,342.6,6.328,4.018,8.58,276.3,56.29,8.919131,431.2245,67.56334,315.2809,325.4765
"2013-07-16 19:20:00",51,3.761,345.6,5.223,4.537,8.18,270.1,57.59,8.947293,392.4454,59.50199,321.6989,325.697
"2013-07-16 19:25:00",52,4.687,337.3,2.969,5.364,7.863,159.3,61.27,8.588778,242.677,34.14121,320.2358,325.9236
"2013-07-16 19:30:00",53,4.946,335.4,6.855,5.55,7.288,158.2,65.86,7.936404,252.5412,36.16746,318.1687,325.0202
"2013-07-16 19:35:00",54,5.092,336.6,2.97,5.749,7.133,183.9,67.11,7.601047,280.9148,41.33112,320.0564,324.5696
"2013-07-16 19:40:00",55,5.751,334.1,6.424,6.39,7.18,198.5,68.36,7.558801,291.8625,42.52945,323.5775,324.5121
"2013-07-16 19:45:00",56,6.159,335.6,3.689,6.527,7.082,159.3,70.53,7.336066,220.9171,30.48089,323.6133,324.4777
"2013-07-16 19:50:00",57,6.079,333.3,5.042,6.527,7.243,110.3,70.47,7.245608,156.0889,22.13623,322.0089,324.3727
"2013-07-16 19:55:00",58,6.286,335.6,8.47,6.834,7.203,95.7,72.24,7.111603,138.37,19.8486,323.2059,324.4756
"2013-07-16 20:00:00",59,6.321,337.3,6.172,7.043,7.344,96.8,73.38,7.141638,134.5158,19.32651,326.7307,324.4701
"2013-07-16 20:05:00",60,6.275,335.6,5.048,6.968,7.079,106.1,75.25,7.014932,140.5276,19.54542,330.2277,324.4158
"2013-07-16 20:10:00",61,6.331,332.8,8.24,6.932,6.996,116.7,75.41,6.962588,156.358,21.44188,330.959,324.3857
"2013-07-16 20:15:00",62,6.702,335.5,4.004,7.092,6.958,126.3,75.54,6.918668,174.2863,24.27512,329.6672,324.2435
"2013-07-16 20:20:00",63,6.753,330.5,6.963,7.278,7.019,142.8,77.2,6.998075,204.811,28.13239,327.6797,324.3301
"2013-07-16 20:25:00",64,6.362,331.9,4.304,7.157,7.156,150.2,75.35,7.117362,206.6858,28.04536,328.4338,324.3845
"2013-07-16 20:30:00",65,6.019,333.1,4.188,6.703,7.357,124.9,73.24,7.231235,165.5973,22.55401,328.4067,324.6441
"2013-07-16 20:35:00",66,4.728,337.6,5.334,5.266,7.498,108.9,69.25,7.257056,144.3762,19.56869,327.7413,324.3095
"2013-07-16 20:40:00",67,4.896,338.1,5.043,5.511,7.303,108.2,70.39,7.211587,145.2821,18.87173,327.4341,324.3136
"2013-07-16 20:45:00",68,4.526,340.9,2.84,5.161,7.117,107.3,70.01,7.064743,154.7482,20.24546,321.2974,324.0814
"2013-07-16 20:50:00",69,4.712,341.8,6.937,5.292,7.092,77.23,69.62,6.948285,133.6436,17.93617,308.2023,323.9246
"2013-07-16 20:55:00",70,4.186,344.9,6.441,4.733,7.473,51.33,67.77,7.005322,112.6685,16.062,297.6414,323.7451
"2013-07-16 21:00:00",71,4.153,342.2,7.196,4.632,7.553,47.43,66.93,7.05527,105.9182,14.97242,295.1889,323.8009
"2013-07-16 21:05:00",72,3.79,332.9,7.602,4.786,7.41,37.18,67.37,6.990625,92.05644,13.01122,294.1105,323.7097
"2013-07-16 21:10:00",73,3.026,332.1,7.269,3.9,7.514,10.77,66.8,6.976221,60.87514,9.589656,285.735,323.7921
"2013-07-16 21:15:00",74,2.94,333.3,6.578,3.361,7.361,-6.475,67.74,6.810376,43.15041,7.192309,279.4657,323.584
"2013-07-16 21:20:00",75,3.571,340.4,6.772,4.557,7.321,-14.32,68.86,6.679764,34.93145,5.906439,275.7967,323.2436
"2013-07-16 21:25:00",76,3.63,337.2,5.861,4.635,7.278,-17.49,69.65,6.519488,34.02832,6.211584,274.4445,323.2977
"2013-07-16 21:30:00",77,4.087,336.9,7.551,4.675,7.575,-12.97,69.55,6.682462,43.89591,7.541089,274.8563,323.1795
"2013-07-16 21:35:00",78,3.966,338.5,7.503,4.795,7.51,-6.353,70.14,6.685394,54.14735,8.870591,275.3873,323.0009
"2013-07-16 21:40:00",79,4.412,338.9,9.25,5.351,7.569,-1.349,70.32,6.765302,56.99246,8.957773,277.6517,323.3981
"2013-07-16 21:45:00",80,5.031,339.5,8.24,5.606,7.064,0.638,73.23,6.593271,53.56026,7.584684,280.1738,323.1229
"2013-07-16 21:50:00",81,6.127,337,2.04,6.951,6.59,-2.87,77.12,6.2582,48.02811,6.691086,279.626,322.6219
"2013-07-16 21:55:00",82,6.527,337.4,2.118,7.154,6.383,-9.2,78.64,5.967547,42.06696,6.276984,276.4815,322.1903
"2013-07-16 22:00:00",83,5.902,335.6,2.816,6.589,6.334,-15.43,77.52,5.794931,33.19332,5.318061,273.9615,321.9577
"2013-07-16 22:05:00",84,4.691,353.2,19.84,6.004,6.52,-25.24,74.5,5.794528,24.29664,4.598824,272.2115,322.3422
"2013-07-16 22:10:00",85,3.695,351.7,15.26,4.792,7.392,-26.32,70.09,6.226013,20.90997,4.925846,272.4322,322.6161
"2013-07-16 22:15:00",86,4.583,343.9,2.598,5.282,7.249,-24.6,70.96,6.351361,17.45594,3.596479,272.5323,322.6941
"2013-07-16 22:20:00",87,4.043,344.8,6.678,4.655,7.066,-27.01,70.99,6.240781,15.13059,2.899097,272.1014,322.3779
"2013-07-16 22:25:00",88,2.42,349.7,8.59,3.352,7.669,-26.71,68.37,6.402573,15.83105,4.228864,272.7021,323.0239
"2013-07-16 22:30:00",89,1.946,358.2,10.51,2.822,8.24,-30.37,64.76,6.680258,14.45363,3.967332,273.6815,323.2033
"2013-07-16 22:35:00",90,2.214,352,43.32,2.862,7.864,-28.43,66.53,6.643921,12.48892,2.746633,274.3348,323.3317
"2013-07-16 22:40:00",91,1.232,28.09,39.5,2.584,7.688,-35.62,66.43,6.505261,11.24684,2.812038,273.2093,323.3004
"2013-07-16 22:45:00",92,1.117,12.52,25.75,1.571,8.05,-34.49,66.25,6.446768,10.59184,3.26979,273.0786,323.2422
"2013-07-16 22:50:00",93,1.702,338.8,9.72,1.898,7.764,-34.12,66.47,6.366046,8.785079,2.485027,272.9572,322.9197
"2013-07-16 22:55:00",94,1.936,353.1,12.61,2.479,6.9,-34.64,68.89,6.077478,6.413725,1.286101,273.4786,322.2666
