"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_16JULY2013.CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-07-16 15:30:00",0,1.034,777.5309,0.4
"2013-07-16 16:00:00",1,1.036,777.4399,0
"2013-07-16 16:30:00",2,1.042,777.3385,0
"2013-07-16 17:00:00",3,1.043,777.0924,0
"2013-07-16 17:30:00",4,1.035,777.0279,0
"2013-07-16 18:00:00",5,1.046,776.8518,0
"2013-07-16 18:30:00",6,1.047,776.8234,0
"2013-07-16 19:00:00",7,1.054,776.6874,0
"2013-07-16 19:30:00",8,1.051,776.5849,0
"2013-07-16 20:00:00",9,1.056,776.4435,0
"2013-07-16 20:30:00",10,1.059,776.4667,0
"2013-07-16 21:00:00",11,1.057,776.4745,0
"2013-07-16 21:30:00",12,1.053,776.4918,0
"2013-07-16 22:00:00",13,1.056,776.5728,0
"2013-07-16 22:30:00",14,1.054,776.7092,0
"2013-07-16 23:00:00",15,1.061,776.7092,0
"2013-07-16 23:30:00",16,1.062,776.8052,0
"2013-07-17 00:00:00",17,1.068,776.8076,0
"2013-07-17 00:30:00",18,1.067,776.8076,0
"2013-07-17 01:00:00",19,1.067,776.944,0
"2013-07-17 01:30:00",20,1.074,776.8102,0
"2013-07-17 02:00:00",21,1.073,776.8121,0
"2013-07-17 02:30:00",22,1.074,776.6997,0
"2013-07-17 03:00:00",23,1.073,776.5618,0
"2013-07-17 03:30:00",24,1.074,776.5648,0
"2013-07-17 04:00:00",25,1.074,776.4966,0
"2013-07-17 04:30:00",26,1.075,776.2238,0
"2013-07-17 05:00:00",27,1.074,776.2238,0
"2013-07-17 05:30:00",28,1.074,775.9509,0
"2013-07-17 06:00:00",29,1.076,775.8144,0
"2013-07-17 06:30:00",30,1.074,775.8141,0
"2013-07-17 07:00:00",31,1.075,775.7462,0
"2013-07-17 07:30:00",32,1.064,775.7195,0
"2013-07-17 08:00:00",33,1.064,775.581,0
"2013-07-17 08:30:00",34,1.065,775.5807,0
"2013-07-17 09:00:00",35,1.068,775.4866,0
"2013-07-17 09:30:00",36,1.072,775.6181,0
"2013-07-17 10:00:00",37,1.071,775.374,0
"2013-07-17 10:30:00",38,1.076,775.2429,0
"2013-07-17 11:00:00",39,1.08,775.1494,0
"2013-07-17 11:30:00",40,1.085,775.0128,0
"2013-07-17 12:00:00",41,1.085,775.1444,0
"2013-07-17 12:30:00",42,1.099,775.1333,0
"2013-07-17 13:00:00",43,1.1,775.2634,0
"2013-07-17 13:30:00",44,1.099,775.1196,0
"2013-07-17 14:00:00",45,1.109,774.983,0
"2013-07-17 14:30:00",46,1.108,774.983,0
"2013-07-17 15:00:00",47,1.108,774.8467,0
"2013-07-17 15:30:00",48,1.121,774.8556,0
"2013-07-17 16:00:00",49,1.121,774.7488,0
"2013-07-17 16:30:00",50,1.125,774.5443,0
"2013-07-17 17:00:00",51,1.123,774.5443,0
"2013-07-17 17:30:00",52,1.133,774.5256,0
"2013-07-17 18:00:00",53,1.131,774.296,0
"2013-07-17 18:30:00",54,1.136,774.4168,0
"2013-07-17 19:00:00",55,1.144,774.1442,0
"2013-07-17 19:30:00",56,1.148,774.1442,0
"2013-07-17 20:00:00",57,1.149,774.0079,0
"2013-07-17 20:30:00",58,1.143,773.9053,0
"2013-07-17 21:00:00",59,1.148,773.883,0
"2013-07-17 21:30:00",60,1.146,773.8978,0
"2013-07-17 22:00:00",61,1.148,774.0581,0
"2013-07-17 22:30:00",62,1.15,774.0153,0
"2013-07-17 23:00:00",63,1.147,774.2531,0
"2013-07-17 23:30:00",64,1.153,774.3904,0
"2013-07-18 00:00:00",65,1.15,774.4047,0
"2013-07-18 00:30:00",66,1.15,774.6248,0
"2013-07-18 01:00:00",67,1.154,774.6248,0
"2013-07-18 01:30:00",68,1.155,774.7271,0
"2013-07-18 02:00:00",69,1.154,774.8341,0
"2013-07-18 02:30:00",70,1.156,775.1279,0
"2013-07-18 03:00:00",71,1.152,775.2683,0
"2013-07-18 03:30:00",72,1.151,775.4733,0
"2013-07-18 04:00:00",73,1.152,775.5756,0
"2013-07-18 04:30:00",74,1.153,775.6097,0
"2013-07-18 05:00:00",75,1.155,775.8116,0
"2013-07-18 05:30:00",76,1.156,775.9509,0
"2013-07-18 06:00:00",77,1.154,776.0873,0
"2013-07-18 06:30:00",78,1.152,776.2238,0
"2013-07-18 07:00:00",79,1.156,776.4957,0
"2013-07-18 07:30:00",80,1.158,776.5649,0
"2013-07-18 08:00:00",81,1.159,776.8141,0
"2013-07-18 08:30:00",82,1.161,776.8771,0
"2013-07-18 09:00:00",83,1.163,777.0505,0
"2013-07-18 09:30:00",84,1.164,777.0468,0
"2013-07-18 10:00:00",85,1.173,777.3235,0
"2013-07-18 10:30:00",86,1.167,777.4425,0
"2013-07-18 11:00:00",87,1.17,777.6761,0
"2013-07-18 11:30:00",88,1.175,777.6274,0
"2013-07-18 12:00:00",89,1.177,777.781,0
"2013-07-18 12:30:00",90,1.178,777.9045,0
"2013-07-18 13:00:00",91,1.184,777.9066,0
"2013-07-18 13:30:00",92,1.186,778.015,0
"2013-07-18 14:00:00",93,1.192,778.1466,0
"2013-07-18 14:30:00",94,1.204,778.1243,0
"2013-07-18 15:00:00",95,1.204,778.2551,0
"2013-07-18 15:30:00",96,1.203,778.267,0
"2013-07-18 16:00:00",97,1.206,778.2659,0
"2013-07-18 16:30:00",98,1.213,778.064,0
"2013-07-18 17:00:00",99,1.223,778.0544,0
"2013-07-18 17:30:00",100,1.214,778.0505,0
"2013-07-18 18:00:00",101,1.221,778.0505,0
"2013-07-18 18:30:00",102,1.217,777.9583,0
"2013-07-18 19:00:00",103,1.224,777.682,0
"2013-07-18 19:30:00",104,1.22,777.6904,0
"2013-07-18 20:00:00",105,1.223,777.6846,0
"2013-07-18 20:30:00",106,1.222,777.5663,0
"2013-07-18 21:00:00",107,1.228,777.6347,0
"2013-07-18 21:30:00",108,1.224,777.5654,0
"2013-07-18 22:00:00",109,1.224,777.5275,0
"2013-07-18 22:30:00",110,1.225,777.8005,0
"2013-07-18 23:00:00",111,1.228,777.6641,0
"2013-07-18 23:30:00",112,1.229,777.3912,0
"2013-07-19 00:00:00",113,1.238,777.417,0
"2013-07-19 00:30:00",114,1.232,777.4215,0
"2013-07-19 01:00:00",115,1.232,777.424,0
"2013-07-19 01:30:00",116,1.235,777.4256,0
"2013-07-19 02:00:00",117,1.231,777.2857,0
"2013-07-19 02:30:00",118,1.233,777.1488,0
"2013-07-19 03:00:00",119,1.233,777.1488,0
"2013-07-19 03:30:00",120,1.233,777.0821,0
"2013-07-19 04:00:00",121,1.231,776.6741,0
