"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_16JULY2013.CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-07-17 00:00:00",0,13.74,13.24,"2013-07-17 00:00:00",13.6,11.45,"2013-07-16 15:03:00",5.182,8.28
"2013-07-18 00:00:00",1,13.8,12.64,"2013-07-17 06:00:00",13.41,13.3,"2013-07-17 18:49:00",3.85,7.442
"2013-07-19 00:00:00",2,13.81,12.58,"2013-07-18 06:30:00",13.39,10.43,"2013-07-18 18:17:30",3.935,6.623
"2013-07-20 00:00:00",3,13.8,12.63,"2013-07-19 06:00:00",13.45,9.62,"2013-07-19 15:39:30",2.801,5.877
"2013-07-21 00:00:00",4,13.94,12.59,"2013-07-20 06:30:00",13.48,6.656,"2013-07-20 14:02:30",0.266,2.624
"2013-07-22 00:00:00",5,13.93,12.68,"2013-07-21 06:00:00",13.62,1.841,"2013-07-21 13:34:00",0.266,0.859
"2013-07-23 00:00:00",6,13.91,12.7,"2013-07-22 06:00:00",13.55,5.917,"2013-07-22 14:56:30",0.691,2.758
"2013-07-24 00:00:00",7,13.84,12.68,"2013-07-23 06:00:00",13.47,8.7,"2013-07-23 16:21:00",2.096,4.943
"2013-07-25 00:00:00",8,13.84,12.63,"2013-07-24 06:00:00",13.46,8.21,"2013-07-24 14:51:00",2.096,4.79
"2013-07-26 00:00:00",9,13.89,12.55,"2013-07-25 08:00:00",13.45,4.127,"2013-07-25 00:00:30",1.48,2.684
"2013-07-27 00:00:00",10,13.85,12.65,"2013-07-26 06:00:00",13.48,6.701,"2013-07-26 16:18:00",1.543,4.052
