"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_CMA6_SEPT2012.CR1","16968","HalfHour"
"TIMESTAMP","RECORD","DT","BP"
"TS","RN","m","hPa(mb)"
"","","Smp","Smp"
"2012-09-03 19:00:00",0,1.509,765.8386
"2012-09-03 19:30:00",1,1.51,765.2266
"2012-09-03 20:00:00",2,1.509,765.0898
"2012-09-03 20:30:00",3,1.518,764.2712
"2012-09-03 21:00:00",4,1.518,764.6129
"2012-09-03 21:30:00",5,1.514,764.1358
"2012-09-03 22:00:00",6,1.521,763.8628
"2012-09-03 22:30:00",7,1.518,763.8646
"2012-09-03 23:00:00",8,1.525,764.1461
"2012-09-03 23:30:00",9,1.53,764.0012
"2012-09-04 00:00:00",10,1.533,763.3245
"2012-09-04 00:30:00",11,1.528,763.3434
"2012-09-04 01:00:00",12,1.531,763.3398
"2012-09-04 01:30:00",13,1.537,763.7541
"2012-09-04 02:00:00",14,1.527,763.9932
"2012-09-04 02:30:00",15,1.534,764.0956
"2012-09-04 03:00:00",16,1.533,763.9519
"2012-09-04 03:30:00",17,1.555,764.1492
"2012-09-04 04:00:00",18,1.533,763.8442
"2012-09-04 04:30:00",19,1.546,764.8344
"2012-09-04 05:00:00",20,1.521,765.449
"2012-09-04 05:30:00",21,1.523,765.6041
"2012-09-04 06:00:00",22,1.526,766.433
"2012-09-04 06:30:00",23,1.525,766.9114
"2012-09-04 07:00:00",24,1.534,767.1242
"2012-09-04 07:30:00",25,1.534,767.552
"2012-09-04 08:00:00",26,1.534,767.7595
"2012-09-04 08:30:00",27,1.535,768.1011
"2012-09-04 09:00:00",28,1.535,768.3743
"2012-09-04 09:30:00",29,1.536,768.5109
"2012-09-04 10:00:00",30,1.534,768.5041
"2012-09-04 10:30:00",31,1.533,768.744
"2012-09-04 11:00:00",32,1.533,769.1135
"2012-09-04 11:30:00",33,1.532,769.4897
"2012-09-04 12:00:00",34,1.532,769.8773
"2012-09-04 12:30:00",35,1.531,770.2554
"2012-09-04 13:00:00",36,1.533,770.4977
"2012-09-04 13:30:00",37,1.534,770.493
"2012-09-04 14:00:00",38,1.533,770.597
"2012-09-04 14:30:00",39,1.531,770.6976
"2012-09-04 15:00:00",40,1.532,770.8137
"2012-09-04 15:30:00",41,1.532,770.6044
"2012-09-04 16:00:00",42,1.532,770.9415
"2012-09-04 16:30:00",43,1.531,770.9414
"2012-09-04 17:00:00",44,1.53,771.0372
"2012-09-04 17:30:00",45,1.533,771.2011
"2012-09-04 18:00:00",46,1.533,771.4323
"2012-09-04 18:30:00",47,1.535,771.4041
"2012-09-04 19:00:00",48,1.536,771.3912
"2012-09-04 19:30:00",49,1.535,771.2968
"2012-09-04 20:00:00",50,1.539,771.1604
"2012-09-04 20:30:00",51,1.539,771.1305
"2012-09-04 21:00:00",52,1.543,771.0182
"2012-09-04 21:30:00",53,1.544,771.0297
"2012-09-04 22:00:00",54,1.539,771.0469
"2012-09-04 22:30:00",55,1.537,771.3213
"2012-09-04 23:00:00",56,1.539,771.3213
"2012-09-04 23:30:00",57,1.543,771.1843
"2012-09-05 00:00:00",58,1.542,771.0481
"2012-09-05 00:30:00",59,1.54,771.0481
"2012-09-05 01:00:00",60,1.539,771.1855
"2012-09-05 01:30:00",61,1.537,770.7751
"2012-09-05 02:00:00",62,1.546,770.3654
"2012-09-05 02:30:00",63,1.538,770.4897
"2012-09-05 03:00:00",64,1.544,770.4831
"2012-09-05 03:30:00",65,1.546,770.4327
"2012-09-05 04:00:00",66,1.534,770.775
"2012-09-05 04:30:00",67,1.533,770.8249
"2012-09-05 05:00:00",68,1.537,770.5994
"2012-09-05 05:30:00",69,1.539,769.6959
"2012-09-05 06:00:00",70,1.534,769.0789
"2012-09-05 06:30:00",71,1.53,768.514
"2012-09-05 07:00:00",72,1.526,768.504
"2012-09-05 07:30:00",73,1.525,767.9578
"2012-09-05 08:00:00",74,1.535,768.6402
"2012-09-05 08:30:00",75,1.526,768.7644
"2012-09-05 09:00:00",76,1.532,768.6688
"2012-09-05 09:30:00",77,1.527,767.9863
"2012-09-05 10:00:00",78,1.527,768.3959
"2012-09-05 10:30:00",79,1.546,768.1229
"2012-09-05 11:00:00",80,1.53,768.8737
"2012-09-05 11:30:00",81,1.524,768.7372
"2012-09-05 12:00:00",82,1.526,767.9863
"2012-09-05 12:30:00",83,1.524,767.9863
"2012-09-05 13:00:00",84,1.522,767.3037
"2012-09-05 13:30:00",85,1.524,767.4402
"2012-09-05 14:00:00",86,1.527,767.1669
"2012-09-05 14:30:00",87,1.525,767.419
"2012-09-05 15:00:00",88,1.524,767.5485
"2012-09-05 15:30:00",89,1.523,767.2721
"2012-09-05 16:00:00",90,1.525,767.2751
"2012-09-05 16:30:00",91,1.526,766.7993
"2012-09-05 17:00:00",92,1.527,766.55
"2012-09-05 17:30:00",93,1.528,766.5529
"2012-09-05 18:00:00",94,1.528,766.5529
"2012-09-05 18:30:00",95,1.537,766.7595
"2012-09-05 19:00:00",96,1.531,766.4168
"2012-09-05 19:30:00",97,1.53,766.1705
"2012-09-05 20:00:00",98,1.533,766.5397
"2012-09-05 20:30:00",99,1.532,766.3375
"2012-09-05 21:00:00",100,1.532,766.2943
"2012-09-05 21:30:00",101,1.535,766.5698
"2012-09-05 22:00:00",102,1.538,767.1243
"2012-09-05 22:30:00",103,1.537,766.938
"2012-09-05 23:00:00",104,1.538,766.8744
"2012-09-05 23:30:00",105,1.54,766.5306
"2012-09-06 00:00:00",106,1.541,767.2816
"2012-09-06 00:30:00",107,1.542,767.1481
"2012-09-06 01:00:00",108,1.545,767.4317
"2012-09-06 01:30:00",109,1.542,767.2969
"2012-09-06 02:00:00",110,1.543,767.0129
"2012-09-06 02:30:00",111,1.542,767.6256
"2012-09-06 03:00:00",112,1.546,767.1469
"2012-09-06 03:30:00",113,1.545,766.7437
"2012-09-06 04:00:00",114,1.543,767.761
"2012-09-06 04:30:00",115,1.543,768.1016
"2012-09-06 05:00:00",116,1.544,768.5139
"2012-09-06 05:30:00",117,1.545,768.3831
"2012-09-06 06:00:00",118,1.551,768.944
"2012-09-06 06:30:00",119,1.552,768.8782
"2012-09-06 07:00:00",120,1.55,768.6108
"2012-09-06 07:30:00",121,1.55,768.6272
"2012-09-06 08:00:00",122,1.552,768.9783
"2012-09-06 08:30:00",123,1.548,769.3882
"2012-09-06 09:00:00",124,1.549,769.4909
"2012-09-06 09:30:00",125,1.549,769.5771
"2012-09-06 10:00:00",126,1.55,769.8386
"2012-09-06 10:30:00",127,1.551,769.8378
"2012-09-06 11:00:00",128,1.552,770.0428
"2012-09-06 11:30:00",129,1.552,770.3116
"2012-09-06 12:00:00",130,1.553,770.5635
"2012-09-06 12:30:00",131,1.55,770.5602
"2012-09-06 13:00:00",132,1.549,770.6708
"2012-09-06 13:30:00",133,1.549,770.9409
"2012-09-06 14:00:00",134,1.551,771.214
"2012-09-06 14:30:00",135,1.549,771.214
"2012-09-06 15:00:00",136,1.554,771.4687
"2012-09-06 15:30:00",137,1.556,771.6606
"2012-09-06 16:00:00",138,1.558,771.6626
"2012-09-06 16:30:00",139,1.556,771.6627
"2012-09-06 17:00:00",140,1.547,771.5602
"2012-09-06 17:30:00",141,1.552,771.7754
"2012-09-06 18:00:00",142,1.553,771.9069
"2012-09-06 18:30:00",143,1.555,772.1238
"2012-09-06 19:00:00",144,1.553,772.1559
"2012-09-06 19:30:00",145,1.551,772.3063
"2012-09-06 20:00:00",146,1.553,772.3997
"2012-09-06 20:30:00",147,1.556,772.2676
"2012-09-06 21:00:00",148,1.56,772.6351
"2012-09-06 21:30:00",149,1.564,772.9863
"2012-09-06 22:00:00",150,1.563,773.0092
"2012-09-06 22:30:00",151,1.565,772.9415
"2012-09-06 23:00:00",152,1.565,773.1465
"2012-09-06 23:30:00",153,1.57,773.0948
"2012-09-07 00:00:00",154,1.567,773.6532
"2012-09-07 00:30:00",155,1.567,773.371
"2012-09-07 01:00:00",156,1.57,773.366
"2012-09-07 01:30:00",157,1.569,773.3019
"2012-09-07 02:00:00",158,1.569,773.3091
"2012-09-07 02:30:00",159,1.57,773.2753
"2012-09-07 03:00:00",160,1.573,773.1056
"2012-09-07 03:30:00",161,1.571,773.0045
"2012-09-07 04:00:00",162,1.569,772.6976
"2012-09-07 04:30:00",163,1.57,772.4244
"2012-09-07 05:00:00",164,1.57,772.151
"2012-09-07 05:30:00",165,1.571,772.151
"2012-09-07 06:00:00",166,1.573,771.741
"2012-09-07 06:30:00",167,1.572,771.413
"2012-09-07 07:00:00",168,1.57,771.0637
"2012-09-07 07:30:00",169,1.57,770.8187
"2012-09-07 08:00:00",170,1.567,770.4391
"2012-09-07 08:30:00",171,1.569,770.2345
"2012-09-07 09:00:00",172,1.568,770.2103
"2012-09-07 09:30:00",173,1.568,769.7273
"2012-09-07 10:00:00",174,1.569,769.6412
"2012-09-07 10:30:00",175,1.572,769.2241
"2012-09-07 11:00:00",176,1.572,768.9497
"2012-09-07 11:30:00",177,1.571,768.7263
"2012-09-07 12:00:00",178,1.576,768.5112
"2012-09-07 12:30:00",179,1.584,768.2378
"2012-09-07 13:00:00",180,1.57,768.0271
"2012-09-07 13:30:00",181,1.569,767.8
"2012-09-07 14:00:00",182,1.57,767.5261
"2012-09-07 14:30:00",183,1.567,767.2529
"2012-09-07 15:00:00",184,1.566,767.0703
"2012-09-07 15:30:00",185,1.565,766.6758
"2012-09-07 16:00:00",186,1.564,766.309
"2012-09-07 16:30:00",187,1.57,765.9594
"2012-09-07 17:00:00",188,1.567,765.4362
"2012-09-07 17:30:00",189,1.562,765.3257
"2012-09-07 18:00:00",190,1.564,765.1204
"2012-09-07 18:30:00",191,1.569,764.7238
"2012-09-07 19:00:00",192,1.573,764.6011
"2012-09-07 19:30:00",193,1.567,764.4913
"2012-09-07 20:00:00",194,1.569,764.2451
"2012-09-07 20:30:00",195,1.565,763.9747
"2012-09-07 21:00:00",196,1.562,764.0013
"2012-09-07 21:30:00",197,1.562,764.0027
"2012-09-07 22:00:00",198,1.563,763.8771
"2012-09-07 22:30:00",199,1.562,763.6204
"2012-09-07 23:00:00",200,1.597,763.6208
"2012-09-07 23:30:00",201,1.568,763.356
"2012-09-08 00:00:00",202,1.599,763.0962
"2012-09-08 00:30:00",203,1.612,763.3752
"2012-09-08 01:00:00",204,1.588,763.1021
"2012-09-08 01:30:00",205,1.596,762.9655
"2012-09-08 02:00:00",206,1.574,762.9655
"2012-09-08 02:30:00",207,1.567,763.237
"2012-09-08 03:00:00",208,1.563,763.1445
"2012-09-08 03:30:00",209,1.567,763.1379
"2012-09-08 04:00:00",210,1.565,763.1272
"2012-09-08 04:30:00",211,1.562,762.8855
"2012-09-08 05:00:00",212,1.57,763.0049
"2012-09-08 05:30:00",213,1.568,763.0922
"2012-09-08 06:00:00",214,1.569,763.2333
"2012-09-08 06:30:00",215,1.569,763.0085
"2012-09-08 07:00:00",216,1.567,762.5374
"2012-09-08 07:30:00",217,1.568,762.4177
"2012-09-08 08:00:00",218,1.57,762.1483
"2012-09-08 08:30:00",219,1.571,762.0353
"2012-09-08 09:00:00",220,1.567,761.8939
"2012-09-08 09:30:00",221,1.57,761.6726
"2012-09-08 10:00:00",222,1.566,761.6675
"2012-09-08 10:30:00",223,1.567,761.4333
"2012-09-08 11:00:00",224,1.568,761.2738
"2012-09-08 11:30:00",225,1.568,761.1103
"2012-09-08 12:00:00",226,1.568,760.9518
"2012-09-08 12:30:00",227,1.607,760.5853
"2012-09-08 13:00:00",228,1.577,760.2041
"2012-09-08 13:30:00",229,1.582,760.0278
"2012-09-08 14:00:00",230,1.578,759.74
"2012-09-08 14:30:00",231,1.574,759.3563
"2012-09-08 15:00:00",232,1.587,759.1526
"2012-09-08 15:30:00",233,1.566,758.949
"2012-09-08 16:00:00",234,1.577,758.4966
"2012-09-08 16:30:00",235,1.567,758.2935
"2012-09-08 17:00:00",236,1.569,757.8861
"2012-09-08 17:30:00",237,1.558,757.6218
"2012-09-08 18:00:00",238,1.567,757.1246
"2012-09-08 18:30:00",239,1.54,756.9106
"2012-09-08 19:00:00",240,1.586,756.5887
"2012-09-08 19:30:00",241,1.531,756.1887
"2012-09-08 20:00:00",242,1.534,755.7794
"2012-09-08 20:30:00",243,1.534,755.5305
"2012-09-08 21:00:00",244,1.569,755.4303
"2012-09-08 21:30:00",245,1.573,755.0699
"2012-09-08 22:00:00",246,1.545,754.7393
"2012-09-08 22:30:00",247,1.536,754.3527
"2012-09-08 23:00:00",248,1.555,753.9459
"2012-09-08 23:30:00",249,1.552,753.6044
"2012-09-09 00:00:00",250,1.566,753.3994
"2012-09-09 00:30:00",251,1.557,753.126
"2012-09-09 01:00:00",252,1.532,752.5111
"2012-09-09 01:30:00",253,1.609,752.3744
"2012-09-09 02:00:00",254,1.596,752.0403
"2012-09-09 02:30:00",255,1.455,751.7747
"2012-09-09 03:00:00",256,1.5,751.6399
"2012-09-09 03:30:00",257,1.533,751.5077
"2012-09-09 04:00:00",258,1.574,751.3054
"2012-09-09 04:30:00",259,1.577,751.095
"2012-09-09 05:00:00",260,1.558,751.1011
"2012-09-09 05:30:00",261,1.555,750.9627
"2012-09-09 06:00:00",262,1.565,750.6919
"2012-09-09 06:30:00",263,1.57,750.6919
"2012-09-09 07:00:00",264,1.564,750.6919
"2012-09-09 07:30:00",265,1.594,750.6919
"2012-09-09 08:00:00",266,1.597,750.8286
"2012-09-09 08:30:00",267,1.481,750.9653
"2012-09-09 09:00:00",268,1.51,750.8286
"2012-09-09 09:30:00",269,1.508,750.6919
"2012-09-09 10:00:00",270,1.56,750.5454
"2012-09-09 10:30:00",271,1.553,750.8277
"2012-09-09 11:00:00",272,1.579,750.9608
"2012-09-09 11:30:00",273,1.606,751.0806
"2012-09-09 12:00:00",274,1.606,751.213
"2012-09-09 12:30:00",275,1.616,751.2813
"2012-09-09 13:00:00",276,1.626,751.4165
"2012-09-09 13:30:00",277,1.624,751.5541
"2012-09-09 14:00:00",278,1.625,752.0328
"2012-09-09 14:30:00",279,1.63,752.169
"2012-09-09 15:00:00",280,1.63,752.3061
"2012-09-09 15:30:00",281,1.629,752.7844
"2012-09-09 16:00:00",282,1.629,753.1281
"2012-09-09 16:30:00",283,1.629,753.1288
