"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1_MM_CMA6_SEPT2012.CR1","16968","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2012-09-04 00:00:00",0,13.87,12.94,"2012-09-04 00:00:00",13.45,2.503,"2012-09-03 18:48:00",1.33,1.924
"2012-09-05 00:00:00",1,14.03,12.54,"2012-09-04 07:30:00",13.35,5.311,"2012-09-04 15:52:30",-3.385,0.309
"2012-09-06 00:00:00",2,13.97,12.58,"2012-09-05 08:30:00",13.39,2.311,"2012-09-05 15:08:30",-3.771,0.05
"2012-09-07 00:00:00",3,14.07,12.53,"2012-09-06 07:30:00",13.46,0.181,"2012-09-06 17:57:00",-6.005,-3.368
"2012-09-08 00:00:00",4,14.08,12.5,"2012-09-07 08:00:00",13.41,0.648,"2012-09-07 17:33:00",-6.688,-3.774
"2012-09-09 00:00:00",5,14.09,12.52,"2012-09-08 07:30:00",13.39,3.526,"2012-09-08 13:40:00",-5.766,-2.8
"2012-09-10 00:00:00",6,14.14,12.5,"2012-09-09 07:30:00",13.49,-4.873,"2012-09-09 14:08:30",-7.905,-5.879
"2012-09-11 00:00:00",7,14.24,12.49,"2012-09-10 07:30:00",13.49,-1.586,"2012-09-10 17:12:00",-10.6,-7.121
"2012-09-12 00:00:00",8,14.29,12.45,"2012-09-11 07:30:00",13.46,0.33,"2012-09-11 14:59:00",-12.6,-7.83
"2012-09-13 00:00:00",9,14.05,12.52,"2012-09-12 07:30:00",13.44,1.096,"2012-09-12 13:15:00",-9.57,-3.843
"2012-09-14 00:00:00",10,14.08,12.51,"2012-09-13 08:00:00",13.4,6.222,"2012-09-13 13:32:00",-6.776,-2.265
"2012-09-15 00:00:00",11,14.16,12.51,"2012-09-14 07:30:00",13.4,0.82,"2012-09-14 17:01:00",-8.04,-4.408
"2012-09-16 00:00:00",12,14.04,12.52,"2012-09-15 07:30:00",13.35,0.565,"2012-09-15 16:02:30",-4.873,-2.891
"2012-09-17 00:00:00",13,13.97,12.54,"2012-09-16 08:00:00",13.31,2.715,"2012-09-16 17:19:00",-2.935,-0.966
"2012-09-18 00:00:00",14,14.08,12.53,"2012-09-17 08:00:00",13.4,0.458,"2012-09-17 17:21:00",-8.89,-3.399
"2012-09-19 00:00:00",15,14.08,12.51,"2012-09-18 08:00:00",13.41,1.457,"2012-09-18 17:32:00",-9.03,-4.423
"2012-09-20 00:00:00",16,13.87,12.58,"2012-09-19 08:00:00",13.3,5.009,"2012-09-19 17:12:30",-4.679,1.478
"2012-09-21 00:00:00",17,13.78,12.62,"2012-09-20 08:30:00",13.23,8.44,"2012-09-20 17:33:00",3.807,5.541
"2012-09-22 00:00:00",18,13.82,12.6,"2012-09-21 08:30:00",13.22,5.291,"2012-09-21 14:40:30",0.883,3.42
"2012-09-23 00:00:00",19,13.85,12.6,"2012-09-22 07:00:00",13.23,5.42,"2012-09-22 12:38:30",-0.244,2.675
"2012-09-24 00:00:00",20,14.01,12.56,"2012-09-23 08:30:00",13.22,1.245,"2012-09-23 13:38:00",-4.16,-1.276
"2012-09-25 00:00:00",21,14.03,12.54,"2012-09-24 07:30:00",13.32,1.032,"2012-09-24 16:31:00",-5.178,-2.958
"2012-09-26 00:00:00",22,14.04,12.55,"2012-09-25 08:30:00",13.37,-1.5,"2012-09-25 14:03:00",-4.873,-3.332
"2012-09-27 00:00:00",23,14.11,12.52,"2012-09-26 08:00:00",13.24,-3.665,"2012-09-26 00:15:00",-6.335,-5.243
"2012-09-28 00:00:00",24,14.15,12.5,"2012-09-27 07:30:00",13.36,-5.33,"2012-09-27 02:01:30",-7.526,-6.3
"2012-09-29 00:00:00",25,14.1,12.52,"2012-09-28 08:00:00",13.36,-1.97,"2012-09-28 15:14:00",-7.46,-5.673
"2012-09-30 00:00:00",26,14.18,12.52,"2012-09-29 08:30:00",13.47,-4.528,"2012-09-29 14:17:30",-10.23,-7.345
"2012-10-01 00:00:00",27,14.29,12.49,"2012-09-30 08:30:00",13.45,-3.342,"2012-09-30 15:07:30",-12.48,-9.64
"2012-10-02 00:00:00",28,14.27,12.48,"2012-10-01 08:30:00",13.44,-4.916,"2012-10-01 16:34:00",-13.61,-10.69
"2012-10-03 00:00:00",29,14.24,12.48,"2012-10-02 08:30:00",13.37,-1.543,"2012-10-02 15:13:30",-13.49,-8.43
"2012-10-04 00:00:00",30,14.18,12.5,"2012-10-03 08:30:00",13.32,2.268,"2012-10-03 15:58:30",-10.95,-5.236
"2012-10-05 00:00:00",31,13.89,12.6,"2012-10-04 08:30:00",13.23,4.536,"2012-10-04 13:32:00",-3.213,1.473
"2012-10-06 00:00:00",32,13.8,12.62,"2012-10-05 08:00:00",13.19,7.444,"2012-10-05 16:29:00",1.373,3.873
"2012-10-07 00:00:00",33,13.91,12.6,"2012-10-06 08:30:00",13.24,2.288,"2012-10-06 10:58:30",-0.457,1.131
"2012-10-08 00:00:00",34,13.99,12.56,"2012-10-07 08:30:00",13.22,5.896,"2012-10-07 14:39:00",-2.827,0.718
"2012-10-09 00:00:00",35,13.87,12.6,"2012-10-08 08:30:00",13.19,8.3,"2012-10-08 14:53:00",0.458,3.467
"2012-10-10 00:00:00",36,14.05,12.57,"2012-10-09 08:00:00",13.27,0.648,"2012-10-09 00:27:00",-4.853,-1.671
"2012-10-11 00:00:00",37,14.18,12.5,"2012-10-10 09:00:00",13.28,-0.267,"2012-10-10 15:18:00",-10.6,-5.98
