"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_28Apr2014 .CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2014-05-02 17:25:00",0,0,0,0,0,1.446,-49.79,65.18,9.926361,551.8132,490.3471,243.3195,323.1267
"2014-05-02 17:30:00",1,2.105,117.6,9.6,2.669,1.093,-18.96,66.41,9.310724,543.8977,485.6062,243.7831,322.1757
"2014-05-02 17:35:00",2,1.073,91.9,24.14,2.045,1.254,-29.55,65.7,8.798917,534.9255,476.6668,240.7867,322.6589
"2014-05-02 17:40:00",3,0.279,146.3,18.68,1.062,2.464,-47.17,60.14,9.617502,534.66,466.2432,243.3207,323.0629
"2014-05-02 17:45:00",4,0.751,198.6,49.1,1.653,2.954,-75.11,57.73,10.07961,414.939,323.071,248.7696,323.0859
"2014-05-02 17:50:00",5,1.323,215,92.9,2.394,2.093,-65.03,63.5,9.475842,536.0452,419.3046,246.3169,324.0435
"2014-05-02 17:55:00",6,1.428,297.6,6.045,2.051,1.136,-60.69,66.92,8.877866,525.8163,435.3114,241.6825,322.1125
"2014-05-02 18:00:00",7,0.867,314.3,10.4,1.33,1.813,-52.55,64.57,9.096186,509.2406,430.1572,239.2194,321.8724
"2014-05-02 18:05:00",8,0.506,221.8,58.03,0.951,2.36,-66.43,62.15,9.465353,494.7675,415.5977,238.4032,321.3254
"2014-05-02 18:10:00",9,0.957,290.1,7.215,1.552,2.732,-68.22,61.16,9.839182,482.5021,404.1277,239.2854,321.8516
"2014-05-02 18:15:00",10,2.342,295.1,7.781,2.715,1.05,-69.62,66.52,8.979467,474.3991,397.1315,239.2144,321.6269
"2014-05-02 18:20:00",11,2.144,295.3,2.598,2.411,0.248,-75.38,70.01,7.680081,465.9448,389.9038,237.6732,320.0303
"2014-05-02 18:25:00",12,2.461,297.6,4.724,2.829,0.181,-69.41,70.92,6.93049,456.3938,382.3789,237.0892,319.1348
"2014-05-02 18:30:00",13,2.028,290.1,3.954,2.453,0.165,-89.9,71.45,6.177951,448.0095,375.1967,236.5615,318.2163
"2014-05-02 18:35:00",14,1.362,294.2,3.994,1.914,0.641,-82.4,69,6.092557,435.5863,365.1835,235.733,317.7532
"2014-05-02 18:40:00",15,1.387,299.5,8.84,1.898,0.995,-77.93,66.89,6.505948,422.5936,355.6454,236.0627,317.8655
"2014-05-02 18:45:00",16,0.308,287.1,2.559,1.098,1.844,-88.7,62.55,6.921851,410.467,345.2673,236.0223,317.9639
"2014-05-02 18:50:00",17,0.233,232.4,18.22,0.611,3.394,-85.8,55.85,7.867007,397.1841,331.4855,237.1346,318.1351
"2014-05-02 18:55:00",18,0.228,249.8,33.04,0.585,3.47,-87.7,54.22,8.314364,382.3451,318.2062,237.2411,318.6131
"2014-05-02 19:00:00",19,0.829,275.8,26.22,1.369,2.848,-97,57.8,8.486133,368.1754,306.642,237.7895,318.6315
"2014-05-02 19:05:00",20,1.728,287.3,11.84,2.287,1.141,-105.7,63.76,7.509729,357.5324,295.6042,237.7138,317.808
"2014-05-02 19:10:00",21,0.919,298.8,18.48,1.189,1.136,-94.4,64.52,6.818155,346.2086,287.8329,236.1585,316.8986
"2014-05-02 19:15:00",22,0.674,311.9,12.34,1.604,1.945,-96.8,62.12,6.961926,334.0666,278.9457,235.9588,316.8027
"2014-05-02 19:20:00",23,1.059,313.7,9.01,1.565,1.5,-88.9,63.18,6.846503,318.3309,264.6503,236.3757,316.8842
"2014-05-02 19:25:00",24,1.043,312.3,7.75,1.241,1.159,-75.25,67.3,6.48389,219.1767,176.5289,235.9259,315.7022
"2014-05-02 19:30:00",25,0.96,334.9,10.05,1.336,0.009,-63.09,71.65,4.829874,54.10559,54.14235,235.272,311.7912
"2014-05-02 19:35:00",26,0.988,313,14.33,1.852,-0.449,-64.44,71.97,3.189676,55.43797,55.03606,233.3867,309.6632
"2014-05-02 19:40:00",27,0.854,315.8,31.31,2.372,-0.495,-64.88,71.63,2.079083,55.84473,55.12353,232.4305,308.0478
"2014-05-02 19:45:00",28,0.25,280.7,5.507,1.098,-0.637,-64.56,71.94,1.188226,55.05672,54.16682,231.8486,306.7905
"2014-05-02 19:50:00",29,0.042,328.3,0.028,0.196,-0.348,-64.1,70.45,0.6918152,53.9091,54.10552,231.4705,306.1328
"2014-05-02 19:55:00",30,0.886,325.6,5.687,1.196,-0.58,-63,72.71,0.1838104,52.19813,51.90922,230.9696,305.318
"2014-05-02 20:00:00",31,0.788,311.8,4.246,1.326,-1.187,-62.91,76.11,-0.3593384,50.50996,49.77843,230.6375,304.4707
"2014-05-02 20:05:00",32,1.374,312.8,13.25,1.712,-1.247,-62.48,75.69,-0.7905762,49.70112,48.69253,230.2789,303.7261
"2014-05-02 20:10:00",33,0.95,316.2,23.26,1.656,-1.23,-62.78,75.64,-1.091962,48.39545,47.47596,229.846,303.0422
"2014-05-02 20:15:00",34,0.478,336.1,16.07,0.611,-1.081,-62.46,74.98,-1.291626,46.36532,46.06171,229.7643,302.6335
"2014-05-02 20:20:00",35,0.351,20.49,9.95,0.431,-0.885,-60.5,74.05,-1.457846,44.53758,44.27578,229.5994,301.9923
"2014-05-02 20:25:00",36,0.511,14.24,15.08,0.915,-0.727,-61.02,73.41,-1.645486,42.34902,42.33791,229.3769,301.1392
"2014-05-02 20:30:00",37,1.295,359.8,2.936,1.643,-0.999,-61.18,75.22,-1.728153,40.36432,40.29147,229.0735,301.1501
"2014-05-02 20:35:00",38,1.228,335.2,6.135,1.352,-1.352,-62.11,77.22,-1.819156,37.65545,38.06962,228.9329,300.9693
"2014-05-02 20:40:00",39,1.206,339,4.272,1.365,-1.587,-61.78,78.01,-1.997754,35.55612,36.32705,228.9537,300.3537
"2014-05-02 20:45:00",40,0.317,358.7,10.52,0.823,-1.319,-60.7,75.89,-2.117642,33.79578,35.10812,228.8035,299.773
"2014-05-02 20:50:00",41,1.143,352.3,8.09,1.509,-1.208,-58.64,75.45,-2.244531,32.62221,33.58272,228.2262,299.2386
"2014-05-02 20:55:00",42,0.849,343.3,5.922,1.052,-1.123,-58.74,74.7,-2.069614,30.6566,31.70736,229.0126,299.5636
"2014-05-02 21:00:00",43,0.491,333.9,7.18,0.96,-1.212,-59.92,74.9,-2.198032,28.82724,30.15998,228.9054,298.7902
"2014-05-02 21:05:00",44,1.262,0.785,7.615,1.767,-1.354,-58.11,75.77,-2.330688,26.77129,27.91376,228.5812,298.3076
"2014-05-02 21:10:00",45,0.749,336.8,12.86,0.98,-1.242,-59.19,74.95,-2.365424,24.87291,26.36519,228.4616,297.9187
"2014-05-02 21:15:00",46,0.616,342.7,6.825,1.042,-1.441,-58.38,75.91,-2.455008,22.97425,24.64176,228.4539,297.8249
"2014-05-02 21:20:00",47,0.104,360,61.92,0.304,-1.237,-57.82,74.38,-2.603015,22.07074,24.00988,228.7401,297.082
"2014-05-02 21:25:00",48,0.525,324.4,11.03,1.186,-1.224,-58.98,73.91,-2.79722,19.94616,22.39588,228.223,296.5201
"2014-05-02 21:30:00",49,0.28,339.3,1.958,1.14,-1.4,-57.26,74.91,-2.889096,19.33627,21.54537,228.9624,296.1855
"2014-05-02 21:35:00",50,0.192,0.148,5.023,0.379,-1.303,-53.82,74.28,-2.927838,19.7212,20.91282,230.0208,296.2054
"2014-05-02 21:40:00",51,0.234,345.5,10.44,1.477,-1.22,-55.69,73.54,-3.087064,17.48313,19.16745,229.9019,295.648
"2014-05-02 21:45:00",52,1.268,336.1,11.74,1.578,-1.714,-55.11,75.79,-3.176218,15.56154,17.15999,229.6589,295.6365
"2014-05-02 21:50:00",53,1.427,337.5,10.02,1.859,-1.748,-56.09,76.33,-3.132074,13.82044,15.50134,229.5748,295.6786
"2014-05-02 21:55:00",54,0.924,20.02,23.27,1.362,-1.48,-55.92,74.68,-3.036389,11.31006,13.49316,229.6416,295.3317
"2014-05-02 22:00:00",55,0.8,108.3,85.4,1.633,-1.29,-57.74,72.87,-3.04386,9.613946,12.66401,230.043,294.7173
"2014-05-02 22:05:00",56,1.402,310.2,13.27,2.427,-1.53,-59.39,73.83,-3.046759,7.374836,10.48109,230.2653,295.1299
"2014-05-02 22:10:00",57,0.497,289.8,60.01,1.447,-1.344,-57.9,73.5,-3.048032,5.927146,9.607874,230.457,294.9692
"2014-05-02 22:15:00",58,0.862,8.9,86.4,1.63,-1.217,-55.17,72.66,-3.058893,4.072148,8.603545,231.2433,294.8044
"2014-05-02 22:20:00",59,1.676,334.5,27.76,3.165,-1.27,-56.84,71.35,-3.048584,2.85056,6.791259,230.8501,294.6955
"2014-05-02 22:25:00",60,3.986,11.82,26.8,4.567,-1.45,-61.58,73.05,-2.738498,2.239758,5.240917,232.2381,296.278
"2014-05-02 22:30:00",61,1.878,79.19,51.31,3.156,-1.192,-59.74,72.34,-2.390253,0.7239664,4.367463,230.6172,296.0998
"2014-05-02 22:35:00",62,1.421,355.5,18.28,2.381,-1.374,-56.42,72.47,-2.548013,0,2.882537,229.7881,294.8871
"2014-05-02 22:40:00",63,1.222,350.3,14.05,1.908,-1.578,-55.24,73.31,-2.662784,0,2.249257,229.7101,294.4875
"2014-05-02 22:45:00",64,1.148,19.01,45.5,1.787,-1.409,-57.26,72.01,-2.795947,0,2.402121,229.9885,293.6967
"2014-05-02 22:50:00",65,1.124,48.17,46.24,1.447,-1.886,-56.77,74.5,-3.026999,0,1.659647,230.8253,293.2821
"2014-05-02 22:55:00",66,1.024,194.6,52.48,2.087,-1.567,-50.75,73.51,-3.109305,0,2.795196,232.7262,293.3788
"2014-05-02 23:00:00",67,1.465,130.7,62.35,2.721,-1.382,-48.58,72.72,-2.976285,0,3.10092,230.0569,292.8506
"2014-05-02 23:05:00",68,0.389,2.233,10.67,1.264,-1.523,-53.4,73.33,-3.114462,0,2.009047,229.6782,292.0396
"2014-05-02 23:10:00",69,0.798,69.39,20.89,1.209,-1.411,-58.42,72.68,-3.256018,0,2.205597,228.8073,291.5627
"2014-05-02 23:15:00",70,1.108,71.78,73.18,1.738,-1.433,-59.62,71.98,-3.321259,0,2.424022,228.3955,290.8845
"2014-05-02 23:20:00",71,1.497,282.4,18.9,2.153,-1.927,-52.54,73.83,-3.417065,0,1.747059,229.1623,290.4577
"2014-05-02 23:25:00",72,1.718,293.9,15.2,2.345,-1.872,-53.5,74.53,-3.396265,0,2.38048,228.8536,290.937
"2014-05-02 23:30:00",73,0.773,306.8,30.94,1.281,-1.495,-53.43,73.01,-3.354077,0,2.598973,228.959,290.7374
"2014-05-02 23:35:00",74,0.981,2.274,20.34,1.336,-1.433,-50.95,72.27,-3.333008,0,2.249585,228.6132,289.9405
"2014-05-02 23:40:00",75,0.813,123.2,22.38,1.323,-1.391,-54.96,72.04,-3.385681,0,2.511709,228.1785,289.0474
"2014-05-02 23:45:00",76,1.119,319.4,41.9,1.591,-2.023,-55.5,72.49,-3.587231,0,1.41967,226.6449,288.5771
"2014-05-02 23:50:00",77,1.001,313.2,15.23,1.336,-2.495,-54.42,75.81,-3.870612,0,1.878339,226.4626,287.7073
"2014-05-02 23:55:00",78,1.165,336.3,10.61,1.431,-2.384,-51.03,75.56,-4.031601,0,1.965706,226.1084,287.2272
"2014-05-03 00:00:00",79,1.002,1.102,12,1.428,-2.116,-47.54,75.19,-3.860684,0,1.987549,226.9045,287.1704
"2014-05-03 00:05:00",80,1.646,7.081,4.863,2.055,-1.992,-47.73,74.77,-3.728589,0,1.900184,227.2511,287.0202
"2014-05-03 00:10:00",81,1.134,9.48,6.546,2.208,-1.651,-48.32,73.1,-3.604135,0,2.053073,227.047,286.2172
"2014-05-03 00:15:00",82,1.729,4.089,8.93,2.068,-1.969,-47.34,73.79,-3.608737,0,1.507043,226.4294,286.7002
"2014-05-03 00:20:00",83,1.237,349.5,6.113,1.503,-1.968,-45.15,73.81,-3.52114,0,1.244948,226.6594,286.5473
"2014-05-03 00:25:00",84,1.293,355.8,10.13,1.689,-2.102,-45.62,73.99,-3.675003,0,1.070219,226.2148,285.3218
"2014-05-03 00:30:00",85,1.107,347.2,18.24,1.548,-2.245,-45.13,74.53,-3.723767,0,1.092061,226.2771,284.873
"2014-05-03 00:35:00",86,0.751,352.6,2.993,1.114,-2.363,-46.31,74.78,-3.908756,0,1.113933,225.6543,284.4015
"2014-05-03 00:40:00",87,1.027,354.8,7.82,1.147,-2.434,-44.42,75.37,-4.006982,0,1.354271,225.6936,283.7339
"2014-05-03 00:45:00",88,1.404,10.81,6.411,2.6,-2.358,-46.36,75.04,-4.072268,0,1.463544,225.5215,283.2898
"2014-05-03 00:50:00",89,2.24,349.7,8.67,2.711,-2.765,-47.08,76.05,-4.105096,0,1.004846,225.0962,284.6162
"2014-05-03 00:55:00",90,1.598,347.2,6.755,2.159,-2.616,-44.67,76.55,-3.931799,0,1.441768,225.7013,284.6848
"2014-05-03 01:00:00",91,1.729,358.2,3.516,2.205,-2.513,-45.95,74.76,-4.011887,0,0.873807,225.4657,283.13
"2014-05-03 01:05:00",92,1.951,2.624,2.218,2.202,-2.656,-44.03,76.45,-4.164279,0,0.9830627,224.9101,282.6888
