"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_28Apr2014 .CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2014-05-03 00:00:00",0,13.94,13.32,"2014-05-03 00:00:00",13.68,15.92,"2014-05-02 17:35:30",-4.031,2.481
"2014-05-04 00:00:00",1,14.15,12.62,"2014-05-03 06:30:00",13.52,9.88,"2014-05-03 16:55:00",-7.239,-0.094
"2014-05-05 00:00:00",2,14.11,12.63,"2014-05-04 06:30:00",13.51,11.22,"2014-05-04 17:30:00",-6.093,0.836
"2014-05-06 00:00:00",3,14.07,12.63,"2014-05-05 06:00:00",13.51,10.16,"2014-05-05 15:54:00",-4.505,1.439
"2014-05-07 00:00:00",4,14.06,12.63,"2014-05-06 06:30:00",13.53,8.97,"2014-05-06 15:52:00",-5.09,0.641
"2014-05-08 00:00:00",5,14.14,12.65,"2014-05-07 06:00:00",13.55,9.68,"2014-05-07 17:44:30",-6.642,0.098
"2014-05-09 00:00:00",6,14,12.66,"2014-05-08 06:00:00",13.56,7.225,"2014-05-08 14:22:00",-3.407,1.088
"2014-05-10 00:00:00",7,14.04,12.63,"2014-05-09 06:00:00",13.58,6.33,"2014-05-09 13:00:30",-3.859,0.216
"2014-05-11 00:00:00",8,14.04,12.69,"2014-05-10 06:00:00",13.57,8.5,"2014-05-10 15:47:00",-4.074,0.882
"2014-05-12 00:00:00",9,14.04,12.67,"2014-05-11 06:00:00",13.59,6.373,"2014-05-11 17:32:30",-6.378,-0.034
"2014-05-13 00:00:00",10,14.13,12.69,"2014-05-12 06:00:00",13.58,10.58,"2014-05-12 15:13:00",-7.415,-0.089
"2014-05-14 00:00:00",11,14.09,12.7,"2014-05-13 06:00:00",13.54,11.91,"2014-05-13 15:41:00",-5.352,1.831
"2014-05-15 00:00:00",12,14.14,12.63,"2014-05-14 06:00:00",13.71,-0.479,"2014-05-14 00:00:30",-6.952,-3.976
"2014-05-16 00:00:00",13,14.24,12.75,"2014-05-15 06:00:00",13.61,10.38,"2014-05-15 16:49:30",-10.4,-0.808
"2014-05-17 00:00:00",14,14.05,12.66,"2014-05-16 06:00:00",13.53,10.81,"2014-05-16 16:01:00",-3.771,2.129
"2014-05-18 00:00:00",15,14.02,12.68,"2014-05-17 06:00:00",13.55,10.93,"2014-05-17 18:13:30",-2.612,2.463
"2014-05-19 00:00:00",16,14.05,12.72,"2014-05-18 05:30:00",13.63,4.859,"2014-05-18 15:14:30",-3.642,0.519
"2014-05-20 00:00:00",17,14.12,12.73,"2014-05-19 06:00:00",13.73,-1.374,"2014-05-19 14:20:30",-6.554,-3.987
"2014-05-21 00:00:00",18,14.17,12.8,"2014-05-20 06:00:00",13.77,3.165,"2014-05-20 14:39:00",-7.415,-4.506
"2014-05-22 00:00:00",19,14.19,12.85,"2014-05-21 06:00:00",13.73,4.17,"2014-05-21 14:56:30",-9.91,-3.395
"2014-05-23 00:00:00",20,14.15,12.87,"2014-05-22 05:30:00",13.78,3.142,"2014-05-22 13:12:30",-7.526,-3.295
"2014-05-24 00:00:00",21,14.19,12.85,"2014-05-23 05:30:00",13.74,3.956,"2014-05-23 15:11:00",-8.78,-3.655
"2014-05-25 00:00:00",22,14.22,12.83,"2014-05-24 05:30:00",13.66,9.24,"2014-05-24 15:41:30",-9.94,-1.585
"2014-05-26 00:00:00",23,14.16,12.78,"2014-05-25 05:30:00",13.65,6.701,"2014-05-25 18:24:00",-7.639,-0.988
"2014-05-27 00:00:00",24,14.06,12.79,"2014-05-26 05:30:00",13.61,8.83,"2014-05-26 12:52:00",-4.182,1.408
"2014-05-28 00:00:00",25,14.08,12.77,"2014-05-27 05:30:00",13.61,7.729,"2014-05-27 18:37:00",-4.808,0.954
"2014-05-29 00:00:00",26,14.04,12.77,"2014-05-28 06:00:00",13.59,8.9,"2014-05-28 12:05:00",-3.17,2.01
"2014-05-30 00:00:00",27,14.06,12.78,"2014-05-29 05:30:00",13.61,8.55,"2014-05-29 12:45:30",-4.485,1.61
"2014-05-31 00:00:00",28,14.03,12.75,"2014-05-30 05:30:00",13.64,7.333,"2014-05-30 12:06:30",-3.665,1.017
"2014-06-01 00:00:00",29,14.12,12.79,"2014-05-31 05:30:00",13.72,1.99,"2014-05-31 14:52:00",-7.86,-1.542
"2014-06-02 00:00:00",30,14.22,12.9,"2014-06-01 05:30:00",13.73,4.816,"2014-06-01 19:09:00",-9.39,-2.948
"2014-06-03 00:00:00",31,14.1,12.89,"2014-06-02 05:00:00",13.71,3.764,"2014-06-02 18:14:30",-6.028,-1.527
"2014-06-04 00:00:00",32,14.06,12.76,"2014-06-03 06:00:00",13.69,1.523,"2014-06-03 16:54:30",-5.156,-2.195
"2014-06-05 00:00:00",33,14.19,12.85,"2014-06-04 05:30:00",13.68,8.97,"2014-06-04 14:04:30",-8.87,-0.791
"2014-06-06 00:00:00",34,14.13,12.85,"2014-06-05 05:30:00",13.64,9.88,"2014-06-05 13:50:30",-6.884,0.464
"2014-06-07 00:00:00",35,14.1,12.8,"2014-06-06 05:30:00",13.65,8.41,"2014-06-06 12:56:30",-5.743,0.085
"2014-06-08 00:00:00",36,14.07,12.89,"2014-06-07 05:30:00",13.69,4.493,"2014-06-07 18:34:30",-4.593,0.156
"2014-06-09 00:00:00",37,14.04,12.83,"2014-06-08 05:30:00",13.69,4.365,"2014-06-08 18:14:30",-4.831,-0.215
