"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_July2014 .CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2014-07-15 17:15:00",0,0.85,336.3,12.94,1.281,6.847,-99999,42.41,11.72371,705.686,195.1429,256.4594,331.5714
"2014-07-15 17:20:00",1,0.564,329.4,40.14,1.13,6.98,-99999,40.83,11.8315,698.6518,194.8869,256.5496,329.5625
"2014-07-15 17:25:00",2,2.92,0.942,3.986,3.41,6.459,-99999,44.94,11.52309,689.8553,194.4248,257.2825,327.7575
"2014-07-15 17:30:00",3,3.098,352.7,6.302,3.538,5.265,-99999,54.07,10.23988,681.3615,193.3707,256.2973,326.9227
"2014-07-15 17:35:00",4,3.347,347.8,4.965,3.642,4.257,-99999,60.62,8.872375,673.2103,191.6205,255.5271,328.0259
"2014-07-15 17:40:00",5,3.195,350.2,4.848,3.551,4.401,-99999,58.56,8.185773,666.1085,191.9866,255.0647,327.5178
"2014-07-15 17:45:00",6,2.638,351.2,4.156,3.038,4.756,-99999,54.49,8.033832,657.5264,191.5122,255.3672,323.892
"2014-07-15 17:50:00",7,2.097,347.8,11.18,2.401,5.558,-99999,47.44,8.386996,648.8048,190.9344,255.6374,323.8597
"2014-07-15 17:55:00",8,1.781,339.7,15.76,2.189,5.963,-99999,49.98,8.819486,633.1317,184.1695,255.8792,324.0042
"2014-07-15 18:00:00",9,2.041,350.3,14.64,2.911,5.34,-99999,54.77,8.808108,613.6946,179.4324,255.7743,324.1756
"2014-07-15 18:05:00",10,2.622,342.3,7.514,3.074,5.069,-99999,53.44,8.525421,617.1561,181.119,256.5984,324.2071
"2014-07-15 18:10:00",11,2.242,345.7,10.68,2.682,5.612,-99999,52.89,8.605316,607.2858,178.6837,256.4443,324.6497
"2014-07-15 18:15:00",12,2.791,340.4,21.5,3.587,5.554,-99999,51.87,8.509326,597.3389,172.8028,256.7505,328.8755
"2014-07-15 18:20:00",13,1.918,9.04,8.82,2.666,6.343,-99999,47.24,8.787048,586.326,171.5837,256.8489,327.5037
"2014-07-15 18:25:00",14,1.053,332.7,20.01,1.891,6.722,-99999,47.93,9.302439,573.8208,166.9864,257.6482,327.1557
"2014-07-15 18:30:00",15,0.91,341.8,21.87,1.395,6.506,-99999,46.82,9.554382,562.6915,163.3039,258.6992,329.9518
"2014-07-15 18:35:00",16,0.633,313.9,36.05,1.153,7.451,-99999,42.59,10.20923,555.4675,156.8974,263.4571,333.4354
"2014-07-15 18:40:00",17,0.873,305.5,43.7,1.346,7.06,-99999,45.19,10.51322,543.4796,152.7135,266.0999,333.8854
"2014-07-15 18:45:00",18,0.355,352.5,35.7,0.81,7.212,-99999,42.5,10.94092,533.0945,150.8394,265.0628,334.3669
"2014-07-15 18:50:00",19,1.089,20.66,19.84,1.682,7.101,-99999,43.03,11.43909,523.0029,147.7886,265.6337,334.5298
"2014-07-15 18:55:00",20,1.768,15.51,13.78,2.483,6.334,-99999,45.24,11.55045,468.4811,129.6583,266.8517,335.2668
"2014-07-15 19:00:00",21,1.194,353.8,66.2,2.28,6.333,-99999,44.65,11.23533,510.4956,142.6459,261.3919,333.4269
"2014-07-15 19:05:00",22,0.381,331.2,34.76,1.212,7.559,-99999,40.86,11.53425,492.6603,141.273,260.3321,340.011
"2014-07-15 19:10:00",23,1.717,4.718,7.681,2.035,6.993,-99999,45.12,11.33097,466.8563,137.2201,261.9316,328.0164
"2014-07-15 19:15:00",24,2.225,5.332,3.892,2.826,6.448,-99999,44.71,10.59394,516.0173,152.5212,263.0605,326.6541
"2014-07-15 19:20:00",25,2.801,355.3,4.203,3.423,6.147,-99999,49.23,9.717853,460.9134,137.7918,260.7268,325.7682
"2014-07-15 19:25:00",26,4.086,345.5,4.709,4.508,5.162,-99999,61.3,8.300913,333.0441,101.6846,260.1841,324.6579
"2014-07-15 19:30:00",27,4.04,345.5,6.487,4.42,4.591,-99999,66.58,6.891846,385.2136,117.4234,263.7892,323.0273
"2014-07-15 19:35:00",28,4.025,345.9,3.971,4.59,4.357,-99999,70.08,6.256256,401.5269,117.0999,266.9465,322.1496
"2014-07-15 19:40:00",29,3.066,347.9,4.181,3.489,4.267,-99999,67.54,5.554672,134.9817,37.55211,266.6264,321.7059
"2014-07-15 19:45:00",30,2.725,356.1,7.146,3.116,4.68,-99999,61.16,5.052875,123.5801,36.17941,266.6701,320.7929
"2014-07-15 19:50:00",31,1.844,0.514,22.84,2.852,5.063,-99999,60.05,4.963278,142.977,41.65012,272.668,320.5871
"2014-07-15 19:55:00",32,2.193,351.7,10.67,2.522,5.144,-99999,57.63,5.078027,206.9025,61.8108,276.168,320.7612
"2014-07-15 20:00:00",33,2.436,355.7,17.99,3.361,5.414,-99999,58.87,5.37341,182.2057,54.66383,275.4257,321.0462
"2014-07-15 20:05:00",34,2.832,346,21.07,4.005,5.587,-99999,60.55,5.794226,410.8374,122.804,280.0334,321.3745
"2014-07-15 20:10:00",35,2.426,347.1,11.5,3.29,5.656,-99999,61.06,6.410159,303.6281,88.08464,280.2903,322.0958
"2014-07-15 20:15:00",36,3.455,347.2,6.748,4.178,5.119,-99999,66.55,6.388107,370.5278,110.5826,272.9082,322.3336
"2014-07-15 20:20:00",37,3.511,350.5,3.313,4.054,4.752,-99999,70.47,6.114636,231.1448,63.39002,262.8536,322.102
"2014-07-15 20:25:00",38,4.167,340.4,4.731,4.704,4.303,-99999,71.5,5.171906,71.86204,21.25368,261.2007,321.334
"2014-07-15 20:30:00",39,4.044,336.7,6.539,4.694,4.438,-99999,71.08,4.59184,83.78658,24.71973,264.0936,320.3989
"2014-07-15 20:35:00",40,3.702,341.7,5.948,3.969,4.26,-99999,72.82,4.233017,68.34021,21.16688,260.9611,320.1266
"2014-07-15 20:40:00",41,2.921,348.6,10.11,3.76,4.083,-99999,72.52,3.920438,60.75426,19.31471,257.461,319.6204
"2014-07-15 20:45:00",42,2.233,340.1,8.82,2.904,3.671,-99999,74.09,3.508838,48.42487,16.35066,255.715,318.9915
"2014-07-15 20:50:00",43,2.012,343.1,8.02,2.685,3.55,-99999,71.91,3.193185,42.2377,15.23933,254.3181,318.6371
"2014-07-15 20:55:00",44,1.659,341.1,6.665,2.048,4.096,-99999,65.99,3.15976,48.92461,17.83415,254.9511,318.5541
"2014-07-15 21:00:00",45,1.063,353.5,19.89,1.343,4.569,-99999,63.28,3.263434,47.05172,17.52962,254.6892,318.586
"2014-07-15 21:05:00",46,0.131,105.4,83.3,0.379,4.736,-99999,62.33,3.262112,40.50235,16.54901,254.3625,318.6952
"2014-07-15 21:10:00",47,0.793,347.7,8.63,1.748,4.902,-99999,61.38,3.255679,34.72052,15.04498,253.5744,318.6254
"2014-07-15 21:15:00",48,1.742,0.259,2.486,2.029,4.928,-99999,61.63,3.318289,31.7172,13.99887,252.878,318.2678
"2014-07-15 21:20:00",49,1.868,355.1,4.117,2.114,4.969,-99999,60.69,3.440338,29.66216,13.12698,252.746,318.0797
"2014-07-15 21:25:00",50,1.954,358.2,4.385,2.332,5.069,-99999,60.9,3.51387,28.32968,12.64743,252.7005,317.9299
"2014-07-15 21:30:00",51,1.955,350.1,2.95,2.127,4.877,-99999,61.09,3.515668,26.59045,11.77533,252.7082,317.5131
"2014-07-15 21:35:00",52,2.281,351,5.132,2.372,4.546,-99999,62.16,3.453043,24.85181,10.9253,252.961,317.7918
"2014-07-15 21:40:00",53,2.596,354.9,3.88,3.629,4.636,-99999,61.56,3.442593,24.5139,10.90392,252.9872,317.8571
"2014-07-15 21:45:00",54,4.24,343.6,8.57,5.308,3.972,-99999,72.98,3.261533,22.43614,9.421342,252.7524,318.1485
"2014-07-15 21:50:00",55,4.506,327.8,19.9,5.949,4.029,-99999,75.19,3.294061,22.18819,9.72692,252.3495,318.6519
"2014-07-15 21:55:00",56,4.907,336.4,10.42,5.37,4.115,-99999,75.73,3.42489,20.9232,9.225453,252.4985,318.8537
"2014-07-15 22:00:00",57,4.417,342.4,7.311,5.253,4.111,-99999,75.74,3.453625,19.59024,8.723904,252.9538,318.7981
"2014-07-15 22:05:00",58,4.273,339.3,3.901,4.675,3.941,-99999,76.63,3.388049,17.51153,7.742494,253.1557,318.8315
"2014-07-15 22:10:00",59,5.112,345.2,5.152,5.374,3.684,-99999,78.1,3.173023,16.26881,7.240882,252.841,318.5746
"2014-07-15 22:15:00",60,5.489,334.8,6.548,5.998,3.812,-99999,78.1,3.139584,16.11065,7.393557,252.4026,318.3759
"2014-07-15 22:20:00",61,4.872,339.6,4.506,5.403,3.693,-99999,78.81,3.106805,15.365,6.848311,252.3651,318.2579
"2014-07-15 22:25:00",62,4.359,333.2,8.15,4.841,3.588,-99999,77.7,2.992554,17.98609,7.2627,254.3237,318.0985
"2014-07-15 22:30:00",63,4.758,331.8,9.96,6.243,4.006,-99999,77.4,3.196686,19.59038,7.720708,258.48,318.4172
"2014-07-15 22:35:00",64,2.645,301.9,55.08,4.828,4.107,-99999,73.81,3.269727,18.09907,7.45899,263.2027,318.7282
"2014-07-15 22:40:00",65,0.964,332.3,39.47,1.467,4.455,-99999,70.79,3.277521,15.97508,7.28451,272.2643,318.8429
"2014-07-15 22:45:00",66,1.04,21.23,26.04,1.754,4.498,-99999,70.17,3.252786,15.52317,6.477544,289.0812,319.343
"2014-07-15 22:50:00",67,0.848,296.2,46.46,2.071,4.809,-99999,69.28,3.392151,15.34241,6.019536,301.914,319.3537
"2014-07-15 22:55:00",68,0.642,243.1,78.77,1.137,4.726,-99999,69.91,3.378281,11.07184,4.514651,304.0339,319.2098
"2014-07-15 23:00:00",69,1.114,20.99,9.61,1.519,4.393,-99999,71.54,3.370129,10.16802,3.489586,302.9612,319.3254
"2014-07-15 23:05:00",70,0.794,24.35,23.95,1.169,4.591,-99999,70.82,3.410138,8.767089,3.402346,303.193,319.324
"2014-07-15 23:10:00",71,0.559,330.9,18.44,0.885,4.709,-99999,70.62,3.464862,6.891655,2.551759,304.8072,319.5865
"2014-07-15 23:15:00",72,0.388,325.4,10.71,0.595,4.571,-99999,71.31,3.404907,5.468133,1.984702,304.6785,319.3376
"2014-07-15 23:20:00",73,0.318,174.1,37.22,1.003,4.427,-99999,71.3,3.349683,4.360949,2.006512,303.0223,319.6913
"2014-07-15 23:25:00",74,0.594,258.5,83.7,1.173,4.343,-99999,71.47,3.243851,3.728272,1.919272,303.3897,319.3002
"2014-07-15 23:30:00",75,1.461,350.8,8.82,1.797,3.946,-99999,73.88,3.153589,2.485515,1.090496,306.8139,319.0616
"2014-07-15 23:35:00",76,1.844,2.013,1.511,2.097,4.037,-99999,72.45,3.153583,2.282155,1.243165,306.8537,319.1776
"2014-07-15 23:40:00",77,1.923,0.184,2.032,2.065,4.383,-99999,70.74,3.277057,2.259559,1.374024,303.6283,319.15
"2014-07-15 23:45:00",78,1.816,357.6,5.739,2.172,4.555,-99999,69.24,3.391754,1.807647,1.395834,298.7715,319.3517
"2014-07-15 23:50:00",79,1.658,356.6,8.3,2.133,4.453,-99999,69.02,3.391754,0.3389339,1.199545,279.6894,318.9265
"2014-07-15 23:55:00",80,2.552,347.4,10.19,3.041,4.259,-99999,73.27,3.268817,0,1.155925,261.4889,318.4532
"2014-07-16 00:00:00",81,4.4,338.2,4.638,5.067,3.592,-99999,79.2,2.979724,0,0.3707685,252.9507,318.1147
"2014-07-16 00:05:00",82,4.943,337.9,6.275,5.988,3.245,-99999,81.3,2.695309,0,0.6106775,253.0256,317.6478
"2014-07-16 00:10:00",83,4.925,338.7,4.505,5.746,3.213,-99999,82,2.561914,0,0.8723965,253.0669,317.5933
"2014-07-16 00:15:00",84,4.451,341.6,5.414,5.282,2.972,-99999,83,2.3526,0,0.6761084,251.5164,317.0635
"2014-07-16 00:20:00",85,4.161,344.5,4.573,4.841,2.903,-99999,83.3,2.198935,0,0.9378561,254.5628,316.799
"2014-07-16 00:25:00",86,4.129,342.5,3.555,4.662,2.972,-99999,82.4,2.15741,0,1.243265,260.5251,317.1046
"2014-07-16 00:30:00",87,3.783,340,9.04,4.113,3.058,-99999,81,2.224109,0,1.112425,264.3377,316.8401
"2014-07-16 00:35:00",88,3.344,342.7,8.94,3.672,2.924,-99999,81.1,2.152689,0,0.9161421,271.0753,317.1205
"2014-07-16 00:40:00",89,3.273,345.4,4.272,3.74,3.257,-99999,79.29,2.288962,0,1.156102,291.8386,317.7657
"2014-07-16 00:45:00",90,4.388,343,5.152,5.106,3.248,-99999,81.2,2.440717,0.1355957,0.7416576,305.5601,318.1376
"2014-07-16 00:50:00",91,5.038,337.8,5.847,5.21,3.412,-99999,81.7,2.715167,0.2033942,0.5889659,311.1589,318.5141
"2014-07-16 00:55:00",92,5.084,328.7,4.301,5.7,3.445,-99999,81.5,2.930893,0.1129971,0.1963224,314.8113,319.0396
"2014-07-16 01:00:00",93,4.617,321.3,6.392,5.909,3.592,-99999,80.2,3.104379,0.1129972,0.1308818,312.8568,319.1336
"2014-07-16 01:05:00",94,1.925,290,48.11,3.185,3.461,-99999,78.56,2.996545,0,0.1308818,310.1546,319.0824
