"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_July2014 .CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2014-07-15 17:30:00",0,1.356,775.5966,0
"2014-07-15 18:00:00",1,1.353,775.6248,0
"2014-07-15 18:30:00",2,1.351,775.7016,0
"2014-07-15 19:00:00",3,1.349,775.5687,0
"2014-07-15 19:30:00",4,1.358,775.4507,0
"2014-07-15 20:00:00",5,1.372,775.6176,0
"2014-07-15 20:30:00",6,1.372,775.621,0
"2014-07-15 21:00:00",7,1.379,775.4427,0
"2014-07-15 21:30:00",8,1.376,775.4728,0
"2014-07-15 22:00:00",9,1.381,775.3453,0
"2014-07-15 22:30:00",10,1.377,775.5031,0
"2014-07-15 23:00:00",11,1.376,775.712,0
"2014-07-15 23:30:00",12,1.38,775.981,0
"2014-07-16 00:00:00",13,1.38,775.8512,0
"2014-07-16 00:30:00",14,1.377,776.0027,0
"2014-07-16 01:00:00",15,1.378,776.0769,0
"2014-07-16 01:30:00",16,1.382,776.3485,0
"2014-07-16 02:00:00",17,1.378,776.3121,0
"2014-07-16 02:30:00",18,1.385,776.0789,0
"2014-07-16 03:00:00",19,1.384,776.1651,0
"2014-07-16 03:30:00",20,1.386,776.1775,0
"2014-07-16 04:00:00",21,1.385,776.314,0
"2014-07-16 04:30:00",22,1.384,776.1775,0
"2014-07-16 05:00:00",23,1.381,776.0424,0
"2014-07-16 05:30:00",24,1.386,776.0488,0
"2014-07-16 06:00:00",25,1.383,776.0527,0
"2014-07-16 06:30:00",26,1.384,775.9196,0
"2014-07-16 07:00:00",27,1.384,775.9281,0
"2014-07-16 07:30:00",28,1.384,776.0563,0
"2014-07-16 08:00:00",29,1.384,776.1807,0
"2014-07-16 08:30:00",30,1.382,776.1094,0
"2014-07-16 09:00:00",31,1.384,776.2043,0
"2014-07-16 09:30:00",32,1.383,776.3018,0
"2014-07-16 10:00:00",33,1.374,776.3488,0
"2014-07-16 10:30:00",34,1.394,776.3305,0
"2014-07-16 11:00:00",35,1.393,776.3004,0
"2014-07-16 11:30:00",36,1.384,776.2276,0
"2014-07-16 12:00:00",37,1.399,776.251,0
"2014-07-16 12:30:00",38,1.391,776.0826,0
"2014-07-16 13:00:00",39,1.398,775.9376,0
"2014-07-16 13:30:00",40,1.397,776.1202,0
"2014-07-16 14:00:00",41,1.416,775.9756,0
"2014-07-16 14:30:00",42,1.405,775.8392,0
"2014-07-16 15:00:00",43,1.418,775.7029,0
"2014-07-16 15:30:00",44,1.403,775.6348,0
"2014-07-16 16:00:00",45,1.421,775.3906,0
"2014-07-16 16:30:00",46,1.429,775.3578,0
"2014-07-16 17:00:00",47,1.427,775.2157,0
"2014-07-16 17:30:00",48,1.422,775.0128,0
"2014-07-16 18:00:00",49,1.416,775.0286,0
"2014-07-16 18:30:00",50,1.414,774.7656,0
"2014-07-16 19:00:00",51,1.413,774.4971,0
"2014-07-16 19:30:00",52,1.429,774.2949,0
"2014-07-16 20:00:00",53,1.424,774.1166,0
"2014-07-16 20:30:00",54,1.422,774.0494,0
"2014-07-16 21:00:00",55,1.427,774.002,0
"2014-07-16 21:30:00",56,1.426,773.8849,0
"2014-07-16 22:00:00",57,1.428,773.7676,0
"2014-07-16 22:30:00",58,1.427,773.7955,0
"2014-07-16 23:00:00",59,1.427,773.8129,0
"2014-07-16 23:30:00",60,1.43,773.7472,0
"2014-07-17 00:00:00",61,1.427,773.7575,0
"2014-07-17 00:30:00",62,1.426,773.6222,0
"2014-07-17 01:00:00",63,1.428,773.5198,0
"2014-07-17 01:30:00",64,1.431,773.5065,0
"2014-07-17 02:00:00",65,1.429,773.413,0
"2014-07-17 02:30:00",66,1.427,773.3104,0
"2014-07-17 03:00:00",67,1.427,773.3105,0
"2014-07-17 03:30:00",68,1.429,773.0375,0
"2014-07-17 04:00:00",69,1.428,772.9056,0
"2014-07-17 04:30:00",70,1.427,772.6287,0
"2014-07-17 05:00:00",71,1.429,772.355,0
"2014-07-17 05:30:00",72,1.428,772.2887,0
"2014-07-17 06:00:00",73,1.43,772.152,0
"2014-07-17 06:30:00",74,1.431,772.0139,0
"2014-07-17 07:00:00",75,1.429,772.0483,0
"2014-07-17 07:30:00",76,1.429,771.9484,0
"2014-07-17 08:00:00",77,1.429,771.8137,0
"2014-07-17 08:30:00",78,1.427,771.6728,0
"2014-07-17 09:00:00",79,1.427,771.5867,0
"2014-07-17 09:30:00",80,1.426,771.585,0
"2014-07-17 10:00:00",81,1.428,771.2922,0
"2014-07-17 10:30:00",82,1.429,771.1802,0
"2014-07-17 11:00:00",83,1.439,771.1978,0
"2014-07-17 11:30:00",84,1.45,770.9557,0
"2014-07-17 12:00:00",85,1.444,770.8223,0
"2014-07-17 12:30:00",86,1.445,770.7587,0
"2014-07-17 13:00:00",87,1.456,770.6174,0
"2014-07-17 13:30:00",88,1.456,770.3441,0
"2014-07-17 14:00:00",89,1.442,770.1915,0
"2014-07-17 14:30:00",90,1.452,769.9779,0
"2014-07-17 15:00:00",91,1.467,769.8757,0
"2014-07-17 15:30:00",92,1.48,769.6371,0
"2014-07-17 16:00:00",93,1.487,769.3646,0
"2014-07-17 16:30:00",94,1.483,769.1198,0
"2014-07-17 17:00:00",95,1.492,768.7269,0
"2014-07-17 17:30:00",96,1.503,768.5358,0
"2014-07-17 18:00:00",97,1.492,768.1949,0
"2014-07-17 18:30:00",98,1.473,767.9222,0
"2014-07-17 19:00:00",99,1.507,767.8075,0
"2014-07-17 19:30:00",100,1.501,767.4308,0
"2014-07-17 20:00:00",101,1.493,767.4339,0
"2014-07-17 20:30:00",102,1.493,767.2975,0
"2014-07-17 21:00:00",103,1.496,767.1886,0
"2014-07-17 21:30:00",104,1.498,766.7834,0
"2014-07-17 22:00:00",105,1.5,766.8087,0
"2014-07-17 22:30:00",106,1.496,766.8088,0
"2014-07-17 23:00:00",107,1.503,766.6739,0
"2014-07-17 23:30:00",108,1.501,766.8356,0
"2014-07-18 00:00:00",109,1.504,766.9211,0
"2014-07-18 00:30:00",110,1.512,767.0585,0
"2014-07-18 01:00:00",111,1.527,766.9306,0
"2014-07-18 01:30:00",112,1.517,766.5925,0.5
"2014-07-18 02:00:00",113,1.518,766.4562,0.2
"2014-07-18 02:30:00",114,1.512,766.4661,0.1
"2014-07-18 03:00:00",115,1.528,766.202,0
"2014-07-18 03:30:00",116,1.512,766.1926,0
"2014-07-18 04:00:00",117,1.507,766.0518,0.1
"2014-07-18 04:30:00",118,1.507,765.7836,0
"2014-07-18 05:00:00",119,1.509,765.7292,0.1
"2014-07-18 05:30:00",120,1.507,765.5863,0
