"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_July2014 .CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2014-07-16 00:00:00",0,13.81,13.28,"2014-07-16 00:00:00",13.64,9.57,"2014-07-15 17:13:00",2.93,5.443
"2014-07-17 00:00:00",1,13.92,12.63,"2014-07-16 06:00:00",13.46,9.95,"2014-07-16 14:26:00",-0.012,4.576
"2014-07-18 00:00:00",2,13.92,12.63,"2014-07-17 06:00:00",13.45,9.91,"2014-07-17 15:26:00",0.117,4.615
"2014-07-19 00:00:00",3,13.88,12.65,"2014-07-18 06:00:00",13.5,8.75,"2014-07-18 13:44:30",1.053,4.012
"2014-07-20 00:00:00",4,13.88,12.72,"2014-07-19 06:30:00",13.51,6.809,"2014-07-19 14:15:00",0.352,3.673
"2014-07-21 00:00:00",5,13.93,12.69,"2014-07-20 06:30:00",13.57,5.637,"2014-07-20 15:38:00",-0.267,1.66
"2014-07-22 00:00:00",6,13.94,12.71,"2014-07-21 06:00:00",13.56,8.06,"2014-07-21 17:40:30",-0.436,2.621
"2014-07-23 00:00:00",7,13.91,12.64,"2014-07-22 06:00:00",13.45,10.31,"2014-07-22 14:20:00",-0.158,4.489
"2014-07-24 00:00:00",8,13.94,12.64,"2014-07-23 06:00:00",13.55,7.137,"2014-07-23 14:24:00",-0.712,2.439
"2014-07-25 00:00:00",9,13.95,12.7,"2014-07-24 06:30:00",13.56,8.61,"2014-07-24 13:54:00",-1.778,2.374
"2014-07-26 00:00:00",10,13.99,12.71,"2014-07-25 06:00:00",13.58,4.622,"2014-07-25 15:43:00",-2.763,0.809
"2014-07-27 00:00:00",11,14.03,12.68,"2014-07-26 06:00:00",13.55,6.091,"2014-07-26 16:21:00",-3.364,0.963
"2014-07-28 00:00:00",12,13.93,12.64,"2014-07-27 06:30:00",13.51,4.859,"2014-07-27 14:01:00",-1.95,1.483
"2014-07-29 00:00:00",13,14.01,12.66,"2014-07-28 06:00:00",13.52,8.7,"2014-07-28 15:01:00",-3.751,2.49
"2014-07-30 00:00:00",14,13.92,12.65,"2014-07-29 06:00:00",13.57,4.193,"2014-07-29 11:19:00",0.138,1.511
