"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_27JULY2013 .CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2013-07-27 17:00:00",0,1.519,781.7872,0.4
"2013-07-27 17:30:00",1,1.526,781.719,0
"2013-07-27 18:00:00",2,1.523,781.8317,0
"2013-07-27 18:30:00",3,1.529,781.6198,0
"2013-07-27 19:00:00",4,1.534,781.6198,0
"2013-07-27 19:30:00",5,1.531,781.4834,0
"2013-07-27 20:00:00",6,1.528,781.347,0
"2013-07-27 20:30:00",7,1.531,781.4834,0
"2013-07-27 21:00:00",8,1.53,781.4493,0
"2013-07-27 21:30:00",9,1.536,781.3532,0
"2013-07-27 22:00:00",10,1.539,781.4451,0
"2013-07-27 22:30:00",11,1.538,781.446,0
"2013-07-27 23:00:00",12,1.543,781.5825,0
"2013-07-27 23:30:00",13,1.54,781.7189,0
"2013-07-28 00:00:00",14,1.538,781.7189,0
"2013-07-28 00:30:00",15,1.536,781.7191,0
"2013-07-28 01:00:00",16,1.539,781.7873,0
"2013-07-28 01:30:00",17,1.537,781.7191,0
"2013-07-28 02:00:00",18,1.542,781.7873,0
"2013-07-28 02:30:00",19,1.544,781.7191,0
"2013-07-28 03:00:00",20,1.54,781.7873,0
"2013-07-28 03:30:00",21,1.54,781.9247,0
"2013-07-28 04:00:00",22,1.541,781.9247,0
"2013-07-28 04:30:00",23,1.543,781.6588,0.1
"2013-07-28 05:00:00",24,1.543,781.5424,0
"2013-07-28 05:30:00",25,1.54,781.5343,0
"2013-07-28 06:00:00",26,1.537,781.4512,0
"2013-07-28 06:30:00",27,1.542,781.425,0
"2013-07-28 07:00:00",28,1.541,781.5449,0
"2013-07-28 07:30:00",29,1.54,781.4429,0
"2013-07-28 08:00:00",30,1.541,781.4629,0
"2013-07-28 08:30:00",31,1.543,781.5491,0
"2013-07-28 09:00:00",32,1.549,781.5826,0
"2013-07-28 09:30:00",33,1.548,781.5571,0
"2013-07-28 10:00:00",34,1.542,781.5939,0
"2013-07-28 10:30:00",35,1.545,781.5944,0
"2013-07-28 11:00:00",36,1.539,781.6035,0
"2013-07-28 11:30:00",37,1.545,781.4526,0
"2013-07-28 12:00:00",38,1.55,781.5582,0
"2013-07-28 12:30:00",39,1.554,781.5475,0
"2013-07-28 13:00:00",40,1.558,781.4083,0
"2013-07-28 13:30:00",41,1.55,781.5578,0
"2013-07-28 14:00:00",42,1.557,781.558,0
"2013-07-28 14:30:00",43,1.563,781.4216,0
"2013-07-28 15:00:00",44,1.559,781.5584,0
"2013-07-28 15:30:00",45,1.57,781.402,0
"2013-07-28 16:00:00",46,1.575,781.4163,0
"2013-07-28 16:30:00",47,1.576,781.299,0
"2013-07-28 17:00:00",48,1.559,781.1796,0
"2013-07-28 17:30:00",49,1.563,781.1115,0
"2013-07-28 18:00:00",50,1.576,780.9489,0
"2013-07-28 18:30:00",51,1.574,780.9824,0
"2013-07-28 19:00:00",52,1.577,780.8387,0
"2013-07-28 19:30:00",53,1.583,780.8418,0
"2013-07-28 20:00:00",54,1.583,780.7329,0
"2013-07-28 20:30:00",55,1.586,780.7332,0
"2013-07-28 21:00:00",56,1.589,780.5967,0
"2013-07-28 21:30:00",57,1.593,780.5967,0
"2013-07-28 22:00:00",58,1.58,780.5967,0
"2013-07-28 22:30:00",59,1.589,780.5967,0
"2013-07-28 23:00:00",60,1.591,780.5967,0
"2013-07-28 23:30:00",61,1.589,780.4603,0
"2013-07-29 00:00:00",62,1.588,780.5967,0
"2013-07-29 00:30:00",63,1.585,780.5967,0
"2013-07-29 01:00:00",64,1.589,780.4743,0
"2013-07-29 01:30:00",65,1.584,780.3546,0
"2013-07-29 02:00:00",66,1.585,780.3555,0
"2013-07-29 02:30:00",67,1.584,780.3555,0
"2013-07-29 03:00:00",68,1.589,780.3572,0
"2013-07-29 03:30:00",69,1.592,780.368,0
"2013-07-29 04:00:00",70,1.586,780.3762,0
"2013-07-29 04:30:00",71,1.583,780.3651,0
"2013-07-29 05:00:00",72,1.593,780.3786,0
"2013-07-29 05:30:00",73,1.59,780.1125,0
"2013-07-29 06:00:00",74,1.582,779.9761,0
"2013-07-29 06:30:00",75,1.584,779.9761,0
"2013-07-29 07:00:00",76,1.586,779.896,0
"2013-07-29 07:30:00",77,1.587,779.9057,0
"2013-07-29 08:00:00",78,1.584,779.905,0
"2013-07-29 08:30:00",79,1.586,779.8797,0
"2013-07-29 09:00:00",80,1.584,779.9946,0
"2013-07-29 09:30:00",81,1.584,780.014,0
"2013-07-29 10:00:00",82,1.584,779.8842,0
"2013-07-29 10:30:00",83,1.585,779.8537,0
"2013-07-29 11:00:00",84,1.585,779.9197,0
"2013-07-29 11:30:00",85,1.584,780.0284,0
"2013-07-29 12:00:00",86,1.587,780.0273,0
"2013-07-29 12:30:00",87,1.59,779.891,0
"2013-07-29 13:00:00",88,1.593,780.0262,0
"2013-07-29 13:30:00",89,1.593,780.1345,0
"2013-07-29 14:00:00",90,1.606,780.133,0
"2013-07-29 14:30:00",91,1.607,780.1277,0
"2013-07-29 15:00:00",92,1.627,779.9946,0
"2013-07-29 15:30:00",93,1.606,779.9965,0
"2013-07-29 16:00:00",94,1.624,779.8551,0
"2013-07-29 16:30:00",95,1.63,779.8891,0
"2013-07-29 17:00:00",96,1.625,779.7152,0
"2013-07-29 17:30:00",97,1.619,779.6454,0
"2013-07-29 18:00:00",98,1.626,779.5025,0
"2013-07-29 18:30:00",99,1.62,779.4211,0
"2013-07-29 19:00:00",100,1.628,779.4193,0
"2013-07-29 19:30:00",101,1.635,779.2845,0
"2013-07-29 20:00:00",102,1.632,779.1616,0
"2013-07-29 20:30:00",103,1.634,779.11,0
"2013-07-29 21:00:00",104,1.63,779.1513,0
"2013-07-29 21:30:00",105,1.634,779.1029,0
"2013-07-29 22:00:00",106,1.633,779.2397,0
"2013-07-29 22:30:00",107,1.632,779.4014,0
"2013-07-29 23:00:00",108,1.633,779.4749,0
"2013-07-29 23:30:00",109,1.637,779.6222,0
"2013-07-30 00:00:00",110,1.634,779.6381,0
"2013-07-30 00:30:00",111,1.631,779.5737,0
"2013-07-30 01:00:00",112,1.635,779.7783,0
"2013-07-30 01:30:00",113,1.637,779.7442,0
"2013-07-30 02:00:00",114,1.634,779.8465,0
"2013-07-30 02:30:00",115,1.634,779.8484,0
"2013-07-30 03:00:00",116,1.638,779.9845,0
"2013-07-30 03:30:00",117,1.639,779.8466,0
"2013-07-30 04:00:00",118,1.639,779.8466,0
"2013-07-30 04:30:00",119,1.644,779.852,0
"2013-07-30 05:00:00",120,1.64,780.0128,0
