"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_27JULY2013 .CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2013-07-28 00:00:00",0,13.79,13.23,"2013-07-28 00:00:00",13.65,6.809,"2013-07-27 19:19:00",4.923,5.685
"2013-07-29 00:00:00",1,13.79,12.62,"2013-07-28 06:30:00",13.42,8.88,"2013-07-28 15:34:00",4.15,6.152
"2013-07-30 00:00:00",2,13.79,12.63,"2013-07-29 06:00:00",13.36,12.19,"2013-07-29 18:34:00",3.978,7.686
"2013-07-31 00:00:00",3,13.75,12.6,"2013-07-30 06:00:00",13.32,12.91,"2013-07-30 18:30:30",5.42,8.32
"2013-08-01 00:00:00",4,13.78,12.58,"2013-07-31 06:30:00",13.32,12.26,"2013-07-31 18:25:30",3.698,7.049
"2013-08-02 00:00:00",5,13.79,12.57,"2013-08-01 06:30:00",13.34,10.4,"2013-08-01 17:27:00",3.592,6.555
"2013-08-03 00:00:00",6,13.8,12.58,"2013-08-02 06:30:00",13.33,13.26,"2013-08-02 17:56:00",3.956,7.299
"2013-08-04 00:00:00",7,13.8,12.59,"2013-08-03 06:00:00",13.45,7.333,"2013-08-03 15:33:30",3.635,5.377
"2013-08-05 00:00:00",8,13.84,12.63,"2013-08-04 06:30:00",13.44,8.55,"2013-08-04 18:51:00",1.821,4.771
"2013-08-06 00:00:00",9,13.94,12.61,"2013-08-05 06:30:00",13.45,9.08,"2013-08-05 19:40:00",-0.244,3.535
"2013-08-07 00:00:00",10,13.91,12.57,"2013-08-06 06:30:00",13.37,11.18,"2013-08-06 18:53:00",0.415,4.636
"2013-08-08 00:00:00",11,13.88,12.57,"2013-08-07 06:30:00",13.4,8.46,"2013-08-07 14:42:30",1.394,4.556
"2013-08-09 00:00:00",12,13.87,12.6,"2013-08-08 07:00:00",13.47,6.439,"2013-08-08 18:03:30",1.48,3.616
"2013-08-10 00:00:00",13,13.92,12.6,"2013-08-09 06:30:00",13.46,6.809,"2013-08-09 15:33:30",-0.095,3.701
"2013-08-11 00:00:00",14,13.82,12.6,"2013-08-10 06:30:00",13.38,11.38,"2013-08-10 18:12:00",3.057,6.269
"2013-08-12 00:00:00",15,13.78,12.56,"2013-08-11 07:00:00",13.28,12.02,"2013-08-11 18:25:00",3.827,7.154
"2013-08-13 00:00:00",16,13.75,12.57,"2013-08-12 07:00:00",13.26,13.71,"2013-08-12 19:10:30",5.031,8.55
"2013-08-14 00:00:00",17,13.76,12.56,"2013-08-13 07:00:00",13.28,13.14,"2013-08-13 17:19:30",4.622,7.813
"2013-08-15 00:00:00",18,13.75,12.58,"2013-08-14 07:00:00",13.29,12.35,"2013-08-14 18:09:30",5.051,8.04
"2013-08-16 00:00:00",19,13.77,12.56,"2013-08-15 07:00:00",13.28,12.91,"2013-08-15 18:34:00",4.643,7.957
"2013-08-17 00:00:00",20,13.83,12.55,"2013-08-16 07:00:00",13.35,9.64,"2013-08-16 19:03:30",2.374,5.469
"2013-08-18 00:00:00",21,13.91,12.55,"2013-08-17 07:00:00",13.39,5.506,"2013-08-17 14:58:30",-0.755,2.11
"2013-08-19 00:00:00",22,13.93,12.53,"2013-08-18 07:30:00",13.42,4.299,"2013-08-18 16:00:30",-1.053,1.069
"2013-08-20 00:00:00",23,13.93,12.52,"2013-08-19 07:30:00",13.36,8.68,"2013-08-19 15:39:30",-1.5,2.253
"2013-08-21 00:00:00",24,14.06,12.57,"2013-08-20 07:00:00",13.51,6.524,"2013-08-20 12:32:30",-4.16,-0.05
"2013-08-22 00:00:00",25,13.96,12.59,"2013-08-21 07:30:00",13.49,3.87,"2013-08-21 17:59:30",-2.079,0.223
"2013-08-23 00:00:00",26,14.05,12.55,"2013-08-22 07:00:00",13.46,7.927,"2013-08-22 14:02:00",-4.397,0.709
"2013-08-24 00:00:00",27,13.96,12.56,"2013-08-23 07:00:00",13.47,3.764,"2013-08-23 14:34:00",-1.715,0.581
"2013-08-25 00:00:00",28,13.95,12.55,"2013-08-24 08:00:00",13.42,8.41,"2013-08-24 15:39:30",-1.652,1.414
"2013-08-26 00:00:00",29,14,12.52,"2013-08-25 07:30:00",13.39,10.04,"2013-08-25 14:21:30",-2.827,1.404
"2013-08-27 00:00:00",30,13.94,12.52,"2013-08-26 07:30:00",13.38,6.918,"2013-08-26 13:12:00",-2.013,1.713
"2013-08-28 00:00:00",31,13.99,12.53,"2013-08-27 07:00:00",13.4,11.91,"2013-08-27 18:14:00",-2.763,2.31
"2013-08-29 00:00:00",32,13.98,12.53,"2013-08-28 07:00:00",13.4,6.068,"2013-08-28 13:07:00",-2.162,1.635
"2013-08-30 00:00:00",33,14,12.52,"2013-08-29 07:30:00",13.38,6.396,"2013-08-29 18:03:00",-2.442,1.61
"2013-08-31 00:00:00",34,13.94,12.52,"2013-08-30 07:30:00",13.32,8.75,"2013-08-30 18:01:30",-1.609,2.861
"2013-09-01 00:00:00",35,13.88,12.53,"2013-08-31 07:30:00",13.34,3.42,"2013-08-31 15:34:30",1.138,2.006
"2013-09-02 00:00:00",36,13.91,12.53,"2013-09-01 08:00:00",13.39,3.334,"2013-09-01 18:02:00",-0.755,1.565
"2013-09-03 00:00:00",37,13.91,12.53,"2013-09-02 07:30:00",13.36,9.73,"2013-09-02 18:21:00",-1.159,3.518
"2013-09-04 00:00:00",38,13.91,12.55,"2013-09-03 08:00:00",13.39,5.291,"2013-09-03 01:52:00",0.946,2.973
