"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_30Jul2014 .CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2014-07-30 13:55:00",0,0.988,144.7,4.266,1.346,2.731,-99999,80.7,11.38497,516.0902,429.0551,337.4784,329.8366
"2014-07-30 14:00:00",1,0.812,164.5,7.368,1.245,1.929,-99999,85.5,10.32405,462.1531,373.5087,331.2538,330.6639
"2014-07-30 14:05:00",2,0,0,0,0,3.342,-99999,83.7,10.61207,447.0912,380.9418,330.6803,326.3221
"2014-07-30 14:10:00",3,0.246,221.3,29,0.483,4.773,-99999,73.5,11.40372,500.9207,419.7173,328.0869,326.5013
"2014-07-30 14:15:00",4,0.86,278.9,15.24,1.414,3.304,-99999,75.35,11.5175,529.4454,435.4843,324.1551,329.5316
"2014-07-30 14:20:00",5,0.531,315.2,5.879,0.862,2.637,-99999,80.8,10.83389,498.3588,411.4742,319.9967,329.1752
"2014-07-30 14:25:00",6,0.094,322.3,6.086,0.405,3.678,-99999,78.18,11.11645,497.2042,425.4828,319.2032,326.9756
"2014-07-30 14:30:00",7,0.047,302.6,0.541,0.235,4.462,-99999,73.34,11.66713,488.8963,417.028,318.3867,327.4579
"2014-07-30 14:35:00",8,0.466,21.63,19.64,0.647,4.716,-99999,72.81,12.08757,517.1162,433.6328,318.1712,328.0428
"2014-07-30 14:40:00",9,0.367,329.2,12.99,0.477,4.141,-99999,75.38,12.26052,499.8039,421.283,318.2109,328.1833
"2014-07-30 14:45:00",10,0.315,349,23.56,0.483,4.413,-99999,74.1,12.76674,564.0499,470.5948,316.4827,328.7
"2014-07-30 14:50:00",11,0.701,35.53,13.74,1.032,4.657,-99999,73.44,13.41709,656.7649,543.9647,314.6206,329.7259
"2014-07-30 14:55:00",12,1.303,37.01,10.6,1.604,3.578,-99999,77.56,12.81671,577.276,475.8255,311.5121,329.5891
"2014-07-30 15:00:00",13,0.865,115.7,20.48,1.267,2.978,-99999,81.2,11.99901,582.1697,476.519,308.8566,327.9694
"2014-07-30 15:05:00",14,0.883,148.2,8.21,1.228,2.844,-99999,82.6,11.92763,598.8486,479.5021,313.6444,327.7102
"2014-07-30 15:10:00",15,0.981,184.3,5.919,1.091,2.737,-99999,82.1,12.07977,552.5062,441.8959,318.6145,327.3129
"2014-07-30 15:15:00",16,0.556,209.8,3.414,0.709,2.586,-99999,82.3,12.28232,537.3146,429.8906,317.4186,327.1447
"2014-07-30 15:20:00",17,0.059,216.1,0.168,0.399,3.942,-99999,77.72,13.27429,554.5372,453.3121,317.5587,328.1976
"2014-07-30 15:25:00",18,0.258,23.33,4.246,0.539,5.53,-99999,71.01,14.47952,547.5397,453.9874,320.0087,329.9077
"2014-07-30 15:30:00",19,0.769,34.12,26.89,1.225,4.62,-99999,75.02,14.41778,465.2381,392.5227,321.7417,330.2708
"2014-07-30 15:35:00",20,0.406,21.96,26.48,0.8,3.78,-99999,78.7,13.83058,409.0136,341.3932,313.463,329.7795
"2014-07-30 15:40:00",21,0.888,98.6,13.3,1.127,3.036,-99999,82.3,12.72391,391.9074,315.4078,311.8608,328.4839
"2014-07-30 15:45:00",22,0.908,133.6,13.48,1.147,2.427,-99999,85.5,11.40002,360.5458,290.9334,313.8694,326.8475
"2014-07-30 15:50:00",23,0.588,129.4,8.85,0.97,2.278,-99999,86.7,10.58672,359.934,294.7002,307.6504,325.9351
"2014-07-30 15:55:00",24,0.722,320.9,52.12,1.356,2.645,-99999,84.2,10.49529,512.5459,431.089,300.2647,326.2321
"2014-07-30 16:00:00",25,2.101,326.5,11.48,2.973,2.834,-99999,81,10.35901,639.3503,540.5185,299.597,327.1866
"2014-07-30 16:05:00",26,1.883,264.5,30.88,2.835,2.223,-99999,83.4,9.636328,475.1353,406.9138,291.6269,325.6682
"2014-07-30 16:10:00",27,1.265,301.3,40.63,1.813,1.79,-99999,87,8.761182,442.2328,383.0634,290.691,325.0609
"2014-07-30 16:15:00",28,0.899,72.93,29.75,1.248,2.891,-99999,83.1,9.1332,625.9971,524.2487,294.7316,325.0259
"2014-07-30 16:20:00",29,0.39,142.7,48,0.885,4.697,-99999,76.15,11.44465,1031.218,834.6787,288.9068,326.4094
"2014-07-30 16:25:00",30,0.415,152.7,33.72,1.045,7.972,-99999,61.43,15.37355,1036.209,833.6343,295.494,330.1074
"2014-07-30 16:30:00",31,0.392,197.5,8,1.013,6.825,-99999,63.54,17.19147,639.8151,500.3944,306.2583,332.4296
"2014-07-30 16:35:00",32,0.078,332.8,18.86,0.265,7.563,-99999,61.06,17.78059,588.1233,461.3722,315.2577,333.1995
"2014-07-30 16:40:00",33,0.219,25.06,23.98,0.911,7.928,-99999,58.71,18.37899,596.7965,471.6859,317.7386,333.9658
"2014-07-30 16:45:00",34,0.703,78.92,6.121,1.045,6.631,-99999,65.01,18.10212,563.4028,444.0562,313.8084,334.2324
"2014-07-30 16:50:00",35,0.075,56.43,5.44,0.395,6.047,-99999,67.22,17.60843,513.837,398.9458,314.9074,333.4478
"2014-07-30 16:55:00",36,0.059,62.04,0.065,0.399,6.261,-99999,66.02,17.50161,452.9425,355.4222,316.6604,332.7025
"2014-07-30 17:00:00",37,0.488,95.6,16.26,1.558,6.449,-99999,65.22,17.33874,492.8628,392.4118,315.7596,332.6505
"2014-07-30 17:05:00",38,1.032,352.4,96,1.64,4.561,-99999,71.98,15.98336,603.6455,472.097,314.8708,332.5461
"2014-07-30 17:10:00",39,0.747,290.2,17.91,1.712,3.582,-99999,75.1,14.46589,469.7136,377.7159,311.3833,330.7811
"2014-07-30 17:15:00",40,1.663,306.6,76.52,2.924,3.679,-99999,75.13,13.31388,399.15,319.6906,299.4604,329.4413
"2014-07-30 17:20:00",41,1.158,259.5,27.98,2.038,2.295,-99999,82.5,10.94229,331.2737,267.9833,283.1123,327.3694
"2014-07-30 17:25:00",42,0.226,238.8,1.769,0.431,2.931,-99999,79.32,10.29877,380.0145,301.1771,288.7831,325.4956
"2014-07-30 17:30:00",43,0.302,196.5,23.58,0.448,4.011,-99999,73.27,10.70608,420.7704,333.2188,293.8291,325.5576
"2014-07-30 17:35:00",44,0.05,187.8,6.982,0.356,4.868,-99999,70.33,11.38134,394.8708,311.8127,296.7487,326.1384
"2014-07-30 17:40:00",45,0.005,10.99,0,0.052,5.947,-99999,66.17,12.62281,650.3569,523.9542,294.2327,328.042
"2014-07-30 17:45:00",46,0.142,314.3,5.935,0.461,7.674,-99999,57.64,14.79445,690.147,558.5663,289.7309,329.3509
"2014-07-30 17:50:00",47,0.138,329.7,2.198,0.379,8.09,-99999,56.94,16.40648,624.5856,507.3709,271.4474,331.6214
"2014-07-30 17:55:00",48,0,0,0,0,9.25,-99999,54.01,17.43208,524.9792,428.6097,266.6381,332.3521
"2014-07-30 18:00:00",49,0.068,331.1,0.05,0.307,8.76,-99999,53.8,17.00507,227.4783,195.673,267.0551,332.3817
"2014-07-30 18:05:00",50,0.24,345.2,5.119,0.415,6.363,-99999,63.96,15.68765,388.5213,317.1386,267.1533,331.6191
"2014-07-30 18:10:00",51,0.558,349.7,0.527,0.647,5.759,-99999,67.24,15.68337,674.2341,538.1395,267.888,332.0609
"2014-07-30 18:15:00",52,0.373,352.8,1.664,0.503,5.959,-99999,66.57,16.19562,447.8726,365.4769,263.9073,331.9333
"2014-07-30 18:20:00",53,0.399,353.2,0.362,0.516,4.772,-99999,71.68,15.22142,251.3054,209.3086,273.3565,331.2469
"2014-07-30 18:25:00",54,0.304,349.5,2.385,0.536,3.961,-99999,75.27,13.81531,232.7786,197.1326,272.0768,329.6782
"2014-07-30 18:30:00",55,0.548,10.62,5.033,0.781,3.476,-99999,77.83,12.36512,242.2327,200.3774,266.9443,327.95
"2014-07-30 18:35:00",56,1.069,17.48,4.641,1.199,3.577,-99999,77.9,11.65306,558.9288,445.4038,257.24,328.1004
"2014-07-30 18:40:00",57,1.243,11.03,3.756,1.33,3.369,-99999,78.63,11.06797,301.9195,245.3123,253.9497,326.9026
"2014-07-30 18:45:00",58,1.143,5.679,2.142,1.218,2.792,-99999,80.7,9.655767,246.2978,204.1264,251.7708,324.9698
"2014-07-30 18:50:00",59,0.71,1.929,0.487,1.058,2.751,-99999,79.96,8.515933,251.3838,204.4605,250.3973,323.207
"2014-07-30 18:55:00",60,0.277,350.9,3.215,0.493,2.689,-99999,79.21,7.647403,93.45107,88.3937,250.6569,321.3355
"2014-07-30 19:00:00",61,0.028,34.46,0.411,0.235,2.644,-99999,79.49,6.787741,123.8151,109.4454,253.2986,320.2398
"2014-07-30 19:05:00",62,0.333,38.75,5.35,0.428,2.807,-99999,78.68,6.160058,130.5947,112.9385,255.0245,319.3659
"2014-07-30 19:10:00",63,0.649,27.2,1.384,0.826,2.514,-99999,79.71,5.486511,148.4375,124.1246,256.784,319.021
"2014-07-30 19:15:00",64,0.337,24.5,3.343,0.399,2.731,-99999,78.8,5.318704,249.1063,200.1779,253.1749,318.7374
"2014-07-30 19:20:00",65,0.627,11.21,4.145,0.8,3.323,-99999,75.94,5.857504,284.4974,223.7677,251.3671,319.2192
"2014-07-30 19:25:00",66,0.854,0.953,6.206,0.915,3.188,-99999,76.2,6.115936,313.8045,244.8379,259.6654,320.2214
"2014-07-30 19:30:00",67,1.144,338.8,5.922,1.228,3.045,-99999,76.57,6.342649,238.8142,191.8922,266.3035,320.5299
"2014-07-30 19:35:00",68,1.247,331.2,3.502,1.467,2.136,-99999,81.3,5.497345,132.1346,110.9983,261.1041,318.3356
"2014-07-30 19:40:00",69,1.661,333.9,4.571,1.787,1.364,-99999,85.3,4.311615,138.0763,114.815,265.5694,317.653
"2014-07-30 19:45:00",70,1.423,338.6,5.002,1.61,1.35,-99999,86.6,3.616962,132.0282,108.3882,267.6562,317.119
"2014-07-30 19:50:00",71,1.44,337.6,5.385,1.708,1.409,-99999,86.8,3.222275,144.0712,114.388,272.7513,316.9631
"2014-07-30 19:55:00",72,0.854,2.001,13.02,1.463,1.973,-99999,85.2,3.438696,249.6086,174.9262,279.0707,318.0779
"2014-07-30 20:00:00",73,0.485,11.16,11.96,0.823,2.482,-99999,82.7,3.898419,149.3752,116.9102,274.0054,317.6594
"2014-07-30 20:05:00",74,0.322,22.19,3.498,0.49,2.578,-99999,81.8,3.938873,133.2585,103.4013,274.157,317.2351
"2014-07-30 20:10:00",75,0.595,356,19.38,1.009,2.457,-99999,82.4,3.942563,120.3436,94.46645,277.4313,317.2523
"2014-07-30 20:15:00",76,0.608,333.4,4.586,0.872,2.028,-99999,84.7,3.70419,92.11241,76.22063,269.2073,316.4125
"2014-07-30 20:20:00",77,0.939,342.2,3.563,1.323,1.83,-99999,86.1,3.360641,98.14748,79.58156,273.476,316.3849
"2014-07-30 20:25:00",78,0.803,355.6,4.652,1.075,1.763,-99999,87.3,3.105203,93.2934,77.77394,272.1319,316.3595
"2014-07-30 20:30:00",79,0.661,44.76,26.04,0.843,1.959,-99999,86.9,2.980737,111.5239,90.68259,275.034,316.4604
"2014-07-30 20:35:00",80,1.013,16.14,21,1.32,1.999,-99999,86.1,2.957581,98.04123,79.1945,275.6769,316.2722
"2014-07-30 20:40:00",81,1.099,1.09,1.237,1.238,1.784,-99999,87.3,2.849698,108.9556,84.16856,291.0589,317.3419
"2014-07-30 20:45:00",82,0.391,12.66,4.317,0.817,1.94,-99999,86.7,2.903201,108.6414,83.2325,297.9511,317.7902
"2014-07-30 20:50:00",83,0.098,15.84,23.66,0.252,2.207,-99999,85.2,3.118277,95.58617,74.31592,303.7871,318.392
"2014-07-30 20:55:00",84,0,0,0,0,2.375,-99999,84.4,3.279544,88.24807,68.47511,305.4323,318.6994
"2014-07-30 21:00:00",85,0.149,359.6,6.109,0.382,2.58,-99999,83,3.466397,82.96548,64.16048,298.2971,318.3576
"2014-07-30 21:05:00",86,0.253,12.22,6.096,0.323,2.319,-99999,84.3,3.482211,93.67809,70.94518,296.265,318.201
"2014-07-30 21:10:00",87,0.397,58.27,29.08,0.758,2.246,-99999,84.2,3.416708,79.08317,62.70238,290.7026,317.7706
"2014-07-30 21:15:00",88,0.855,41.98,27.2,1.267,1.939,-99999,84.5,3.145715,62.76997,51.53634,290.5173,317.4003
"2014-07-30 21:20:00",89,0.598,18.91,4.252,1.045,1.647,-99999,84.6,2.772064,52.03739,43.85951,287.7791,316.7376
"2014-07-30 21:25:00",90,0.072,13.54,3.166,0.33,1.711,-99999,83.8,2.54733,45.417,38.73429,287.1072,315.9776
"2014-07-30 21:30:00",91,0.541,358.3,6.408,0.791,1.637,-99999,83.9,2.322595,44.91994,37.20763,293.1961,315.9933
"2014-07-30 21:35:00",92,0.937,9.4,14.56,1.405,1.503,-99999,84.2,2.08988,40.03931,33.45634,296.467,316.1286
"2014-07-30 21:40:00",93,0.725,17.45,6.9,1.326,1.538,-99999,83.8,1.936002,37.32785,31.3626,300.1924,316.2134
"2014-07-30 21:45:00",94,0.745,10.02,7.165,1.356,1.481,-99999,83.9,1.881244,38.45763,31.34079,307.2487,317.0762
"2014-07-30 21:50:00",95,0.54,13.68,1.591,1.006,1.505,-99999,83.4,1.846545,35.47502,28.78903,308.9933,317.2993
