"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_30Jul2014 .CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2014-07-30 14:00:00",0,0.809,775.1575,0.6
"2014-07-30 14:30:00",1,0.817,775.3535,3
"2014-07-30 15:00:00",2,0.825,775.601,2.2
"2014-07-30 15:30:00",3,0.828,775.7332,1.3
"2014-07-30 16:00:00",4,0.836,775.9373,0
"2014-07-30 16:30:00",5,0.838,775.9504,0
"2014-07-30 17:00:00",6,0.849,776.1811,0
"2014-07-30 17:30:00",7,0.854,776.465,0
"2014-07-30 18:00:00",8,0.863,776.6005,0
"2014-07-30 18:30:00",9,0.87,776.7252,0
"2014-07-30 19:00:00",10,0.875,776.8992,0
"2014-07-30 19:30:00",11,0.88,777.0389,0
"2014-07-30 20:00:00",12,0.882,777.1415,0
"2014-07-30 20:30:00",13,0.884,777.2881,0
"2014-07-30 21:00:00",14,0.888,777.3835,0
"2014-07-30 21:30:00",15,0.889,777.6479,0
"2014-07-30 22:00:00",16,0.891,777.6367,0
"2014-07-30 22:30:00",17,0.893,777.9218,0
"2014-07-30 23:00:00",18,0.895,778.1266,0
"2014-07-30 23:30:00",19,0.895,778.361,0
"2014-07-31 00:00:00",20,0.895,778.4983,0
"2014-07-31 00:30:00",21,0.897,778.4983,0
"2014-07-31 01:00:00",22,0.898,778.7061,0
"2014-07-31 01:30:00",23,0.897,778.8512,0
"2014-07-31 02:00:00",24,0.896,778.8701,0
"2014-07-31 02:30:00",25,0.897,778.7123,0
"2014-07-31 03:00:00",26,0.896,778.9824,0
"2014-07-31 03:30:00",27,0.895,778.8455,0
"2014-07-31 04:00:00",28,0.898,778.8436,0
"2014-07-31 04:30:00",29,0.904,778.9589,0
"2014-07-31 05:00:00",30,0.899,778.8784,0
"2014-07-31 05:30:00",31,0.906,778.9664,0
"2014-07-31 06:00:00",32,0.904,778.9006,0
"2014-07-31 06:30:00",33,0.902,778.9689,0
"2014-07-31 07:00:00",34,0.906,778.9006,0
"2014-07-31 07:30:00",35,0.905,778.9689,0
"2014-07-31 08:00:00",36,0.904,779.1055,0
"2014-07-31 08:30:00",37,0.903,779.2421,0
"2014-07-31 09:00:00",38,0.909,779.215,0
"2014-07-31 09:30:00",39,0.906,779.1832,0
"2014-07-31 10:00:00",40,0.905,779.3547,0
"2014-07-31 10:30:00",41,0.905,779.3848,0
"2014-07-31 11:00:00",42,0.904,779.4713,0
"2014-07-31 11:30:00",43,0.899,779.6208,0
"2014-07-31 12:00:00",44,0.897,779.7652,0
"2014-07-31 12:30:00",45,0.899,779.8672,0
"2014-07-31 13:00:00",46,0.902,779.9053,0
"2014-07-31 13:30:00",47,0.905,779.8539,0
"2014-07-31 14:00:00",48,0.896,780.0084,0
"2014-07-31 14:30:00",49,0.893,780.0256,0
"2014-07-31 15:00:00",50,0.896,779.959,0
"2014-07-31 15:30:00",51,0.897,779.9885,0
"2014-07-31 16:00:00",52,0.896,779.8157,0
"2014-07-31 16:30:00",53,0.897,779.7408,0
"2014-07-31 17:00:00",54,0.897,779.7648,0
"2014-07-31 17:30:00",55,0.891,779.611,0
"2014-07-31 18:00:00",56,0.898,779.6031,0
"2014-07-31 18:30:00",57,0.899,779.479,0
"2014-07-31 19:00:00",58,0.9,779.4547,0
"2014-07-31 19:30:00",59,0.905,779.4066,0
"2014-07-31 20:00:00",60,0.907,779.3524,0
"2014-07-31 20:30:00",61,0.91,779.254,0
"2014-07-31 21:00:00",62,0.909,779.2232,0
"2014-07-31 21:30:00",63,0.912,779.2485,0
"2014-07-31 22:00:00",64,0.912,779.2728,0
"2014-07-31 22:30:00",65,0.912,779.2834,0
"2014-07-31 23:00:00",66,0.913,779.3549,0
"2014-07-31 23:30:00",67,0.914,779.355,0
"2014-08-01 00:00:00",68,0.914,779.3846,0
"2014-08-01 00:30:00",69,0.914,779.4539,0
"2014-08-01 01:00:00",70,0.913,779.4539,0
"2014-08-01 01:30:00",71,0.914,779.4579,0
"2014-08-01 02:00:00",72,0.917,779.4556,0
"2014-08-01 02:30:00",73,0.917,779.3372,0
"2014-08-01 03:00:00",74,0.916,779.348,0
"2014-08-01 03:30:00",75,0.917,779.075,0
"2014-08-01 04:00:00",76,0.917,778.8704,0
"2014-08-01 04:30:00",77,0.915,778.7543,0
"2014-08-01 05:00:00",78,0.918,778.729,0
"2014-08-01 05:30:00",79,0.917,778.6243,0
"2014-08-01 06:00:00",80,0.916,778.4211,0
"2014-08-01 06:30:00",81,0.918,778.4227,0
"2014-08-01 07:00:00",82,0.917,778.4225,0
"2014-08-01 07:30:00",83,0.918,778.3945,0
"2014-08-01 08:00:00",84,0.919,778.3923,0
"2014-08-01 08:30:00",85,0.918,778.1068,0
"2014-08-01 09:00:00",86,0.913,778.1468,0
"2014-08-01 09:30:00",87,0.913,778.038,0
"2014-08-01 10:00:00",88,0.912,777.9009,0
"2014-08-01 10:30:00",89,0.911,777.7665,0
"2014-08-01 11:00:00",90,0.911,777.6667,0
"2014-08-01 11:30:00",91,0.91,777.5021,0
"2014-08-01 12:00:00",92,0.91,777.538,0
"2014-08-01 12:30:00",93,0.909,777.4375,0
"2014-08-01 13:00:00",94,0.907,777.2991,0
"2014-08-01 13:30:00",95,0.91,777.2028,0
"2014-08-01 14:00:00",96,0.906,777.2023,0
"2014-08-01 14:30:00",97,0.911,777.2296,0
"2014-08-01 15:00:00",98,0.914,777.0967,0
"2014-08-01 15:30:00",99,0.924,777.054,0
"2014-08-01 16:00:00",100,0.921,776.9537,0
"2014-08-01 16:30:00",101,0.924,776.725,0
"2014-08-01 17:00:00",102,0.928,776.5888,0
"2014-08-01 17:30:00",103,0.933,776.5888,0
"2014-08-01 18:00:00",104,0.934,776.4525,0
"2014-08-01 18:30:00",105,0.946,776.3186,0
"2014-08-01 19:00:00",106,0.949,776.2118,0
"2014-08-01 19:30:00",107,0.949,776.205,0
"2014-08-01 20:00:00",108,0.949,776.1904,0
"2014-08-01 20:30:00",109,0.953,776.0262,0
"2014-08-01 21:00:00",110,0.95,776.0579,0
"2014-08-01 21:30:00",111,0.952,776.1554,0
"2014-08-01 22:00:00",112,0.953,776.0562,0
"2014-08-01 22:30:00",113,0.955,776.0749,0
"2014-08-01 23:00:00",114,0.958,776.1473,0
"2014-08-01 23:30:00",115,0.96,776.0603,0
"2014-08-02 00:00:00",116,0.962,776.0409,0
"2014-08-02 00:30:00",117,0.96,775.9102,0
"2014-08-02 01:00:00",118,0.961,775.9047,0
"2014-08-02 01:30:00",119,0.962,775.7687,0
"2014-08-02 02:00:00",120,0.961,775.6523,0
