"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_30Jul2014 .CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2014-07-31 00:00:00",0,13.85,13.32,"2014-07-31 00:00:00",13.68,10.54,"2014-07-30 16:59:30",0.82,6.402
"2014-08-01 00:00:00",1,13.97,12.62,"2014-07-31 06:30:00",13.5,11.2,"2014-07-31 13:01:30",-1.096,3.647
"2014-08-02 00:00:00",2,13.94,12.62,"2014-08-01 06:30:00",13.45,11.56,"2014-08-01 14:39:30",-0.904,4.407
"2014-08-03 00:00:00",3,13.92,12.58,"2014-08-02 06:30:00",13.41,12.44,"2014-08-02 16:34:00",-0.373,5.359
"2014-08-04 00:00:00",4,13.8,12.58,"2014-08-03 06:30:00",13.44,8.77,"2014-08-03 14:13:30",2.844,5.333
"2014-08-05 00:00:00",5,13.9,12.55,"2014-08-04 07:00:00",13.45,5.68,"2014-08-04 14:55:00",0.309,2.73
"2014-08-06 00:00:00",6,14,12.55,"2014-08-05 07:00:00",13.48,6.287,"2014-08-05 13:06:30",-2.526,1.524
"2014-08-07 00:00:00",7,14.02,12.56,"2014-08-06 07:00:00",13.52,5.334,"2014-08-06 12:43:30",-3.579,0.641
"2014-08-08 00:00:00",8,14.05,12.61,"2014-08-07 06:30:00",13.49,6.963,"2014-08-07 12:45:30",-4.202,0.521
"2014-08-09 00:00:00",9,14,12.55,"2014-08-08 06:30:00",13.52,3.956,"2014-08-08 13:55:00",-3.965,0.134
"2014-08-10 00:00:00",10,13.94,12.56,"2014-08-09 07:00:00",13.48,6.656,"2014-08-09 15:06:00",-0.585,1.808
"2014-08-11 00:00:00",11,13.92,12.58,"2014-08-10 06:30:00",13.45,6.744,"2014-08-10 13:40:00",-0.032,2.728
"2014-08-12 00:00:00",12,13.9,12.54,"2014-08-11 06:30:00",13.43,7.311,"2014-08-11 14:46:30",0.501,3.376
"2014-08-13 00:00:00",13,13.92,12.53,"2014-08-12 06:30:00",13.48,6.351,"2014-08-12 13:08:30",-0.181,2.308
"2014-08-14 00:00:00",14,13.92,12.58,"2014-08-13 07:00:00",13.48,5.291,"2014-08-13 16:45:30",-1.139,2.011
"2014-08-15 00:00:00",15,13.89,12.53,"2014-08-14 07:30:00",13.46,3.807,"2014-08-14 15:06:00",1.075,2.205
"2014-08-16 00:00:00",16,13.92,12.52,"2014-08-15 07:00:00",13.46,6.265,"2014-08-15 14:02:00",-0.841,2.007
"2014-08-17 00:00:00",17,13.99,12.53,"2014-08-16 06:30:00",13.51,2.971,"2014-08-16 17:05:30",-2.42,0.264
"2014-08-18 00:00:00",18,13.91,12.53,"2014-08-17 07:30:00",13.44,4.945,"2014-08-17 16:29:30",0.287,1.899
"2014-08-19 00:00:00",19,13.96,12.51,"2014-08-18 07:00:00",13.42,5.051,"2014-08-18 14:12:00",-0.82,1.918
"2014-08-20 00:00:00",20,13.94,12.52,"2014-08-19 07:00:00",13.46,7.927,"2014-08-19 17:30:30",-0.904,2.021
"2014-08-21 00:00:00",21,13.95,12.51,"2014-08-20 07:00:00",13.43,9.39,"2014-08-20 14:39:00",-1.119,2.494
"2014-08-22 00:00:00",22,13.95,12.52,"2014-08-21 07:00:00",13.39,8.5,"2014-08-21 15:58:30",-1.225,2.992
"2014-08-23 00:00:00",23,13.9,12.51,"2014-08-22 07:30:00",13.4,7.641,"2014-08-22 15:35:30",-0.095,2.888
"2014-08-24 00:00:00",24,13.91,12.53,"2014-08-23 07:30:00",13.4,7.95,"2014-08-23 15:57:00",0.479,2.908
"2014-08-25 00:00:00",25,13.92,12.51,"2014-08-24 07:30:00",13.42,3.807,"2014-08-24 18:45:00",0.074,1.591
"2014-08-26 00:00:00",26,13.95,12.53,"2014-08-25 07:30:00",13.44,3.913,"2014-08-25 13:22:00",-2.056,2.045
"2014-08-27 00:00:00",27,14,12.52,"2014-08-26 07:30:00",13.45,7.29,"2014-08-26 15:11:30",-2.549,0.819
"2014-08-28 00:00:00",28,14.03,12.48,"2014-08-27 07:30:00",13.4,4.945,"2014-08-27 12:04:30",-4.074,-0.412
"2014-08-29 00:00:00",29,13.99,12.49,"2014-08-28 07:30:00",13.45,2.758,"2014-08-28 14:15:00",-3.579,-0.61
"2014-08-30 00:00:00",30,14.03,12.48,"2014-08-29 07:30:00",13.42,9.17,"2014-08-29 15:35:30",-3.794,1.055
"2014-08-31 00:00:00",31,14.06,12.48,"2014-08-30 07:30:00",13.4,8.48,"2014-08-30 13:07:30",-4.333,0.441
"2014-09-01 00:00:00",32,14.03,12.48,"2014-08-31 07:30:00",13.46,5.463,"2014-08-31 12:37:30",-4.333,-0.691
"2014-09-02 00:00:00",33,14.09,12.48,"2014-09-01 07:30:00",13.47,2.587,"2014-09-01 15:53:00",-5.569,-2.424
"2014-09-03 00:00:00",34,14.03,12.48,"2014-09-02 07:30:00",13.39,8.08,"2014-09-02 15:06:30",-5.483,0.188
"2014-09-04 00:00:00",35,13.97,12.48,"2014-09-03 07:30:00",13.41,3.549,"2014-09-03 16:55:30",-2.655,0.009
"2014-09-05 00:00:00",36,14.08,12.48,"2014-09-04 07:30:00",13.43,2.652,"2014-09-04 14:36:30",-5.483,-1.154
"2014-09-06 00:00:00",37,13.92,12.51,"2014-09-05 08:00:00",13.37,2.033,"2014-09-05 12:20:00",-0.201,1.052
