"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_Sept2014 .CR1","56239","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg","cnr4_T_C_Avg","short_up_Avg","short_dn_Avg","long_up_corr_Avg","long_dn_corr_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%","deg_C","W/m^2","W/m^2","W/m^2","W/m^2"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2015-07-18 15:20:00",0,0.62,239.1,51.9,1.055,4.665,-99999,51,9.18378,823.5092,182.928,249.7135,327.9349
"2015-07-18 15:25:00",1,0.766,183.4,27.54,1.8,4.978,-99999,50.5,9.867724,820.3213,180.3116,250.4767,328.6182
"2015-07-18 15:30:00",2,1.851,188.2,17.11,4.038,4.753,-99999,51.28,10.05112,833.3781,176.9515,251.303,330.2189
"2015-07-18 15:35:00",3,2.395,175.9,11.97,3.048,3.98,-99999,56.86,9.41229,858.3043,174.6535,253.393,334.4759
"2015-07-18 15:40:00",4,1.553,183.8,54.1,2.986,4.009,-99999,54.04,9.122235,838.2372,174.3837,250.7237,333.7285
"2015-07-18 15:45:00",5,1.029,199.6,55.06,1.718,4.799,-99999,50.86,9.866877,819.2715,167.8412,249.6975,338.9367
"2015-07-18 15:50:00",6,0.893,185.5,25.27,1.748,4.631,-99999,51.56,10.4584,813.9991,167.9694,251.317,330.7428
"2015-07-18 15:55:00",7,1.46,185.6,18.19,2.016,4.86,-99999,49.82,10.59351,811.3289,171.8688,251.5406,328.3904
"2015-07-18 16:00:00",8,1.487,178.4,40.7,2.63,4.644,-99999,50.36,10.31322,806.5399,171.3888,251.2428,327.4041
"2015-07-18 16:05:00",9,1.979,203.4,16.19,3.293,4.238,-99999,51.4,9.677747,805.026,169.2966,251.2688,324.1718
"2015-07-18 16:10:00",10,0.797,187.9,16.78,2.394,5.078,-99999,49.67,9.92572,800.194,171.2359,250.3583,323.8233
"2015-07-18 16:15:00",11,2.756,197.9,15.26,4.586,4.373,-99999,52.17,9.592062,793.3758,169.1221,250.7905,324.1966
"2015-07-18 16:20:00",12,1.236,177.2,17.73,2.3,4.265,-99999,52.49,9.059387,787.0995,169.5797,249.4165,323.3651
"2015-07-18 16:25:00",13,1.905,181.2,19.8,3.188,4.414,-99999,52.29,9.167685,781.5458,169.4925,249.691,323.4927
"2015-07-18 16:30:00",14,0.823,163.3,11.21,1.477,4.314,-99999,55.02,9.098203,774.9261,168.5594,249.0558,323.0986
"2015-07-18 16:35:00",15,0.234,137.6,15.43,0.905,4.876,-99999,51.69,9.65122,767.6458,168.8285,249.1399,323.493
"2015-07-18 16:40:00",16,0.367,336.1,79.93,0.866,5.528,-99999,48.33,10.52072,758.8517,168.4001,250.2383,324.3395
"2015-07-18 16:45:00",17,0.862,316.4,89.8,1.463,5.333,-99999,47.42,10.82408,751.0381,166.2036,251.2907,325.1377
"2015-07-18 16:50:00",18,1.458,125,68.52,2.453,5.191,-99999,50.33,10.70321,743.5077,165.0728,251.8539,325.1284
"2015-07-18 16:55:00",19,1.666,185.7,10.5,2.927,4.41,-99999,53.73,10.04377,740.0362,162.328,251.3443,324.424
"2015-07-18 17:00:00",20,3.098,189.5,14.9,4.051,4.084,-99999,54.25,9.041269,736.0422,163.5709,250.8584,323.9655
"2015-07-18 17:05:00",21,1.585,195.4,34.95,3.9,4.184,-99999,55.52,8.726974,725.5663,163.2878,249.4941,322.9426
"2015-07-18 17:10:00",22,1.681,178.3,14.77,2.345,4.194,-99999,54.87,8.454971,721.6378,163.1136,249.6239,322.9539
"2015-07-18 17:15:00",23,1.816,181.6,28.34,3.218,4.266,-99999,53.46,8.456787,714.2318,162.5687,249.8715,322.8085
"2015-07-18 17:20:00",24,0.394,187.7,51.16,1.071,4.826,-99999,51.06,8.685046,702.5128,160.7816,249.0435,322.8077
"2015-07-18 17:25:00",25,0.139,202.3,26.65,0.529,5.869,-99999,47.3,9.458612,692.3969,159.2123,249.5714,323.1201
"2015-07-18 17:30:00",26,0.761,262.4,48.69,1.022,5.89,-99999,47.81,9.983752,681.2197,157.0982,250.9149,323.9211
"2015-07-18 17:35:00",27,1.511,188.5,27.51,2.143,5.333,-99999,48.04,9.955423,674.1069,153.6546,251.246,324.1232
"2015-07-18 17:40:00",28,1.17,184.9,32.76,1.797,4.916,-99999,52.04,9.634558,665.7748,151.3661,250.9087,323.8272
"2015-07-18 17:45:00",29,0.731,166,56.79,2.022,5.032,-99999,50.07,9.52247,655.8396,150.5379,250.8505,323.7935
"2015-07-18 17:50:00",30,0.222,223.4,42.56,1.016,5.773,-99999,48.94,9.843219,645.4528,149.4264,250.4706,323.7783
"2015-07-18 17:55:00",31,0.337,346.2,50.63,0.539,6.145,-99999,47.72,10.28979,634.3885,148.7507,250.7053,324.4559
"2015-07-18 18:00:00",32,1.067,205.8,26.29,1.761,5.69,-99999,49.37,10.37947,625.6725,144.5879,251.5263,324.3784
"2015-07-18 18:05:00",33,0.944,173.7,14.75,1.156,5.186,-99999,50.62,10.08364,616.7083,141.7545,250.9528,324.2038
"2015-07-18 18:10:00",34,0.14,355,73.1,0.614,5.672,-99999,48.41,10.1546,606.1407,141.8417,250.6433,324.4151
"2015-07-18 18:15:00",35,0.767,18.05,93.2,2.3,5.959,-99999,47.46,10.43075,595.3023,140.4032,251.1954,324.6434
"2015-07-18 18:20:00",36,0.606,354.5,54.66,1.911,5.566,-99999,49.94,10.0384,584.8477,138.725,250.8785,324.6275
"2015-07-18 18:25:00",37,0.449,310,33.94,1.183,6.087,-99999,46.27,10.1934,574.5963,138.3763,250.883,324.306
"2015-07-18 18:30:00",38,1.261,4.043,4.87,1.48,5.74,-99999,49.06,10.1353,562.8998,135.8917,251.0602,324.9338
"2015-07-18 18:35:00",39,0.946,352.5,23.52,1.238,5.18,-99999,52.79,9.804248,551.6324,134.3007,250.866,324.3505
"2015-07-18 18:40:00",40,1.28,342.6,16.36,2.048,4.784,-99999,56.77,9.290518,541.7648,133.2545,250.6177,324.0369
"2015-07-18 18:45:00",41,0.936,1.142,15.22,1.539,4.628,-99999,56.41,8.983813,530.5425,131.3583,250.125,323.6307
"2015-07-18 18:50:00",42,0.998,355.8,18.31,1.333,4.904,-99999,55.08,8.889722,520.9234,129.9853,249.9241,323.6927
"2015-07-18 18:55:00",43,0.601,354.1,9.86,0.889,5.184,-99999,53.05,8.970438,509.3624,128.1981,249.6993,323.7171
"2015-07-18 19:00:00",44,1.634,343,7.864,2.303,4.977,-99999,54.2,8.862409,497.7336,125.5391,250.6597,323.902
"2015-07-18 19:05:00",45,1.939,353.5,4.521,2.313,4.34,-99999,60.83,8.173508,486.0864,123.3171,249.7896,323.4631
"2015-07-18 19:10:00",46,1.737,358.3,5.493,1.921,3.856,-99999,63.03,7.588464,474.662,121.4269,248.9841,322.7956
"2015-07-18 19:15:00",47,1.431,7.54,7.279,1.601,4.291,-99999,57.9,7.454593,464.3877,120.1905,249.0224,322.5862
"2015-07-18 19:20:00",48,1.584,349.9,5.458,1.767,4.297,-99999,58.93,7.298532,452.5456,117.8617,248.7943,322.5768
"2015-07-18 19:25:00",49,1.635,7.355,6.688,2.081,4.586,-99999,54.59,7.248749,442.0067,116.2071,248.7819,322.4819
"2015-07-18 19:30:00",50,1.34,55.3,23.17,2.332,4.888,-99999,52.08,7.234479,431.4638,113.3306,248.7892,322.2944
"2015-07-18 19:35:00",51,1.113,53.77,41.14,1.578,4.972,-99999,53.58,7.198804,419.767,110.8024,248.531,322.1933
"2015-07-18 19:40:00",52,0.57,16.1,39.28,1.022,5.301,-99999,49.91,7.383545,407.2789,108.0778,248.2235,322.1902
"2015-07-18 19:45:00",53,0.465,351.6,16.53,0.905,5.552,-99999,49.37,7.686999,393.2772,105.1133,248.1161,322.5912
"2015-07-18 19:50:00",54,0.976,345.6,17.66,1.526,5.663,-99999,49.53,7.875955,380.7884,102.0397,248.629,322.8069
"2015-07-18 19:55:00",55,1.449,350.4,16.4,1.823,5.127,-99999,50.6,7.637774,369.406,98.7263,248.9815,322.7305
"2015-07-18 20:00:00",56,1.336,1.524,7.837,2.136,4.983,-99999,51.72,7.426236,357.5269,95.91426,248.6356,322.481
"2015-07-18 20:05:00",57,2.265,3.83,2.628,2.643,4.52,-99999,56.68,7.026462,345.8058,92.64445,248.6645,322.2997
"2015-07-18 20:10:00",58,2.306,1.043,1.032,2.528,4.063,-99999,57.79,6.402399,335.4172,89.98502,248.3828,321.5543
"2015-07-18 20:15:00",59,1.636,354.4,8.08,2.153,4.168,-99999,57.78,6.063049,276.8569,70.40979,247.4193,320.7258
"2015-07-18 20:20:00",60,2.3,359.2,3.352,2.688,3.383,-99999,62.45,5.139465,38.03141,9.983803,246.3033,320.3664
"2015-07-18 20:25:00",61,1.552,12.2,7.241,2.078,3.498,-99999,55.5,4.151996,38.4605,12.86123,245.5517,318.6535
"2015-07-18 20:30:00",62,0.902,20.78,11,1.183,4.088,-99999,52.26,3.694485,39.43193,14.45265,245.0916,317.7983
"2015-07-18 20:35:00",63,1.277,3.437,9.22,1.578,4.071,-99999,53.44,3.342191,38.73368,14.38794,244.3886,316.8011
"2015-07-18 20:40:00",64,1.59,359.8,1.912,1.718,3.942,-99999,53.57,3.10567,38.53246,14.34511,244.3244,316.3248
"2015-07-18 20:45:00",65,1.879,359.9,1.841,2.247,3.85,-99999,54.7,2.910565,37.94758,14.10617,244.4203,315.6625
"2015-07-18 20:50:00",66,2.311,359,2.251,2.492,3.506,-99999,57.27,2.696817,37.13628,13.51819,244.3512,315.3776
"2015-07-18 20:55:00",67,2.134,359.6,2.112,2.47,3.228,-99999,58.6,2.49072,38.22176,13.47501,245.1571,314.9771
"2015-07-18 21:00:00",68,1.151,9.78,8.47,1.777,3.649,-99999,53.87,2.404629,38.44896,14.28225,245.7788,314.6451
"2015-07-18 21:05:00",69,1.356,349.7,9.06,1.555,3.55,-99999,58.18,2.345114,35.31057,13.43249,244.6182,314.5169
"2015-07-18 21:10:00",70,0.929,1.429,14.47,1.284,3.298,-99999,56.37,2.159262,35.74206,13.56419,245.0443,314.1382
"2015-07-18 21:15:00",71,0.69,26.77,8.18,0.856,3.726,-99999,53.47,2.152426,37.687,14.39361,246.6376,314.1052
"2015-07-18 21:20:00",72,0.599,11.2,11.7,1.134,3.911,-99999,53.57,2.103854,36.78436,14.15415,246.8427,313.8751
"2015-07-18 21:25:00",73,1.156,358.1,3.461,1.303,3.592,-99999,55.93,2.071964,39.04451,14.00172,247.4061,313.7241
"2015-07-18 21:30:00",74,1.401,355.9,5.771,1.643,3.401,-99999,57.16,2.059512,40.94285,14.1327,247.4261,313.6651
"2015-07-18 21:35:00",75,1.75,353.7,3.784,1.888,3.001,-99999,60.09,1.977286,41.91462,13.71837,249.2635,313.8952
"2015-07-18 21:40:00",76,1.522,1.183,3.041,1.705,3.181,-99999,57.45,1.998016,50.6366,15.61586,253.4957,314.1477
"2015-07-18 21:45:00",77,1.839,5.274,1.698,2.156,3.563,-99999,55.96,2.093765,53.68827,16.24873,256.5705,314.1362
"2015-07-18 21:50:00",78,1.853,0.678,0.612,2.11,3.65,-99999,54.94,2.235919,50.66177,15.52941,254.7765,314.4219
"2015-07-18 21:55:00",79,1.43,7.972,4.295,1.597,3.904,-99999,53.29,2.347272,43.74903,14.33042,251.8025,314.1372
"2015-07-18 22:00:00",80,2.136,2.757,3.375,2.257,3.559,-99999,56.83,2.318985,35.52477,11.95335,249.3993,313.9639
"2015-07-18 22:05:00",81,1.941,0.961,37.99,2.127,3.616,-99999,54.96,2.297189,34.35037,11.90997,248.9366,314.0149
"2015-07-18 22:10:00",82,1.34,11.87,4.089,1.575,3.789,-99999,54.38,2.305911,39.43557,13.21891,252.3567,314.0175
"2015-07-18 22:15:00",83,1.241,22.62,2.503,1.303,3.895,-99999,53.85,2.38147,41.85392,13.67706,255.4185,314.4145
"2015-07-18 22:20:00",84,1.397,5.528,5.625,1.46,3.947,-99999,54.17,2.479559,47.36889,14.57164,260.1771,314.8411
"2015-07-18 22:25:00",85,1.28,356.8,3.661,1.392,3.837,-99999,55.34,2.545676,43.52876,12.95796,265.2599,315.1934
"2015-07-18 22:30:00",86,1.506,4.361,5.564,1.852,3.505,-99999,59.01,2.485953,33.94765,10.2534,262.3091,314.9091
"2015-07-18 22:35:00",87,1.403,2.444,7.368,1.8,3.376,-99999,57.09,2.290686,27.2811,9.119291,256.4892,314.2529
"2015-07-18 22:40:00",88,1.51,358.5,8.63,1.787,3.399,-99999,59.17,2.273596,27.21383,8.814032,257.9578,314.1331
"2015-07-18 22:45:00",89,1.622,0.662,8.2,1.855,2.762,-99999,63.95,2.059631,26.19695,7.635994,261.0009,314.1261
"2015-07-18 22:50:00",90,1.886,358.6,2.78,2.133,2.919,-99999,59.42,1.9048,20.07162,6.850613,256.7297,314.0133
"2015-07-18 22:55:00",91,1.589,357,6.157,2.055,3.681,-99999,55.46,2.025421,17.38189,6.894263,256.9811,313.7707
"2015-07-18 23:00:00",92,1.854,355.9,3.665,1.996,3.692,-99999,55.68,2.154077,16.04831,6.065213,260.1743,314.1084
"2015-07-18 23:05:00",93,1.789,356.4,6.252,1.94,3.653,-99999,56.29,2.23949,12.77085,5.148888,263.0443,314.4741
"2015-07-18 23:10:00",94,1.858,4.821,2.165,2.038,3.691,-99999,55.77,2.290649,10.51052,4.31983,267.9792,314.7551
