"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_Sept2014 .CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2015-07-18 15:30:00",0,1.036,774.0458,0
"2015-07-18 16:00:00",1,1.042,774.1266,0
"2015-07-18 16:30:00",2,1.043,774.2886,0
"2015-07-18 17:00:00",3,1.049,774.3609,0
"2015-07-18 17:30:00",4,1.069,774.3896,0
"2015-07-18 18:00:00",5,1.067,774.3898,0
"2015-07-18 18:30:00",6,1.068,774.2537,0
"2015-07-18 19:00:00",7,1.071,774.254,0
"2015-07-18 19:30:00",8,1.076,774.3904,0
"2015-07-18 20:00:00",9,1.078,774.391,0
"2015-07-18 20:30:00",10,1.081,774.276,0
"2015-07-18 21:00:00",11,1.082,774.2408,0
"2015-07-18 21:30:00",12,1.078,774.3477,0
"2015-07-18 22:00:00",13,1.082,774.3666,0
"2015-07-18 22:30:00",14,1.082,774.6459,0
"2015-07-18 23:00:00",15,1.081,774.6118,0
"2015-07-18 23:30:00",16,1.081,774.6497,0
"2015-07-19 00:00:00",17,1.08,774.8636,0
"2015-07-19 00:30:00",18,1.081,774.7148,0
"2015-07-19 01:00:00",19,1.08,774.7142,0
"2015-07-19 01:30:00",20,1.08,774.8508,0
"2015-07-19 02:00:00",21,1.074,774.7202,0
"2015-07-19 02:30:00",22,1.078,774.7219,0
"2015-07-19 03:00:00",23,1.084,774.7162,0
"2015-07-19 03:30:00",24,1.081,774.7309,0
"2015-07-19 04:00:00",25,1.083,774.6049,0
"2015-07-19 04:30:00",26,1.084,774.6059,0
"2015-07-19 05:00:00",27,1.081,774.5974,0
"2015-07-19 05:30:00",28,1.081,774.5817,0
"2015-07-19 06:00:00",29,1.082,774.5879,0
"2015-07-19 06:30:00",30,1.084,774.6068,0
"2015-07-19 07:00:00",31,1.08,774.4709,0
"2015-07-19 07:30:00",32,1.082,774.5392,0
"2015-07-19 08:00:00",33,1.081,774.2657,0
"2015-07-19 08:30:00",34,1.081,774.5171,0
"2015-07-19 09:00:00",35,1.082,774.3738,0
"2015-07-19 09:30:00",36,1.079,774.1342,0
"2015-07-19 10:00:00",37,1.088,774.2775,0
"2015-07-19 10:30:00",38,1.085,774.3821,0
"2015-07-19 11:00:00",39,1.091,774.3818,0
"2015-07-19 11:30:00",40,1.089,774.2454,0
"2015-07-19 12:00:00",41,1.088,774.247,0
"2015-07-19 12:30:00",42,1.089,774.3818,0
"2015-07-19 13:00:00",43,1.091,774.2452,0
"2015-07-19 13:30:00",44,1.094,774.3841,0
"2015-07-19 14:00:00",45,1.095,774.4841,0
"2015-07-19 14:30:00",46,1.099,774.4841,0
"2015-07-19 15:00:00",47,1.106,774.2391,0
"2015-07-19 15:30:00",48,1.103,774.1507,0
"2015-07-19 16:00:00",49,1.102,774.011,0
"2015-07-19 16:30:00",50,1.111,773.903,0
"2015-07-19 17:00:00",51,1.11,773.7761,0
"2015-07-19 17:30:00",52,1.113,773.5236,0
"2015-07-19 18:00:00",53,1.113,773.388,0
"2015-07-19 18:30:00",54,1.119,773.5337,0
"2015-07-19 19:00:00",55,1.118,773.5448,0
"2015-07-19 19:30:00",56,1.12,773.5533,0
"2015-07-19 20:00:00",57,1.119,773.7587,0
"2015-07-19 20:30:00",58,1.118,773.6564,0
"2015-07-19 21:00:00",59,1.115,773.6222,0.1
"2015-07-19 21:30:00",60,1.116,773.6222,0
"2015-07-19 22:00:00",61,1.117,773.7588,0.1
"2015-07-19 22:30:00",62,1.117,773.6393,0
"2015-07-19 23:00:00",63,1.116,773.7195,0.1
"2015-07-19 23:30:00",64,1.12,773.9932,0.1
"2015-07-20 00:00:00",65,1.114,773.7225,0.1
"2015-07-20 00:30:00",66,1.117,773.9951,0.2
"2015-07-20 01:00:00",67,1.115,773.9937,0.3
"2015-07-20 01:30:00",68,1.128,774.1366,0
"2015-07-20 02:00:00",69,1.117,774.1307,0
"2015-07-20 02:30:00",70,1.121,773.7206,0.1
"2015-07-20 03:00:00",71,1.115,773.8572,0
"2015-07-20 03:30:00",72,1.121,773.8568,0.1
"2015-07-20 04:00:00",73,1.123,773.7233,0
"2015-07-20 04:30:00",74,1.125,773.8659,0
"2015-07-20 05:00:00",75,1.126,774.0048,0.1
"2015-07-20 05:30:00",76,1.115,773.4752,0
"2015-07-20 06:00:00",77,1.115,773.6132,0
"2015-07-20 06:30:00",78,1.114,773.7498,0
"2015-07-20 07:00:00",79,1.114,773.7498,0
"2015-07-20 07:30:00",80,1.114,773.884,0
"2015-07-20 08:00:00",81,1.114,773.8801,0
"2015-07-20 08:30:00",82,1.114,773.871,0
"2015-07-20 09:00:00",83,1.115,774.1362,0
"2015-07-20 09:30:00",84,1.115,774.2326,0.8
"2015-07-20 10:00:00",85,1.116,774.2744,0.2
"2015-07-20 10:30:00",86,1.115,774.2326,0.2
"2015-07-20 11:00:00",87,1.115,774.1305,0.1
"2015-07-20 11:30:00",88,1.113,774.1268,0.2
"2015-07-20 12:00:00",89,1.114,774.1683,0.1
"2015-07-20 12:30:00",90,1.11,774.0194,0
"2015-07-20 13:00:00",91,1.111,774.0027,0
"2015-07-20 13:30:00",92,1.108,773.7702,0
"2015-07-20 14:00:00",93,1.108,773.7678,0
"2015-07-20 14:30:00",94,1.11,773.6313,0
"2015-07-20 15:00:00",95,1.12,773.3584,0
"2015-07-20 15:30:00",96,1.124,773.3584,0
"2015-07-20 16:00:00",97,1.139,773.2902,0
"2015-07-20 16:30:00",98,1.133,773.3729,0
"2015-07-20 17:00:00",99,1.135,773.2755,0
"2015-07-20 17:30:00",100,1.134,773.4174,0
"2015-07-20 18:00:00",101,1.134,773.1445,0
"2015-07-20 18:30:00",102,1.134,773.008,0
"2015-07-20 19:00:00",103,1.133,772.8715,0
"2015-07-20 19:30:00",104,1.134,772.8715,0
"2015-07-20 20:00:00",105,1.136,772.8715,0
"2015-07-20 20:30:00",106,1.14,772.8032,0
"2015-07-20 21:00:00",107,1.14,772.8715,0
"2015-07-20 21:30:00",108,1.14,772.8057,0
"2015-07-20 22:00:00",109,1.141,772.6194,0
"2015-07-20 22:30:00",110,1.141,772.7644,0
"2015-07-20 23:00:00",111,1.14,772.628,0
"2015-07-20 23:30:00",112,1.14,772.5602,0
"2015-07-21 00:00:00",113,1.14,772.5624,0
"2015-07-21 00:30:00",114,1.142,772.4948,0
"2015-07-21 01:00:00",115,1.143,772.2685,0
"2015-07-21 01:30:00",116,1.142,772.316,0
"2015-07-21 02:00:00",117,1.144,772.1213,0
"2015-07-21 02:30:00",118,1.145,772.1405,0
"2015-07-21 03:00:00",119,1.144,772.0724,0
