"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_Sept2014 .CR1","56239","HalfHour"
"TIMESTAMP","RECORD","DT","BP","Rain_mm_Tot"
"TS","RN","m","hPa(mb)","mm"
"","","Smp","Smp","Tot"
"2014-09-09 10:30:00",0,1.875,774.3427,0
"2014-09-09 11:00:00",1,1.873,774.3741,0
"2014-09-09 11:30:00",2,1.876,774.4737,0
"2014-09-09 12:00:00",3,1.875,774.626,0
"2014-09-09 12:30:00",4,1.872,774.7659,0
"2014-09-09 13:00:00",5,1.87,774.8795,0
"2014-09-09 13:30:00",6,1.873,774.9867,0
"2014-09-09 14:00:00",7,1.87,774.9777,0
"2014-09-09 14:30:00",8,1.87,774.9829,0
"2014-09-09 15:00:00",9,1.866,774.8466,0
"2014-09-09 15:30:00",10,1.865,774.9829,0
"2014-09-09 16:00:00",11,1.865,774.8458,0
"2014-09-09 16:30:00",12,1.862,774.8678,0
"2014-09-09 17:00:00",13,1.863,774.7401,0
"2014-09-09 17:30:00",14,1.863,774.7262,0
"2014-09-09 18:00:00",15,1.864,774.6052,0
"2014-09-09 18:30:00",16,1.865,774.5656,0
"2014-09-09 19:00:00",17,1.867,774.4706,0
"2014-09-09 19:30:00",18,1.868,774.3625,0
"2014-09-09 20:00:00",19,1.866,774.0997,0
"2014-09-09 20:30:00",20,1.866,774.1,0
"2014-09-09 21:00:00",21,1.864,773.9918,0
"2014-09-09 21:30:00",22,1.868,774.1332,0
"2014-09-09 22:00:00",23,1.87,774.2091,0
"2014-09-09 22:30:00",24,1.87,774.2276,0
"2014-09-09 23:00:00",25,1.871,774.2277,0
"2014-09-09 23:30:00",26,1.867,774.0911,0
"2014-09-10 00:00:00",27,1.867,773.8745,0
"2014-09-10 00:30:00",28,1.869,773.8574,0
"2014-09-10 01:00:00",29,1.867,773.7202,0
"2014-09-10 01:30:00",30,1.869,773.7344,0
"2014-09-10 02:00:00",31,1.869,773.8751,0
"2014-09-10 02:30:00",32,1.87,774.0079,0
"2014-09-10 03:00:00",33,1.87,773.7314,0
"2014-09-10 03:30:00",34,1.871,773.7479,0
"2014-09-10 04:00:00",35,1.874,773.9911,0
"2014-09-10 04:30:00",36,1.872,773.9842,0
"2014-09-10 05:00:00",37,1.873,774.1208,0
"2014-09-10 05:30:00",38,1.873,774.1208,0
"2014-09-10 06:00:00",39,1.874,774.1208,0
"2014-09-10 06:30:00",40,1.872,773.9858,0
"2014-09-10 07:00:00",41,1.874,773.8493,0
"2014-09-10 07:30:00",42,1.872,773.9983,0
"2014-09-10 08:00:00",43,1.875,774.0137,0
"2014-09-10 08:30:00",44,1.873,773.8774,0
"2014-09-10 09:00:00",45,1.875,774.0138,0
"2014-09-10 09:30:00",46,1.87,773.8523,0
"2014-09-10 10:00:00",47,1.874,773.9844,0
"2014-09-10 10:30:00",48,1.871,773.9677,0
"2014-09-10 11:00:00",49,1.872,773.9982,0
"2014-09-10 11:30:00",50,1.874,773.9751,0
"2014-09-10 12:00:00",51,1.871,773.9637,0
"2014-09-10 12:30:00",52,1.87,774.0179,0
"2014-09-10 13:00:00",53,1.869,774.0161,0
"2014-09-10 13:30:00",54,1.868,773.9815,0
"2014-09-10 14:00:00",55,1.868,773.8448,0
"2014-09-10 14:30:00",56,1.868,773.8914,0
"2014-09-10 15:00:00",57,1.867,773.7892,0
"2014-09-10 15:30:00",58,1.866,773.7595,0
"2014-09-10 16:00:00",59,1.869,773.6606,0
"2014-09-10 16:30:00",60,1.87,773.5667,0
"2014-09-10 17:00:00",61,1.87,773.5036,0
"2014-09-10 17:30:00",62,1.871,773.3948,0
"2014-09-10 18:00:00",63,1.872,773.283,0
"2014-09-10 18:30:00",64,1.874,773.3837,0
"2014-09-10 19:00:00",65,1.873,773.143,0
"2014-09-10 19:30:00",66,1.876,773.1589,0
"2014-09-10 20:00:00",67,1.874,773.2422,0
"2014-09-10 20:30:00",68,1.872,773.2429,0
"2014-09-10 21:00:00",69,1.873,773.1301,0
"2014-09-10 21:30:00",70,1.875,773.0017,0
"2014-09-10 22:00:00",71,1.875,772.994,0
"2014-09-10 22:30:00",72,1.874,772.9624,0
"2014-09-10 23:00:00",73,1.872,772.9854,0
"2014-09-10 23:30:00",74,1.877,773.0175,0
"2014-09-11 00:00:00",75,1.874,772.9821,0
"2014-09-11 00:30:00",76,1.87,772.7557,0
"2014-09-11 01:00:00",77,1.876,772.8918,0
"2014-09-11 01:30:00",78,1.873,773.165,0
"2014-09-11 02:00:00",79,1.874,773.165,0
"2014-09-11 02:30:00",80,1.879,773.0253,0
"2014-09-11 03:00:00",81,1.878,773.1649,0
"2014-09-11 03:30:00",82,1.882,772.96,0
"2014-09-11 04:00:00",83,1.89,773.1307,0
"2014-09-11 04:30:00",84,1.884,772.9625,0
"2014-09-11 05:00:00",85,1.887,772.892,0
"2014-09-11 05:30:00",86,1.886,773.165,0
"2014-09-11 06:00:00",87,1.883,773.371,0
"2014-09-11 06:30:00",88,1.881,773.5066,0
"2014-09-11 07:00:00",89,1.882,773.6429,0
"2014-09-11 07:30:00",90,1.881,773.7795,0
"2014-09-11 08:00:00",91,1.877,773.9844,0
"2014-09-11 08:30:00",92,1.876,774.3258,0
"2014-09-11 09:00:00",93,1.882,774.4935,0
"2014-09-11 09:30:00",94,1.87,774.7066,0
"2014-09-11 10:00:00",95,1.869,774.8196,0
"2014-09-11 10:30:00",96,1.86,775.0856,1.5
"2014-09-11 11:00:00",97,1.849,775.3288,0.2
"2014-09-11 11:30:00",98,1.863,775.6003,0
"2014-09-11 12:00:00",99,1.864,775.6927,0
"2014-09-11 12:30:00",100,1.878,775.7855,0
"2014-09-11 13:00:00",101,1.87,775.9892,0
"2014-09-11 13:30:00",102,1.868,776.0501,0
"2014-09-11 14:00:00",103,1.869,776.0681,0
"2014-09-11 14:30:00",104,1.874,776.2126,0
"2014-09-11 15:00:00",105,1.875,776.4554,0
"2014-09-11 15:30:00",106,1.874,776.5323,0
"2014-09-11 16:00:00",107,1.877,776.4547,0
"2014-09-11 16:30:00",108,1.884,776.58,0
"2014-09-11 17:00:00",109,1.884,776.4716,0
"2014-09-11 17:30:00",110,1.88,776.5203,0
"2014-09-11 18:00:00",111,1.879,776.5125,0
"2014-09-11 18:30:00",112,1.884,776.5452,0
"2014-09-11 19:00:00",113,1.883,776.6517,0
"2014-09-11 19:30:00",114,1.886,776.5558,0
"2014-09-11 20:00:00",115,1.888,776.6548,0
"2014-09-11 20:30:00",116,1.885,776.678,0
"2014-09-11 21:00:00",117,1.888,776.6854,0
"2014-09-11 21:30:00",118,1.888,776.4825,0
"2014-09-11 22:00:00",119,1.886,776.438,0
"2014-09-11 22:30:00",120,1.884,776.4424,0
