"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:GL1MM_CNR4_Sept2014 .CR1","56239","Health"
"TIMESTAMP","RECORD","Batt_Volt_Max","Batt_Volt_Min","Batt_Volt_TMn","Batt_Volt_Avg","Panel_Temp_Max","Panel_Temp_TMx","Panel_Temp_Min","Panel_Temp_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Deg C","Deg C","Deg C","Deg C"
"","","Max","Min","TMn","Avg","Max","TMx","Min","Avg"
"2014-09-10 00:00:00",0,13.96,13.11,"2014-09-10 00:00:00",13.68,9.08,"2014-09-09 15:42:00",-0.671,4.267
"2014-09-11 00:00:00",1,13.96,12.5,"2014-09-10 08:00:00",13.34,8.33,"2014-09-10 15:23:00",-1.672,1.258
"2014-09-12 00:00:00",2,13.94,12.5,"2014-09-11 08:00:00",13.32,9.48,"2014-09-11 15:02:30",-1.437,1.853
"2014-09-13 00:00:00",3,13.94,12.5,"2014-09-12 08:00:00",13.35,3.635,"2014-09-12 13:03:00",-1.48,1.198
"2014-09-14 00:00:00",4,13.85,12.53,"2014-09-13 08:00:00",13.35,6.524,"2014-09-13 15:24:30",0.946,3.371
"2014-09-15 00:00:00",5,13.88,12.52,"2014-09-14 08:00:00",13.33,6.439,"2014-09-14 15:51:30",0.926,2.922
"2014-09-16 00:00:00",6,13.9,12.52,"2014-09-15 08:00:00",13.33,4.365,"2014-09-15 15:55:00",-1.5,1.818
"2014-09-17 00:00:00",7,13.99,12.5,"2014-09-16 08:00:00",13.34,4.685,"2014-09-16 14:26:00",-4.765,-0.225
"2014-09-18 00:00:00",8,14.15,12.47,"2014-09-17 07:30:00",13.44,0.903,"2014-09-17 12:44:30",-7.682,-3.242
"2014-09-19 00:00:00",9,14.05,12.49,"2014-09-18 08:00:00",13.38,6.547,"2014-09-18 15:17:30",-4.051,-0.339
"2014-09-20 00:00:00",10,14,12.49,"2014-09-19 08:00:00",13.38,1.096,"2014-09-19 12:53:00",-3.599,-1.574
"2014-09-21 00:00:00",11,14.06,12.49,"2014-09-20 08:00:00",13.39,4.322,"2014-09-20 15:15:00",-5.025,-1.761
"2014-09-22 00:00:00",12,14.09,12.46,"2014-09-21 08:00:00",13.42,-1.351,"2014-09-21 15:48:00",-6.819,-3.992
"2014-09-23 00:00:00",13,14.06,12.48,"2014-09-22 08:00:00",13.43,-0.201,"2014-09-22 14:42:30",-8.19,-3.875
"2014-09-24 00:00:00",14,14.2,12.45,"2014-09-23 08:00:00",13.38,7.028,"2014-09-23 14:45:00",-9.78,-4.794
"2014-09-25 00:00:00",15,14.11,12.45,"2014-09-24 08:30:00",13.4,3.357,"2014-09-24 15:52:30",-11.3,-5.614
"2014-09-26 00:00:00",16,14.29,12.43,"2014-09-25 08:00:00",13.42,4.15,"2014-09-25 16:15:30",-12.34,-7.38
"2014-09-27 00:00:00",17,14.21,12.44,"2014-09-26 08:00:00",13.42,0.585,"2014-09-26 16:02:00",-10.44,-5.561
"2014-09-28 00:00:00",18,14,12.48,"2014-09-27 08:30:00",13.32,5.097,"2014-09-27 13:22:00",-3.342,-0.67
"2014-09-29 00:00:00",19,14.02,12.47,"2014-09-28 08:30:00",13.33,1.735,"2014-09-28 16:00:00",-4.051,-1.742
"2014-09-30 00:00:00",20,14.11,12.46,"2014-09-29 08:00:00",13.37,2.63,"2014-09-29 13:15:30",-6.884,-3.254
"2014-10-01 00:00:00",21,14.3,12.4,"2014-09-30 08:30:00",13.5,-6.247,"2014-09-30 00:00:30",-12.24,-10.93
"2014-10-02 00:00:00",22,14.3,12.43,"2014-10-01 08:30:00",13.46,-1.01,"2014-10-01 16:04:30",-13.22,-9.42
"2014-10-03 00:00:00",23,14.23,12.43,"2014-10-02 08:30:00",13.44,-2.377,"2014-10-02 14:29:00",-13.2,-8.57
"2014-10-04 00:00:00",24,14.12,12.43,"2014-10-03 08:30:00",13.34,1.096,"2014-10-03 13:19:30",-10.79,-5.84
"2014-10-05 00:00:00",25,14.11,12.48,"2014-10-04 08:30:00",13.4,-1.887,"2014-10-04 02:34:00",-6.073,-4.169
"2014-10-06 00:00:00",26,14.08,12.47,"2014-10-05 09:00:00",13.34,-2.526,"2014-10-05 16:07:00",-10.23,-5.23
"2014-10-07 00:00:00",27,14.27,12.42,"2014-10-06 08:30:00",13.44,-3.879,"2014-10-06 16:11:30",-15.62,-10.3
"2014-10-08 00:00:00",28,14.44,12.38,"2014-10-07 08:30:00",13.47,-4.139,"2014-10-07 15:28:00",-18.64,-14.16
"2014-10-09 00:00:00",29,14.4,12.39,"2014-10-08 08:30:00",13.45,-4.139,"2014-10-08 13:58:30",-19.44,-12.89
"2014-10-10 00:00:00",30,14.19,12.42,"2014-10-09 08:30:00",13.38,-2.357,"2014-10-09 18:50:30",-15.55,-8.06
"2014-10-11 00:00:00",31,14,12.49,"2014-10-10 09:00:00",13.26,0.031,"2014-10-10 16:33:00",-3.836,-2.322
"2014-10-12 00:00:00",32,14.07,12.48,"2014-10-11 09:00:00",13.31,0.479,"2014-10-11 14:21:00",-5.221,-3.042
"2014-10-13 00:00:00",33,14.18,12.47,"2014-10-12 08:30:00",13.33,0.946,"2014-10-12 14:45:30",-8.8,-5.128
"2014-10-14 00:00:00",34,14.19,12.46,"2014-10-13 09:00:00",13.32,-0.585,"2014-10-13 15:15:00",-8.96,-5.865
"2014-10-15 00:00:00",35,14.1,12.46,"2014-10-14 09:00:00",13.33,-3.685,"2014-10-14 13:34:30",-9.41,-5.803
"2014-10-16 00:00:00",36,14.28,12.42,"2014-10-15 09:00:00",13.36,-0.457,"2014-10-15 15:37:00",-13.03,-9.16
"2014-10-17 00:00:00",37,14.23,12.45,"2014-10-16 09:00:00",13.34,0.097,"2014-10-16 15:33:30",-11.16,-7.531
